park_nm,park_div_nm,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt,park_ar,park_sports_faclt_dtls,park_amsmt_faclt_dtls,park_cnvnnc_faclt_dtls,park_cltr_faclt_dtls,park_etc_faclt_dtls,apnt_ancmnt_ymd,mnginst_nm,mnginst_telno,dat_crtr_ymd
백송마을,어린이공원,경기도 부천시 원미구 부흥로 49,경기도 부천시 원미구 상동 571-6,37.4991849352,126.7486398672,2578.7,,그네 등 7개,,,,19981217,경기도 부천시청,032-625-4843,20250731
벌막,근린공원,경기도 부천시 원미구 옥산로 15,경기도 부천시 원미구 중동 1100-1,37.4953978813,126.7802624488,12659.0,,그네 등 5개,화장실,,,19901127,경기도 부천시청,032-625-4843,20250731
벌말,어린이공원,,경기도 부천시 소사구 소사본동 408-4,37.4730131503,126.8022588965,1641.9,,그네 등 3개,,,,20011222,경기도 부천시청,032-625-4843,20250731
KCC정문소공원,소공원,,경기도 이천시 증포동 산46-9,,,3854.0,,,,,,20130422,경기도 이천시청,031-645-3831,20250221
보배,어린이공원,경기도 부천시 원미구 계남로322번길 29-7,경기도 부천시 원미구 중동 1088,37.5018382988,126.7810491439,3766.7,,그네 등 5개,화장실,,,19901127,경기도 부천시청,032-625-4843,20250731
호평4호공원,어린이공원,,경기도 남양주시 호평동 647,37.6552781208,127.2461748704,2667.0,,,,,,,경기도 남양주시청,031-590-4738,20260319
동화리 공공공지 3호,기타,,경기도 화성시 효행구 봉담읍 동화리 305-6,37.221903641,126.959409088,657.0,,,,,,,,031-5189-6655,20260201
민벌공원,어린이공원,경기도 구리시 검배로 164,경기도 구리시 토평동 1010,37.593143861,127.1560523176,1553.0,,조합놀이대,,,,19961231,경기도 구리시청,031-550-2418,20231124
임광그대가 어린이공원,어린이공원,,경기도 남양주시 호평동 264-1,37.6628566191,127.2493134607,1811.0,,,,,,,경기도 남양주시청,031-590-4738,20260319
오성공원,어린이공원,경기도 구리시 벌말로147번길 15-18,경기도 구리시 토평동 983,37.589221162,127.1471642544,2111.0,야외헬스기구,조합놀이대,,,,19961231,경기도 구리시청,031-550-2418,20231124
금호공원,어린이공원,경기도 구리시 장자호수길 39,경기도 구리시 교문동 822,37.5857037772,127.134051663,2321.0,야외헬스기구,조합놀이대,,,,19961231,경기도 구리시청,031-550-2418,20231124
탑골공원,어린이공원,경기도 구리시 갈매중앙로 165-14,경기도 구리시 갈매동 536,37.6379817039,127.1232629451,1507.0,야외헬스기구,조합놀이대,,,,20110928,경기도 구리시청,031-550-2474,20231124
공원(백교2),어린이공원,경기도 구리시 한다리길 28,경기도 구리시 교문동 667-4,37.5816196396,127.1277120968,1210.0,야외헬스기구,조합놀이대,,,,20060113,경기도 구리시청,031-550-2418,20231124
공원(아치울2),어린이공원,경기도 구리시 아치울길 33,경기도 구리시 아천동 353-10,37.5746541691,127.1186373371,1523.0,야외헬스기구,조합놀이대,,,,20060113,경기도 구리시청,031-550-2418,20231124
신도어린이공원,어린이공원,,경기도 남양주시 화도읍 마석우리 598-2,37.6604964798,127.3056333042,1552.0,,,,,,,경기도 남양주시청,031-590-4993,20260319
이안어린이공원,어린이공원,,경기도 남양주시 화도읍 창현리 645-19,37.6421353536,127.3039782073,1675.0,,,,,,,경기도 남양주시청,031-590-4993,20260319
별내택지소공원2,소공원,,경기도 남양주시 별내동 941-2,37.6551761546,127.1278671677,3196.0,,,,,,,경기도 남양주시청,031-590-8347,20260319
별내택지어린이공원2,어린이공원,,경기도 남양주시 별내동 838-9,37.6660170225,127.1153044983,1694.0,,,,,,,경기도 남양주시청,031-590-8676,20260319
별내택지어린이공원4,어린이공원,,경기도 남양주시 별내동 1130,37.6577778728,127.1147966249,3040.0,,,,,,,경기도 남양주시청,031-590-8676,20260319
별내택지어린이공원1,어린이공원,,경기도 남양주시 별내동 1162,37.6649385826,127.1102683758,4299.0,,,,,,,경기도 남양주시청,031-590-8676,20260319
별내택지 근린공원1,근린공원,,경기도 남양주시 별내동 818,37.6700901526,127.1168601105,28459.0,,,,,,,경기도 남양주시청,031-590-8676,20260319
별내택지 근린공원3,근린공원,경기도 남양주시 순화궁로 313,경기도 남양주시 별내동 938-1,37.6549452147,127.1270262272,31560.0,,,,,,,경기도 남양주시청,031-590-8347,20260319
가운택지 어린이공원,어린이공원,,경기도 남양주시 다산동 751,37.5972366765,127.1587535731,3299.0,,,,,,,경기도 남양주시청,031-590-5354,20260319
별내택지 근린공원7,근린공원,,경기도 남양주시 별내동 988,37.6439503602,127.1283922268,54318.0,,,,,,,경기도 남양주시청,031-590-8347,20260319
별내택지 근린공원4,근린공원,,경기도 남양주시 별내동 918,37.6565225893,127.1218274366,65676.0,,,,,,,경기도 남양주시청,031-590-8347,20260319
평내5호공원,어린이공원,,경기도 남양주시 평내동 617-5,37.640035264,127.2362176345,1510.0,,,,,,,경기도 남양주시청,031-590-4738,20260319
평내4호공원,어린이공원,,경기도 남양주시 평내동 564-1,37.6417785683,127.235398281,2698.0,,,,,,,경기도 남양주시청,031-590-4738,20260319
호평제3호어린이공원,어린이공원,,경기도 남양주시 호평동 627-1,37.6555332639,127.241598862,1955.0,,,,,,,경기도 남양주시청,031-590-4738,20260319
호평제2호어린이공원,어린이공원,,경기도 남양주시 호평동 675,37.6566536004,127.2492485151,1968.0,,,,,,,경기도 남양주시청,031-590-4738,20260319
포스코공원,어린이공원,경기도 구리시 인창2로 14,경기도 구리시 인창동 713-2,37.6033427087,127.1312033906,2358.0,야외헬스기구,조합놀이대,,,,20120725,경기도 구리시청,031-550-2474,20231124
덕고개공원,어린이공원,경기도 구리시 체육관로153번길 58,경기도 구리시 교문동 220,37.5989551405,127.133196664,1651.0,야외헬스기구,조합놀이대,,,,19800813,경기도 구리시청,031-550-2418,20231124
근린공원 2호(황해자유구역 현덕지구),근린공원,,경기도 평택시 현덕면 권관리 824,36.9295093032,126.907975081,31877.0,,,,,,20160617,경기도 평택시청,031-8024-4248,20260313
근린공원 3호(황해자유구역 현덕지구),근린공원,,경기도 평택시 현덕면 권관리 705,36.9247408618,126.9122567073,30498.0,,,,,,20160617,경기도 평택시청,031-8024-4248,20260313
금곡 근린공원,근린공원,,경기도 평택시 안중읍 안중리 산17-1,36.9943103922,126.9407072787,52500.0,,,,,,20000303,경기도 평택시청,031-8024-4248,20260313
능안 근린공원,근린공원,,경기도 평택시 청북면 현곡리 산94-7,37.0433210943,126.928909203,26600.0,,,,,,19980508,경기도 평택시청,031-8024-4248,20260313
도곡 근린공원(포승공단),근린공원,경기도 평택시 포승읍 여술로 47,경기도 평택시 포승읍 도곡리 1110,36.9893598133,126.8474025155,15000.1,게이트볼장+다목적 운동장+등허리지압기+발바닥지압걷기 +어깨근육풀기+온몸노젓기+온몸역기내리기+온몸허리돌리기+하늘걷기,그네(2인용)+야자수버켓+워터드롭+워터터널+조합놀이대+조합놀이대(물놀이시설),음수전,,배수로+집수정,20000927,경기도 평택시청,031-8024-4248,20260313
화정 16(배꽃),어린이공원,경기도 고양시 덕양구 백양로 126,경기도 고양시 덕양구 화정동 961,37.6353620038,126.8347446435,3848.9,체력단련시설,조합놀이대,,,,19901104,경기도 고양시 푸른도시사업소,031-8075-4323,20251215
만호 근린공원(포승2산단),근린공원,,경기도 평택시 포승읍 만호리 산9-1,,,29869.8,농구대(이동식)+농구장+등허리근육풀기+마라톤운동기+배드민턴장+배드민턴지주대+온몸근육풀기+온몸노젓기+온몸역기올리기+족구네트+족구장+족구지주+축구대+축구장+하늘걷기,고무매트포장+조합놀이대,화장실,,수목보호대+연결관+자연석쌓기+집수정+트랜치,20100226,경기도 평택시청,031-8024-4248,20260313
장안하늘채 어린이공원(동부 18호),어린이공원,,경기도 평택시 장안동 620,37.061078587,127.0806743789,3373.0,다리뻗치기+마라톤운동기+옆파도타기+온몸근육풀기+온몸노젓기+평행봉+하늘걷기,공중걷기대+그네+그네보호대+모래포장+조합놀이대+흔들놀이,자전거거치대,,자연석쌓기+집수정,20071119,경기도 평택시청,031-8024-4248,20260313
점촌 어린이공원,어린이공원,경기도 평택시 점촌로 7,경기도 평택시 서정동 881,37.0635326954,127.0547018673,1654.9,양팔줄당기기+어깨근육풀기+옆파도타기+온몸허리돌리기+윗몸일으키기+하늘걷기,그네+그네보호대+모래포장+조합놀이대,음수대,,맹암거(간선)+맹암거(지선)+집수정,19800129,경기도 평택시청,031-8024-4248,20260313
두리,어린이공원,,경기도 부천시 소사구 송내동 702-2,37.4849457793,126.7511178677,1859.3,농구장,조합놀이대 등 7개,,,,19981217,경기도 부천시청,032-625-4843,20250731
둥지,어린이공원,경기도 부천시 오정구 여월로 34,경기도 부천시 오정구 여월동 314,37.5104298277,126.802374412,2644.3,배드민턴장,조합놀이대 등 2개,화장실,,,20031128,경기도 부천시청,032-625-4843,20250731
뜰안,어린이공원,,경기도 부천시 소사구 소사본동 411-8,37.4704457185,126.8013398631,2596.1,,그네 등 3개,,,,20011222,경기도 부천시청,032-625-4843,20250731
라일락,어린이공원,,경기도 부천시 원미구 상동 525-5,37.5102008073,126.7513637194,2395.6,,그네 등 6개,,,,19981217,경기도 부천시청,032-625-4843,20250731
먼마루,어린이공원,경기도 부천시 오정구 성지로85번길 65,경기도 부천시 오정구 원종동 269,37.5266037584,126.8076108433,3156.4,,그네 등 4개,화장실,,,19671111,경기도 부천시청,032-625-4843,20250731
목일신,근린공원,,경기도 부천시 소사구 괴안동 14-2,37.481381705,126.8183224568,18899.0,,조합놀이대 등 5개,화장실,야외공연장,,19861107,경기도 부천시청,032-625-4843,20250731
무지개,어린이공원,,경기도 부천시 원미구 중동 1175-1,37.4974830197,126.7649421729,4364.7,,그네 등 10개,,,,19901127,경기도 부천시청,032-625-4843,20250731
오남1지구 오남아이파크어린이공원,어린이공원,,경기도 남양주시 오남읍 오남리 891-5,37.6966330719,127.2012991466,1524.0,,,,,,,경기도 남양주시청,031-590-8601,20260319
다산센트레빌 APT 어린이공원,어린이공원,,경기도 남양주시 다산동 4436-3,37.6073899573,127.1545560061,1500.0,,,,,,,경기도 남양주시청,031-590-5354,20260319
부평1어린이공원,어린이공원,,경기도 남양주시 진접읍 부평리 755,37.7414467458,127.1996092784,1586.0,,,,,,,경기도 남양주시청,031-590-8369,20260319
진접6호은빛공원,근린공원,,경기도 남양주시 진접읍 금곡리 1091,37.7142397611,127.1953811105,56179.0,,,,,,,경기도 남양주시청,031-590-8369,20260319
진접4호해참공원,근린공원,경기도 남양주시 진접읍 해밀예당1로236번길 23,경기도 남양주시 진접읍 금곡리 1118,37.7190167403,127.2050766309,108852.0,,,,,,,경기도 남양주시청,031-590-8369,20260319
진접2호에버그린파크,근린공원,,경기도 남양주시 진접읍 금곡리 1077,37.7170970349,127.1910487704,150387.0,,,,,,,경기도 남양주시청,031-590-8369,20260319
진접1호하늘아리공원,근린공원,,경기도 남양주시 진접읍 금곡리 963,37.7123373615,127.1847183307,11750.0,,,,,,,경기도 남양주시청,031-590-8369,20260319
가운택지 문화공원,문화공원,,경기도 남양주시 다산동 672-1,37.6023904342,127.1586252479,5580.0,,,,,,,경기도 남양주시청,031-590-5354,20260319
중앙근린공원,근린공원,,"경기도 남양주시 다산동 715, 717, 724, 726, 736, 739",,,55334.0,,,,,,,경기도 남양주시청,031-590-2855,20260319
장현3어린이공원,어린이공원,,경기도 남양주시 진접읍 장현리 710-2,37.7261453925,127.1938017323,1900.0,,,,,,,경기도 남양주시청,031-590-8369,20260319
장현3어린이공원,어린이공원,,경기도 남양주시 진접읍 장현리 710-6,37.7232836307,127.1928151982,2021.0,,,,,,,경기도 남양주시청,031-590-8369,20260319
힐스테이트황금산 APT 소공원,소공원,,경기도 남양주시 다산동 3720-2,37.6074771329,127.1662393781,2681.0,,,,,,,경기도 남양주시청,031-590-5354,20260319
덕소4호공원,어린이공원,경기도 남양주시 와부읍 덕소로97번길 34,경기도 남양주시 와부읍 덕소리 110-1,37.586394615,127.2165534097,1750.0,,,,,,,경기도 남양주시청,031-590-8601,20260319
도농 제2호공원,어린이공원,경기도 남양주시 도농로 34,경기도 남양주시 다산동 4002-1,37.6110213937,127.1562284143,1500.0,,,,,,,경기도 남양주시청,031-590-5354,20260319
평내1호어린이공원,어린이공원,,경기도 남양주시 평내동 585-4,37.6470605985,127.2367726982,1866.0,,,,,,,경기도 남양주시청,031-590-4738,20260319
어울림공원,근린공원,,경기도 안산시 상록구 본오동 992번지,37.2983827057,126.8592296186,77255.0,,,,,,20140310,경기도 안산시청,031-481-2649,20260406
오목골공원,근린공원,,경기도 안산시 상록구 본오동 523-10번지,37.2884764365,126.8608031016,47210.0,,,,,,19980325,경기도 안산시청,031-481-2649,20260406
용하공원,근린공원,"경기도 안산시 상록구 용하공원로 44, (사동)",경기도 안산시 상록구 사동 1535-1번지,37.3054994174,126.8554454074,18262.5,,,,,,19920311,경기도 안산시청,031-481-2649,20260406
이동공원,근린공원,"경기도 안산시 상록구 석호로 19, (이동)",경기도 안산시 상록구 이동 711번지,37.3095630641,126.8485721918,26442.9,,,,,,19920311,경기도 안산시청,031-481-2649,20260406
하늬울공원,근린공원,"경기도 안산시 상록구 해양5로 31, (사동)",경기도 안산시 상록구 사동 1639-10번지,37.2820340984,126.832260938,20000.0,,,,,,20130116,경기도 안산시청,031-481-2649,20260406
해란공원,근린공원,,경기도 안산시 상록구 본오동 990-7번지,37.2846744194,126.8648724298,10017.6,,,,,,20160302,경기도 안산시청,031-481-2649,20260406
해솔공원 5호,근린공원,,경기도 파주시 목동동 680,37.7225551513,126.746038288,14038.0,,,,,,,경기도 파주시청,031-940-8406,20250618
산내공원 6호,근린공원,,경기도 파주시 목동동 1091,37.7208031587,126.7393164325,44682.7,,조합놀이대+미끄럼틀+그네,,,벽천,,경기도 파주시청,031-940-8406,20250618
한빛공원 7호,근린공원,,경기도 파주시 야당동 1001,37.7131153344,126.7484891829,50679.4,,,,,,,경기도 파주시청,031-940-8406,20250618
한울공원 8호,근린공원,,경기도 파주시 동패동 1884,37.7121191999,126.7369983809,32581.5,,,,,,,경기도 파주시청,031-940-8406,20250618
근린공원 11호,근린공원,경기도 파주시 가람로21번길 16-16,경기도 파주시 와동동 1591,37.7345971672,126.7533942181,10216.8,,,,,물놀이장,,경기도 파주시청,031-940-8406,20250618
운정호수공원 12호,근린공원,경기도 파주시 와석순환로 470,경기도 파주시 와동동 1412,37.7233673627,126.7563323934,56919.8,,,화장실,,분수,,경기도 파주시청,031-940-8406,20250618
성혼선생의묘(선유지구),묘지공원,,경기도 파주시 문산읍 선유리 1379-3,37.8568015055,126.8062849906,68837.6,,,,,,,경기도 파주시청,031-940-8406,20250618
운정3지구 문화공원4,문화공원,,경기도 파주시 동패동 2074,37.7136672421,126.711650143,289678.1,,,,,,,경기도 파주시청,031-940-8406,20250618
18호소공원,소공원,,경기도 수원시 권선구 오목천동 314-86,37.2457880943,126.9660959802,174.0,,휴게쉼터,,,,,경기도 수원시 권선구 녹지공원과,031-5191-6195,20260115
통일동산묘지공원,묘지공원,경기도 파주시 탄현면 헤이리로 98,경기도 파주시 탄현면 법흥리 1632,37.7942459574,126.6972426173,779925.0,,,,,,,경기도 파주시청,031-940-8406,20250618
라온공원,문화공원,경기도 파주시 금바위로 27,경기도 파주시 와동동 1348,37.7269997805,126.7577826184,47515.5,배드민턴장,,화장실,,,,경기도 파주시청,031-940-8406,20250618
오름공원,문화공원,,경기도 파주시 야당동 993,37.7140927264,126.7555657818,13448.8,농구장,,,,,,경기도 파주시청,031-940-8406,20250618
짚풀공원,문화공원,경기도 파주시 교하로 25,경기도 파주시 목동동 921,37.7315897745,126.732804412,18167.7,,,화장실,,,,경기도 파주시청,031-940-8406,20250618
여울공원,문화공원,,경기도 파주시 와동동 1428,37.7252799932,126.7621886644,1637.3,,,,,,,경기도 파주시청,031-940-8406,20250618
운정지구 문화공원7,문화공원,,경기도 파주시 야당동 1058,37.7108244435,126.7600083901,270.4,,,,,,,경기도 파주시청,031-940-8406,20250618
행복,어린이공원,,경기도 안산시 단원구 고잔동 369번지,37.3320591426,126.8314796994,863.0,,,,,,20030101,경기도 안산시 단원구청,031-481-6410,20260406
햇살,어린이공원,,경기도 안산시 단원구 고잔동 697번지,37.3135611162,126.823620386,1893.9,,,,,,20040101,경기도 안산시 단원구청,031-481-6410,20260406
중앙역,어린이공원,,경기도 안산시 단원구 고잔동 735번지,37.3133234963,126.837965501,1837.3,,,,,,20040101,경기도 안산시 단원구청,031-481-6410,20260406
지곡,어린이공원,,경기도 안산시 단원구 선부동 971-20번지,37.3361851685,126.8034086823,2196.0,,,,,,20040101,경기도 안산시 단원구청,031-481-6410,20260406
신길달맞이,어린이공원,,경기도 안산시 단원구 신길동 1384-12번지,37.3382264471,126.7616367796,1947.4,,,,,,20040101,경기도 안산시 단원구청,031-481-6410,20260406
공룡,어린이공원,,경기도 안산시 단원구 신길동 1496번지,37.3366359719,126.7794679672,1617.0,,,,,,20040101,경기도 안산시 단원구청,031-481-6410,20260406
연꽃,어린이공원,,경기도 안산시 단원구 신길동 1514번지,37.3350247598,126.7806205334,3369.4,,,,,,20040101,경기도 안산시 단원구청,031-481-6410,20260406
해솔,어린이공원,,경기도 안산시 단원구 신길동 1547번지,37.3380586588,126.7874750111,2825.5,,,,,,20040101,경기도 안산시 단원구청,031-481-6410,20260406
동화,어린이공원,,경기도 안산시 단원구 신길동 1562번지,37.3376589897,126.7891139768,2275.2,,,,,,20040101,경기도 안산시 단원구청,031-481-6410,20260406
어울림,어린이공원,,경기도 안산시 단원구 신길동 1575번지,37.3330389865,126.7886251197,1530.1,,,,,,20040101,경기도 안산시 단원구청,031-481-6410,20260406
잠자리,어린이공원,,경기도 안산시 단원구 신길동 1682번지,37.333471596,126.785756932,2398.4,,,,,,20040101,경기도 안산시 단원구청,031-481-6410,20260406
소리,어린이공원,,경기도 안산시 단원구 초지동 682번지,37.3143440894,126.8139818044,1755.0,,,,,,20040101,경기도 안산시 단원구청,031-481-6410,20260406
파도,어린이공원,,경기도 안산시 단원구 초지동 707-1번지,37.3143443663,126.8175402275,1971.5,,,,,,20040101,경기도 안산시 단원구청,031-481-6410,20260406
나무,어린이공원,,경기도 안산시 단원구 원곡동 816번지,37.3272430337,126.7945285752,726.4,,,,,,19950101,경기도 안산시 단원구청,031-481-6410,20260406
원선소공원,소공원,,경기도 안산시 단원구 선부동 1185번지,37.3295735876,126.8062178706,1190.8,,,,,,20181017,경기도 안산시 단원구청,031-481-6410,20260406
군자주공5소공원,소공원,,경기도 안산시 단원구 초지동 801-1번지,37.3275614863,126.8045218667,580.0,,,,,,20110822,경기도 안산시 단원구청,031-481-6410,20260406
고잔소공원,소공원,,경기도 안산시 단원구 고잔동 852-3번지,37.3232429145,126.8268473838,1770.6,,,,,,20190909,경기도 안산시 단원구청,031-481-6410,20260406
군자주공6소공원1,소공원,,경기도 안산시 단원구 선부동 1188-1번지,37.331236395,126.8027794924,3206.3,,,,,,20200129,경기도 안산시 단원구청,031-481-6410,20260406
군자주공6소공원2,소공원,,경기도 안산시 단원구 선부동 1188-3번지,37.3321785403,126.8076788274,5605.5,,,,,,20200129,경기도 안산시 단원구청,031-481-6410,20260406
76호 소공원,소공원,,경기도 안산시 단원구 성곡동 836번지,37.3059226331,126.7321899926,720.4,,,,,,20200424,경기도 안산시 단원구청,031-481-6410,20260406
큰고개,어린이공원,,경기도 안산시 단원구 와동 749번지,37.338711006,126.8219056804,1455.1,,,,,,19970101,경기도 안산시 단원구청,031-481-6410,20260406
왜둘기,어린이공원,,경기도 안산시 단원구 와동 809번지,37.3425663865,126.8192661107,1823.0,,,,,,19970101,경기도 안산시 단원구청,031-481-6410,20260406
강서,어린이공원,,경기도 안산시 단원구 와동 99-7번지,37.3413128496,126.8272418028,286.3,,,,,,19970101,경기도 안산시 단원구청,031-481-6410,20260406
도람근린공원,근린공원,,경기도 광주시 역동 176-25,,,18130.3,운동기구,바닥분수,화장실,,,,광주도시관리공사,031-762-1039,20250820
살박 근린공원(청북지구 택지개발),근린공원,,경기도 평택시 청북면 옥길리 1173,37.0159637551,126.9185404035,14980.4,배드민턴대+배드민턴장,,,,트랜치+화강석옹벽,20051007,경기도 평택시청,031-8024-4248,20260313
송담 근린공원(안중송담지구),근린공원,,경기도 평택시 안중읍 송담리 724,,,22458.0,농구대(이동식)+농구장,말타기+모래포장+목재오름대+접시+조합놀이대+클라임버,자전거보관대,,수목보호대+전시벽+조성극공적불망비+준공기념비+트랜치,20060206,경기도 평택시청,031-8024-4248,20260313
체육공원,체육공원,,경기도 남양주시 진건읍 용정리 산164,37.6640385634,127.1933694956,12000.0,,,,,,,경기도 남양주시청,031-590-5354,20260319
수촌 근린공원(청북지구 택지개발),근린공원,경기도 평택시 청북읍 안청로1길 37,경기도 평택시 청북면 옥길리 1124,37.0156412521,126.9121513809,35492.6,,,화장실,,집수정+트랜치,20051007,경기도 평택시청,031-8024-4248,20260313
호수공원,근린공원,"경기도 안산시 상록구 광덕대로 70, (사동)",경기도 안산시 상록구 사동 1513번지,37.3021135495,126.8300749703,640572.9,,,,,,19920311,경기도 안산시청,031-481-2649,20260406
덕소2호공원,어린이공원,경기도 남양주시 와부읍 덕소로2번길 39,경기도 남양주시 와부읍 덕소리 600-3,37.5854802083,127.2075071035,1501.0,,,,,,,경기도 남양주시청,031-590-8601,20260319
청학3호공원,어린이공원,,경기도 남양주시 별내면 청학리 409-4,37.7103173776,127.1176792084,1741.0,,,,,,,경기도 남양주시청,031-590-8676,20260319
진영공원,근린공원,,경기도 남양주시 화도읍 마석우리 551,37.658265952,127.2990209866,59924.0,,,,,,,경기도 남양주시청,031-590-4993,20260319
도농 제4호공원,어린이공원,경기도 남양주시 도농로 34,경기도 남양주시 다산동 4002-1,37.6110213937,127.1562284143,1500.0,,,,,,,경기도 남양주시청,031-590-5354,20260319
다산지금 소공원 1호,소공원,,경기도 남양주시 다산동 6106,37.6208537201,127.1630044966,7042.0,,,,,,,경기도 남양주시청,031-590-4993,20260319
다산지금 소공원 2호,소공원,,경기도 남양주시 다산동 6192,37.6100396963,127.166346911,865.0,,,,,,,경기도 남양주시청,031-590-2855,20260319
다산지금 어린이공원 1호,어린이공원,,경기도 남양주시 다산동 6121,37.6193831269,127.1634446829,1573.0,,,,,,,경기도 남양주시청,031-590-2855,20260319
다산지금 어린이공원 4호,어린이공원,,경기도 남양주시 다산동 6224,37.6005822683,127.1715465805,3196.0,,,,,,,경기도 남양주시청,031-590-2855,20260319
경일,어린이공원,,경기도 안산시 단원구 선부동 1056-7번지,37.3455339307,126.8068713751,1537.1,,,,,,19920101,경기도 안산시 단원구청,031-481-6410,20260406
정지막골,어린이공원,"경기도 안산시 단원구 석수로 5-1, (선부동)",경기도 안산시 단원구 선부동 1060번지,37.3403500565,126.8081616533,1503.1,,,,,,19920101,경기도 안산시 단원구청,031-481-6410,20260406
와동,어린이공원,"경기도 안산시 단원구 와동로1길 20, (와동)",경기도 안산시 단원구 와동 724번지,37.333075256,126.8252058172,1564.5,,,,,,19920101,경기도 안산시 단원구청,031-481-6410,20260406
샘터,어린이공원,,경기도 안산시 단원구 와동 778번지,37.3449971446,126.8221829604,2239.3,,,,,,19930101,경기도 안산시 단원구청,031-481-6410,20260406
복지,어린이공원,"경기도 안산시 단원구 와동로7안길 7, (와동)",경기도 안산시 단원구 와동 123번지,37.3397970804,126.8279454031,722.7,,,,,,19940101,경기도 안산시 단원구청,031-481-6410,20260406
샘물,어린이공원,,경기도 안산시 단원구 선부동 1105번지,37.3472107837,126.8161711248,1513.3,,,,,,19950101,경기도 안산시 단원구청,031-481-6410,20260406
방아머리공원,문화공원,"경기도 안산시 단원구 대부황금로 1546, (대부북동)",경기도 안산시 단원구 대부북동 1984번지,37.2894267791,126.5809997341,81099.8,,,,,,20101228,경기도 안산시청,031-481-6990,20260406
에코랜드 체육공원,체육공원,,경기도 남양주시 별내면 광전리 63-2,37.702669211,127.1288435654,65715.0,,,,,,,경기도 남양주시청,031-590-8347,20260319
체육공원,체육공원,,경기도 남양주시 와부읍 덕소리 97-7,37.5893673077,127.2257338124,9942.0,,,,,,,경기도 남양주시청,031-590-8601,20260319
소공원050,소공원,,경기도 남양주시 화도읍 묵현리 22-11,37.6679180636,127.3015914618,495.0,,,,,,,경기도 남양주시청,031-590-4993,20260319
미사 수변 13호 공원,수변공원,,경기도 하남시 풍산동 584,37.5515416783,127.1903652783,9246.0,,,,,,,경기도 하남시청,031-5182-1579,20251218
미사호수공원,근린공원,,경기도 하남시 망월동 1072,37.561176886,127.1887611818,3919.0,,,,,,,경기도 하남시청,031-5182-1579,20251218
미사 한강 4호 공원,체육공원,경기도 하남시 미사강변한강로 111,경기도 하남시 선동 421-1,37.5778421747,127.1884879739,87532.0,,,,,,,경기도 하남시청,031-5182-1579,20251218
위례근린공원6호,근린공원,,경기도 하남시 학암동 670,37.4762396806,127.1491539614,10052.0,,,,,,,경기도 하남시청,031-5182-1579,20251218
위례근린공원9호,근린공원,,경기도 하남시 학암동 674,37.4716071913,127.1598752124,50778.0,,,,,,,경기도 하남시청,031-5182-1579,20251218
새소리근린공원(근린4호공원),근린공원,,경기도 하남시 감이동 492,37.5031879635,127.1666609572,14170.0,,,,,,,경기도 하남시청,031-5182-1579,20251218
으뜸소공원,소공원,,경기도 하남시 감일동 448-1,37.5104871395,127.1515270135,1298.0,,,,,,,경기도 하남시청,031-5182-1579,20251218
감일문화공원,문화공원,경기도 하남시 감일순환로 177,경기도 하남시 감이동 456,37.5080692969,127.1595071295,8298.0,,,,,,,경기도 하남시청,031-5182-1579,20251218
미사역사공원(일가기념관),역사공원,경기도 하남시 미사강변남로 10,경기도 하남시 풍산동 468,37.5586206446,127.1833371105,6910.0,,,,,,,경기도 하남시청,031-5182-1579,20251218
교회터소공원(소공원214),소공원,,경기도 하남시 덕풍동 947-2,37.5394692185,127.1973949185,157.0,,,,,,,경기도 하남시청,031-5182-1579,20251218
벌말천 수변공원(수변2호공원),수변공원,,경기도 하남시 감일동 536,37.5105228169,127.1621743904,34770.0,,,,,,,경기도 하남시청,031-5182-1579,20251218
세미 근린공원,근린공원,경기도 하남시 하남대로 939,경기도 하남시 풍산동 623,37.5455907565,127.1950182143,10705.0,,,,,,,경기도 하남시청,031-5182-1579,20251218
다산진건 어린이공원 6호,어린이공원,,경기도 남양주시 다산동 6093,37.6219417665,127.1580665629,2363.0,,,,,,,경기도 남양주시청,031-590-2855,20260319
체육공원 2호,체육공원,경기도 남양주시 다산중앙로146번길 83,경기도 남양주시 다산동 6033,37.6277435835,127.1601178796,13044.0,,,,,,,경기도 남양주시청,031-590-5354,20260319
녹촌제1호어린이공원,어린이공원,,경기도 남양주시 화도읍 녹촌리 556-1,37.6511292559,127.2984127886,3125.0,,,,,,,경기도 남양주시청,031-590-4993,20260319
월산리4지구소공원,소공원,,경기도 남양주시 화도읍 월산리 1527-4,37.6518289871,127.3362051412,190.0,,,,,,,경기도 남양주시청,031-590-4993,20260319
다산지금 소공원 4호,소공원,,경기도 남양주시 다산동 6230-1,37.6019514124,127.1671967541,9164.0,,,,,,,경기도 남양주시청,031-590-2855,20260319
다산진건 어린이공원 7호,어린이공원,,경기도 남양주시 다산동 6154,37.6158586624,127.1573005447,2907.0,,,,,,,경기도 남양주시청,031-590-5354,20260319
도뮤토아파트어린이공원,어린이공원,,경기도 남양주시 화도읍 창현리 778-3,37.6446393914,127.3041237503,2810.0,,,,,,,경기도 남양주시청,031-590-4993,20260319
문화공원/1,문화공원,,경기도 남양주시 다산동 3207-3,37.6123658729,127.1675826188,21501.0,,,,,,,경기도 남양주시청,031-590-5354,20260319
