faclt_nm,faclt_div_nm,refine_wgs84_lat,refine_wgs84_logt,refine_road_nm_addr,refine_lotno_addr,faclt_telno,room_cnt,plot_ar,build_tfar,aceptnc_posbl_psncnt,parkng_comprt_cnt,convnce_faclt_info,safe_faclt_info,subfaclt_info,opr_hr_info,chrg_info,mnginst_telno,mnginst_nm,dat_crtr_ymd
전원일기마을 오토 캠핑장,자동차야영장,37.67255167,126.910158,경기도 양주시 장흥면 일영로327번길 227-19,경기도 양주시 장흥면 삼하리 210-1번지,000-000-0000,30,6650.0,49.9,160,,전기시설+상하수도시설+샤워실+화장실,소화기+대피공간,,,,031-8082-5661,양주시 문화관광과,20200403
클라인캠프빌리지,야영장,37.428714,127.566708,경기도 양평군 개군면 추읍로 268-37,경기도 양평군 개군면 자연리 1-5번지,,8,1900.0,188.0,32,,화장실 개수대 샤워장 매점,"소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
오커빌리지,야영장,37.5094565,127.563853,경기도 양평군 용문면 장수길 22,경기도 양평군 용문면 연수리 530번지,031-775-5071,5,13375.0,1304.0,40,15,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,15시간,"50,000원",031-770-2069,양평군 관광과,20200611
청운오토캠핑장,야영장,37.543015,127.702333,경기도 양평군 청운면 수풀길 37,경기도 양평군 청운면 가현리 435-2번지,031-775-1231,27,660.0,247.0,144,27,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,23시간,"45,000원",031-770-2069,양평군 관광과,20200611
용문산관광지 야영장,야영장,37.546856,127.582171,경기도 양평군 용문면 용문산로 641,경기도 양평군 용문면 신점리 525-2번지,031-772-8279,55,9773.0,160.0,216,40,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,22시간,"50,000원",031-770-2069,양평군 관광과,20200611
오커빌리지,야영장,37.5094565,127.563853,경기도 양평군 용문면 장수길 22,경기도 양평군 용문면 연수리 530번지,031-775-5071,10,3500.0,100.0,40,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
산음숲자연학교,야영장,37.605829,127.600595,경기도 양평군 단월면 봉미산샘골길 1,경기도 양평군 단월면 산음리 231-1번지,031-771-2504,15,9964.0,733.0,60,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
탄도호캠핑장,야영장,37.209509728,126.6673822999,경기도 화성시 송산면 송산서로420번길 102-20,경기도 화성시 송산면 지화리 499-2번지,0507-1353-8753,23,9872.0,76.0,92,,전기시설+화장실,소화기+대피공간+방송장비,,,,031-5189-6016,화성시청,20250630
반달곰이 살던 숲,야영장,37.1635551591,126.9576253709,경기도 화성시 정남면 정송길23번길 18,경기도 화성시 정남면 백리 376-4번지,0507-1359-4214,84,6371.0,293.0,336,,전기시설+화장실,소화기+대피공간+방송장비,,,,031-5189-6016,화성시청,20250630
라온캠프닉,야영장,37.2208135233,126.82619594,경기도 화성시 남양읍 송림로68번길 30-13,경기도 화성시 남양읍 송림리 156-1번지,0507-1375-1399,9,939.0,939.0,36,,전기시설+화장실,소화기+대피공간+방송장비,,,,031-5189-6016,화성시청,20250630
슈필라움,야영장,37.1741090654,126.6268699974,경기도 화성시 서신면 해안길 468-11,경기도 화성시 서신면 제부리 3번지,0507-1394-3977,10,2679.0,99.0,40,,전기시설+화장실,소화기+대피공간+방송장비,,,,031-5189-6016,화성시청,20250630
(주)지앤에스 - 우프캠프,야영장,37.1104605425,126.9379476019,경기도 화성시 향남읍 양석골길 40-39,경기도 화성시 향남읍 화리현리 428-6번지,0507-1452-1535,7,5290.0,293.0,28,,전기시설+화장실,소화기+대피공간+방송장비,,,,031-5189-6016,화성시청,20250630
매향리 캠핑장,야영장,37.0380051447,126.7462483715,경기도 화성시 우정읍 고온리안길102번길 31,경기도 화성시 우정읍 매향리 938번지,,19,2514.0,121.0,76,,전기시설+화장실,소화기+대피공간+방송장비,,,,031-5189-6016,화성시청,20250630
필(FEEL) 오토 캠핑장,야영장,37.1764806593,126.6709215822,경기도 화성시 서신면 해양공단로100번길 34-28,경기도 화성시 서신면 장외리 130-15번지,,34,9800.0,225.0,136,,전기시설+화장실,소화기+대피공간+방송장비,,,,031-5189-6016,화성시청,20250630
안석관광농원,야영장,37.1693736899,126.8266979973,경기도 화성시 남양읍 안석길140번길 2,경기도 화성시 남양읍 안석리 87-14번지,0507-1321-6622,24,4988.0,183.0,96,,전기시설+화장실,소화기+대피공간+방송장비,,,,031-5189-6016,화성시청,20250630
벨라,야영장,37.8984918415,127.117871501,경기도 동두천시 탑신로237번길 39,경기도 동두천시 탑동동 322-6번지,031-000-0000,23,2327.0,70.0,150,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+관리요원,글램핑 5동+미니수영장,,,031-860-2067,동두천시청 문화체육과,20190630
에코유 캠핑장,야영장,37.8640472616,127.106043142,경기도 동두천시 천보산로359번길 57,경기도 동두천시 탑동동 495-8번지,070-8839-3700,38,16625.0,410.0,200,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+관리요원,방가로 5동+수영장+눈썰매장,,,031-860-2067,동두천시청 문화체육과,20190630
산야초 자연 캠핑장,야영장,37.906599509,127.107441399,경기도 동두천시 쇠목길 320,경기도 동두천시 광암동 산30-1번지,031-868-6225,35,9655.0,365.0,200,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+관리요원,숙박실 5동+물놀이장,,,031-860-2067,동두천시청 문화체육과,20190630
온새미캠핑장,야영장,37.8797094163,127.097640546,경기도 동두천시 천보산로 537,경기도 동두천시 탑동동 647번지,031-000-0000,30,1565.0,69.0,50,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+관리요원,,,,031-860-2067,동두천시청 문화체육과,20190630
놀터글램핑,야영장,37.9413411453,127.0523717333,경기도 동두천시 신천로 274-57,경기도 동두천시 상봉암동 171번지,031-000-0000,0,2406.0,237.0,50,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+관리요원,글램핑 7동+수영장,,,031-860-2067,동두천시청 문화체육과,20190630
산촌캠핑장,야영장,37.9010775,127.1213409,경기도 동두천시 탑신로237번길 111,경기도 동두천시 탑동동 286-1번지,031-000-0000,21,3545.0,434.0,100,21,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+관리요원,,,,031-860-2067,동두천시청 문화체육과,20190630
파라다이스캠핑장,야영장,37.8913280698,127.127714338,경기도 동두천시 탑신로 368,경기도 동두천시 탑동동 208-7번지,031-000-0000,5,1049.0,99.6,50,,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+관리요원,방갈로+수영장,,,031-860-2067,동두천시청 문화체육과,20190630
파인힐 빌리지 캠핑장,자동차야영장,37.923324,127.043264,경기도 동두천시 안흥로 65-42,경기도 동두천시 안흥동 45-39번지,031-000-0000,11,4762.0,84.0,80,11,상하수도시설+전기시설+화장실+취사시설+샤워실,소화기+확성기+안전게시물+관리요원,방갈로 5동,,,031-860-2067,동두천시청 문화체육과,20190630
남양캠핑장,야영장,37.1908091557,126.8079622709,경기도 화성시 남양읍 신남서길71번길 4,경기도 화성시 남양읍 신남리 870-27번지,,20,7822.0,123.64,80,,전기시설+화장실,소화기+대피공간+방송장비,,,,031-5189-6016,화성시청,20250630
화성리프레시글램핑,야영장,37.1586462319,126.7429236987,경기도 화성시 서신면 안벼슬길102번길 205,경기도 화성시 서신면 사곶리 9-18번지,,32,3446.0,297.33,128,,전기시설+화장실,소화기+대피공간+방송장비,,,,031-5189-6016,화성시청,20250630
올라봄 캠크닉,야영장,37.141682807,126.9406009316,,경기도 화성시 향남읍 도이리 2,,9,6763.0,,36,,전기시설+화장실,소화기+대피공간+방송장비,,,,031-5189-6016,화성시청,20250630
㈜궁평해윰캠핑장,야영장,37.1161556148,126.6833759188,경기도 화성시 서신면 궁평항로 1069-11,경기도 화성시 서신면 궁평리 688번지,,9,3462.0,,36,,전기시설+화장실,소화기+대피공간+방송장비,,,,031-5189-6016,화성시청,20250630
화성기천캠핑장,야영장,37.1959309723,126.9117366968,경기도 화성시 봉담읍 건달산로 269,경기도 화성시 봉담읍 상기리 565-12번지,,9,935.0,72.0,36,,전기시설+화장실,소화기+대피공간+방송장비,,,,031-5189-6016,화성시청,20250630
갯골캠핑장,야영장,37.38927543,126.761998,경기도 시흥시 동서로 137-71,경기도 시흥시 월곶동 520-327번지,031-488-6999,45,38157.0,123.0,220,306,화장실/ 음수대/ 샤워실,소화기/ 안전게시물/ 대피공간/ 관리요원,고정형텐트 3동,당일 14:00 ~ 익일 11:00,관외 35000원/관내 25000원/관외(게르) 90000원/관내(게르) 70000원,031-488-6999,경기도 시흥시 시설관리공단,20201229
물왕숲캠핑파크,야영장,37.38116529,126.8280419,경기도 시흥시 물왕동 341-12,경기도 시흥시 물왕동 341-12,031-486-4700,24,4992.0,199.36,96,2,화장실/ 음수대/ 샤워실,소화기/ 안전게시물/ 관리요원,카라반2대/ 야영트레일러2대,,,031-310-2902,경기도 시흥시청,20201229
작은쉼터야영장,야영장,37.34936338,126.7589429,경기도 시흥시 죽율로 25,경기도 시흥시 죽율동 620번지,031-431-6660,15,4916.0,149.4,56,18,화장실/ 음수대/ 샤워실,소화기/ 안전게시물/ 확성기/ 관리요원,카라반 14대,,,031-310-2902,경기도 시흥시청,20201229
설매재자연휴양림 야영장,야영장,37.556938,127.509366,경기도 양평군 옥천면 용천로 510,경기도 양평군 옥천면 용천리 산29-21번지,031-772-5955,41,2275.0,47.0,164,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
천사봉 오토 캠핑장,야영장,37.595951,127.597237,경기도 양평군 단월면 고북길 111-10,경기도 양평군 단월면 산음리 662-7번지,,32,2801.0,70.0,128,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
거북바위야영장,야영장,37.567539,127.429239,경기도 양평군 서종면 거북바위1길 185,경기도 양평군 서종면 서후리 234-1번지,,6,1476.0,63.0,30,,화장실 개수대 샤워장,"소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
노산팔경 캠핑장 관광농원,야영장,37.636501,127.427204,,"경기도 양평군 서종면 노문리 600-1번지 외 7필지(600, 599-2, 599, 599-5, 598-2, 601-1, 585)",,23,5936.0,132.0,90,,"카라반, 글램핑, 화장실 개수대 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
문앤스타 캠핑장,야영장,37.5426364894,127.617195215,경기도 양평군 용문면 중원산로 478,경기도 양평군 용문면 중원리 399-2번지,,10,996.0,99.0,40,,화장실 개수대 샤워장,"소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
고래숲 관광농원,야영장,37.20036344,126.5616401,경기도 안산시 단원구 장불길 14,경기도 안산시 단원구 대부남동 530-4번지,,30,,,120,,화장실+취사시설+샤워실,소화기+긴급방송시설,,,,031-481-3512,안산시청,20250630
비치캠핑장,야영장,37.20106696,126.5594228,경기도 안산시 단원구 장불길 35,경기도 안산시 단원구 대부남동 559-45번지,,5,,,20,,화장실+취사시설+샤워실,소화기+긴급방송시설,,,,031-481-3512,안산시청,20250630
대부도나라캠핑장,야영장,37.19976751,126.5603742,경기도 안산시 단원구 장불길 31-23,경기도 안산시 단원구 대부남동 557-1번지,,4,,,35,,화장실+샤워실,소화기+긴급방송시설,,,,031-481-3512,안산시청,20250630
대부관광농원 오캠핑,야영장,37.20714528,126.5462751,경기도 안산시 단원구 대남로 642,경기도 안산시 단원구 대부남동 1371번지,,55,,,180,,화장실+취사시설+샤워실,소화기+긴급방송시설,,,,031-481-3512,안산시청,20250630
대부도 아라뜰 캠핑장,야영장,37.22048379,126.6001752,경기도 안산시 단원구 부흥로 232-21,경기도 안산시 단원구 대부남동 28-110번지,,8,,,50,,화장실+샤워실,소화기+긴급방송시설,,,,031-481-3512,안산시청,20250630
젤리캠핑장,야영장,37.21868471,126.5577614,경기도 안산시 단원구 중우물1길 12,경기도 안산시 단원구 대부남동 1126-77번지,,8,,,50,,화장실,소화기+긴급방송시설,,,,031-481-3512,안산시청,20250630
주식회사 대부도펜션시티,야영장,37.23409193,126.5892137,경기도 안산시 단원구 공마루길 68-97,경기도 안산시 단원구 대부동동 1567-36번지,,59,,,354,,화장실+취사시설+샤워실,소화기+긴급방송시설,,,,031-481-3512,안산시청,20250630
Moon글램핑,야영장,37.19982385,126.6451664,경기도 안산시 단원구 대부황금로 90,경기도 안산시 단원구 선감동 683-93번지,,13,,,26,,화장실+취사시설,소화기+긴급방송시설,,,,031-481-3512,안산시청,20250630
안산화랑오토캠핑장,자동차야영장,37.32507331,126.8099722,경기도 안산시 단원구 동산로 268,경기도 안산시 단원구 초지동 667번지,,85,,,656,,화장실+취사시설+샤워실,소화기+긴급방송시설,,,,031-481-3512,안산시청,20250630
탄도항 노을 캠핑장,자동차야영장,37.19441776,126.6454752,경기도 안산시 단원구 대부황금로 17-2,경기도 안산시 단원구 선감동 717-10번지,,13,,,52,,화장실+식기세척실+샤워실,소화기+긴급방송시설,,,,031-481-3512,안산시청,20250630
글램포레스트 대부도,야영장,37.23358523,126.626038,경기도 안산시 단원구 선감로 14,경기도 안산시 단원구 선감동 663번지,,21,,,84,,화장실+취사시설+샤워실+어린이놀이시설,소화기+긴급방송시설,,,,031-481-3512,안산시청,20250630
핀란드캠핑장,야영장,37.22991447,126.5452106,경기도 안산시 단원구 큰망생이1길 17,경기도 안산시 단원구 대부남동 1172-41번지,,4,,,16,,화장실+취사시설+샤워실,소화기+긴급방송시설,,,,031-481-3512,안산시청,20250630
워크 안산 BBQ,야영장,37.29765837,126.9073687,경기도 안산시 상록구 수인로 919,경기도 안산시 상록구 건건동 876-13번지,,16,,,240,,화장실+샤워실,소화기+긴급방송시설,,,,031-481-3512,안산시청,20250630
스타로드,야영장,37.8873291,127.3632816,경기도 가평군 조종면 명지산로 137-44,경기도 가평군 조종면 상판리 304-2번지,,12,2980.0,,48,12,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
백허그 캠핑장,야영장,37.8973603,127.4962404,경기도 가평군 북면 백둔로 61-41,경기도 가평군 북면 백둔리 45-26번지,,15,4044.0,,60,15,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
잉글랜드 캠핑장,야영장,37.9129868,127.5748455,경기도 가평군 북면 멱골로 265,경기도 가평군 북면 목동리 328-1번지,,17,3000.0,172.0,68,17,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
모아이 캠프,야영장,37.7619508,127.3614955,경기도 가평군 상면 수목원로164번길 26,경기도 가평군 상면 행현리 430-15번지,,10,3272.0,120.78,40,10,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
글램탐다오,야영장,37.6289807,127.5122934,경기도 가평군 설악면 묵안로 560,경기도 가평군 설악면 설곡리 455-2번지,,1,2990.0,86.69,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
계곡에풍덩펜션캠핑장,야영장,37.910531,127.3820627,경기도 가평군 조종면 명지산로 469,경기도 가평군 조종면 상판리 120-19번지,,13,2799.0,258.12,52,13,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
가화 2372 카라반글램핑,야영장,37.9538897,127.4775352,경기도 가평군 북면 가화로 2372-22,경기도 가평군 북면 도대리 324번지,,4,850.0,11.27,16,4,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
선택적고립캠핑장,야영장,37.7817233,127.3655376,경기도 가평군 상면 축령로70번길 106,경기도 가평군 상면 행현리 1028,,28,9280.6,203.02,112,28,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
김원장캠핑,야영장,37.8554976,127.4014309,경기도 가평군 조종면 연인산로 670-458,경기도 가평군 조종면 마일리 7-1번지,,21,4733.0,189.7,84,21,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
가평아지트캠핑장,야영장,37.8682252,127.5254782,경기도 가평군 가평읍 당목가일길 139-120,경기도 가평군 가평읍 개곡리 1113-8번지,,23,5440.0,184.88,92,23,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
가평은하수카라반캠핑장,야영장,37.7369444,127.4352987,경기도 가평군 청평면 잠곡로 120-80,경기도 가평군 청평면 청평리 28-62번지,,1,1032.0,38.5,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
캠프 아리울,야영장,37.8302949,127.3042785,경기도 가평군 상면 청군로 1857,경기도 가평군 상면 율길리 1002-1번지,,1,2533.6,58.34,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
인더풀 글램핑,야영장,37.8990331,127.3467619,경기도 가평군 조종면 운악청계로 1038-9,경기도 가평군 조종면 운악리 550번지,,1,6396.0,269.0,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
스윗피크닉,야영장,37.8222446,127.3205743,경기도 가평군 상면 청군로 1567,경기도 가평군 상면 원흥리 514-2번지,,1,765.0,18.0,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
새와참새 수목정원,야영장,37.6427644,127.5095067,경기도 가평군 설악면 묵안로 320,경기도 가평군 설악면 엄소리 49번지,,10,3884.0,59.75,40,10,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
산천 밥주는 캠핑장,야영장,37.9009262,127.3701351,경기도 가평군 조종면 명지산로 327-49,경기도 가평군 조종면 상판리 445-2번지,,10,3365.0,58.0,40,10,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
맑음터공원 캠핑장,야영장,37.1358717,127.0626793,경기도 오산시 오산천로 52,경기도 오산시 오산동 750-1번지,031-8036-6891,62,29.672,127.125,248,278,취사장+화장실+샤워실,소화기+방화수,카라반 9동,지정일 14:00~익일 11:00,"까산이존, 매화존 : 25,000원(성수기,비수기_공휴일), 20,000원(비수기_평일) / 카라반(4인) : 120,000원(성수기), 100,000원(비수기_공휴일), 80,000(비수기_평일) / 카라반(6인) : 180,000원(성수기), 110,000원(비수기_공휴일), 100,000원(비수기_평일)",031-8036-6476,경기도 오산시,20240306
"올래 캠핑장, 펜션",야영장,37.5924585,127.5117838,경기도 가평군 설악면 어비산길 203,경기도 가평군 설악면 가일리 33번지,,8,1501.0,68.4,32,8,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
가평썬 캠핑,야영장,37.8258726,127.3216089,경기도 가평군 상면 청군로 1579-14,경기도 가평군 상면 원흥리 532-1번지,,6,1647.0,,24,6,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
티앤(TN) 글램핑,야영장,37.8967261,127.5258757,경기도 가평군 북면 꽃넘이길 55,경기도 가평군 북면 제령리 534-3번지,,1,3702.0,566.03,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
하늘땅별땅 캠핑장,야영장,37.9512039,127.5332416,경기도 가평군 북면 화악산로 1135-47,경기도 가평군 북면 화악리 904-5번지,,25,2700.0,59.6,100,25,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
와이캠핑장,야영장,37.7323043,127.4241476,,경기도 가평군 청평면 청평리 134-9,,13,11852.0,149.7,52,13,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
글램바오캠핑장,야영장,37.7726687,127.5363267,경기도 가평군 가평읍 북한강변로 518,경기도 가평군 가평읍 금대리 302-1번지,,1,1955.0,27.0,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
유명산밸리캠핑장,야영장,37.5933124,127.4899229,경기도 가평군 설악면 유명산길 79-28,경기도 가평군 설악면 가일리 223-8번지,,9,1476.0,223.78,36,9,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
숲속의 정원 캠핑장,야영장,37.881911,127.5506278,경기도 가평군 북면 가화로 988-50,경기도 가평군 북면 목동리 792-4번지 (사랑이야기),,1,4011.0,280.2,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
보리산 캠핑장,야영장,37.6689252,127.537107,,경기도 가평군 설악면 위곡리 33-4,,1,4002.0,791.57,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
별다리 글램핑,야영장,37.8947284,127.5287651,경기도 가평군 북면 꽃넘이길 23-7,경기도 가평군 북면 제령리 528번지,,8,3492.0,74.73,32,8,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
파인빌 포레스트 야영장,야영장,37.8778847,127.5778318,,경기도 가평군 가평읍 개곡리 146-2,,1,1765.0,370.87,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
화야 캠핑장,야영장,37.680821,127.4689529,경기도 가평군 설악면 유명로 1907-41,경기도 가평군 설악면 회곡리 32-1번지,,8,1998.0,182.6,32,8,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
가평명지산카라반글램핑,야영장,37.9813962,127.4476074,경기도 가평군 북면 가화로 2932-23,경기도 가평군 북면 적목리 85-7번지,,1,19187.0,253.18,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
오샤캠핑장(OSHA),야영장,37.8973684,127.5542864,,경기도 가평군 북면 소법리 627-54,,11,1085.0,98.9,44,11,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
황정민 키즈 글램핑&오토 캠핑장,야영장,37.9140665,127.3844556,경기도 가평군 조종면 명지산로 523,경기도 가평군 조종면 상판리 141-2번지,,9,2616.0,208.77,36,9,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
계곡풍경야영장,야영장,37.953051,127.475345,경기도 가평군 북면 가화로 2389-34,경기도 가평군 북면 도대리 336-21번지 계곡풍경펜션,,6,1653.0,30.0,24,6,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
소풍캠핑장,야영장,37.5953613,127.5077787,경기도 가평군 설악면 어비산길 184-151,경기도 가평군 설악면 가일리 107-5번지,,8,1696.0,33.0,32,8,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
금다래캠핑장,야영장,37.9503306,127.5334064,,경기도 가평군 북면 화악리 924,,18,2362.0,50.0,72,18,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
(주)캠프통,야영장,37.7105611,127.484427,경기도 가평군 청평면 호반로 976,경기도 가평군 청평면 고성리 761-5번지,,1,6289.0,545.32,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
캠프241 더 다이닝,야영장,37.8430528,127.5084028,경기도 가평군 가평읍 잎너비길 18-91,경기도 가평군 가평읍 읍내리 967-2번지,,25,3400.0,152.73,100,25,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
하늘계곡캠핑장,야영장,37.6162944,127.5394601,,경기도 가평군 설악면 설곡리 65-4,,15,2449.0,65.0,60,15,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
이우캠핑장,야영장,37.8155595,127.3238042,,경기도 가평군 상면 원흥리 466,,1,330.0,,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
가평사계절캠핑장,야영장,37.8837145,127.5486388,경기도 가평군 북면 가화로 988,경기도 가평군 북면 목동리 816,,26,2494.0,124.18,104,26,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
청평다감,야영장,37.7106135,127.4819995,경기도 가평군 청평면 호반로 886,경기도 가평군 청평면 고성리 786-19,,5,813.0,,20,5,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
용수그린랜드,야영장,37.853826,127.3478306,경기도 가평군 조종면 운악청계로491번길 87,경기도 가평군 조종면 신상리 257-1,,2,2120.0,22.5,8,2,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
성남가족캠핑숲,자동차야영장,37.4582968213,127.1393146141,경기도 성남시 수정구 가마절로 47,경기도 성남시 수정구 복정동 108,031-729-4299,32,5733.0,,192,34,전기시설+상하수도시설+샤워실+식기세척장+화장실,소화기+확성기 등 방송장비+안전게시물+관리요원+휴대용손전등,"관리사무소, 화장실, 식기세척장, 샤워장 등",지정일 14:00~익일 11:00,"25,000원",031-729-4299,성남시청 녹지과,20180503
메종드글램,야영장,37.6308522,127.5094601,경기도 가평군 설악면 양방가루재길 196-1,경기도 가평군 설악면 설곡리 438번지,,1,3617.0,299.63,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
주식회사 케이힐링,야영장,37.7005612,127.3954183,경기도 가평군 청평면 북한강로 2066,경기도 가평군 청평면 삼회리 188-7번지,,1,1390.0,27.2,4,1,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
골든데이즈캠프,야영장,37.8302027,127.3209445,경기도 가평군 상면 물골길 16,경기도 가평군 상면 봉수리 3-1번지,,16,6663.0,87.75,64,16,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
캠핑296,야영장,37.7394466,127.4717237,경기도 가평군 청평면 호명리길 296,경기도 가평군 청평면 호명리 6-3번지,,11,2569.0,232.8,44,11,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
꼬리별 캠핑,야영장,37.8337481,127.3876214,경기도 가평군 조종면 보름골길 374,경기도 가평군 조종면 마일리 114번지,,4,961.0,37.35,16,4,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
제이와이카라반캠핑장,야영장,37.8476317,127.5088043,경기도 가평군 가평읍 잎너비길 25,경기도 가평군 가평읍 읍내리 124-1번지,,11,3697.0,190.4,44,11,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
제령포레스트 캠프,야영장,37.8870409,127.5420473,경기도 가평군 북면 제령아랫말길 67-61,경기도 가평군 북면 제령리 225-17,,3,1660.0,18.0,12,3,"화장실, 샤워실, 개수대","소확기, 긴급방송시설",,,,031-580-2066,가평군청,20260520
