div,entrps_nm,main_biz_cont,telno,dat_crtr_ymd,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
음식점업,통나무집,31(1990년),02-503-9555,20221124,"경기도 과천시 새술막길 38, 105호(중앙동, 중앙상가 1층)",경기도 과천시 중앙동 40-5번지 중앙상가 1층 105호,13807,37.4289927,126.9914552
음식점업,제일황소,30(1987년),031-451-3006,20221124,"경기도 군포시 군포로534번길 16, 1층(당동)",경기도 군포시 당동 750-18번지 1층,15855,37.3535393,126.9473751
음식점업,이조숯불갈비,21(1999년),031-453-7272,20221124,"경기도 군포시 군포로 534번길 19, 1층 (당동)",경기도 군포시 당동 750-11번지 1층,15855,37.3537483,126.9477349
서비스업,장머리방,33(1988년),031-471-2004,20221124,경기도 안양시 만안구 안양로548번길 36(석수동),경기도 안양시 만안구 석수동 267-11번지,13962,37.4184141,126.9088707
서비스업,성진카정비,31(1990년),031-408-0989,20221124,"경기도 안산시 상록구 각골로 110(본오동, 1층)",경기도 안산시 상록구 본오동 759번지 1층,15546,37.2991766,126.8731462
서비스업,정흥교 헤어샵,45(1976년),031-594-0026,20221124,경기도 남양주시 화도읍 마석로61번길 18-25,경기도 남양주시 화도읍 마석우리 379-3번지,12175,37.6574272,127.3041023
음식점업,왈츠와닥터만,34(1986년),031-576-0020,20221124,경기도 남양주시 조안면 북한강로 856-37,경기도 남양주시 조안면 삼봉리 272-6번지,12278,37.5919694,127.3384601
음식점업,고기돌담집,22(1999년),031-261-5292,20221124,경기도 용인시 수지구 이종무로 49번길 5(고기동),경기도 용인시 수지구 고기동 243-10번지,16800,37.3573669,127.0509279
음식점업,귀래정,23(1996년),031-263-8266,20221124,경기도 용인시 수지구 동천로 635(고기동),경기도 용인시 수지구 고기동 755-11번지,16800,37.3588958,127.054792
도소매업,수도전기모터,22(1999년),031-676-5494,20221124,경기도 안성시 안성맞춤대로 979(도기동),경기도 안성시 도기동 2번지,17595,37.0009583,127.2671481
도소매업,제일농약사,35(1986년),031-672-5101,20221124,경기도 안성시 일죽면 주래본죽로 35-1,경기도 안성시 일죽면 송천리 28-9번지,17529,37.0937171,127.4785971
도소매업,친절열쇠,48(1973년),031-675-3369,20221124,"경기도 안성시 낙원길 40, 1층(창전동)",경기도 안성시 창전동 606-1번지 1층,17592,37.0053832,127.2711809
도소매업,W.코끼리안경콘택트렌즈,26(1905년),031-711-0203,20221124,"경기도 성남시 분당구 내정로166번길 7-6 (수내동), 파크타운대림아파트 코끼리상가 1층 1호, 12호","경기도 성남시 분당구 수내동 56번지 파크타운대림아파트 코끼리상가 1층 1호, 12호",13599,37.3730961,127.1204185
도소매업,금성기름집,29(1905년),031-754-6006,20221124,"경기도 성남시 중원구 둔촌대로69번길 8(성남동), 1층",경기도 성남시 중원구 성남동 4214번지 1층,13377,37.4306354,127.1274977
도소매업,대광기름집,37(1905년),031-754-9738,20221124,"경기도 성남시 중원구 둔촌대로83번길 7(성남동), 1층",경기도 성남시 중원구 성남동 4222번지 1층,13377,37.4309074,127.128005
도소매업,오복기름집,30(1905년),031-754-2294,20221124,"경기도 성남시 중원구 둔촌대로83번길 7-5(성남동), 1층",경기도 성남시 중원구 성남동 4219번지 1층,13377,37.4307272,127.1280285
음식점업,용마루,40(1905년),031-746-9206,20221124,경기도 광주시 남한산성면 남한산성로780번길 35 (산성리),경기도 광주시 남한산성면 산성리 699번지,12700,37.4807149,127.1829196
음식점업,두꺼비집,31(1989년),031-202-4267,20221124,경기도 수원시 영통구 반달로 32 (영통동),경기도 수원시 영통구 영통동 1008-11번지,16705,37.2508772,127.0754772
서비스업,서수원직업전문교육원,27(1905년),031-295-5544,20221124,"경기도 수원시 권선구 매송고색로 716 (고색동), 3층 일부, 5층, 6층 일부","경기도 수원시 권선구 고색동 49-20번지 3층 일부, 5층, 6층 일부",16649,37.2511126,126.9827979
음식점업,신라갈비,36(1905년),031-212-2354,20221124,경기도 수원시 영통구 동수원로 538 (원천동),경기도 수원시 영통구 원천동 89-7번지,16518,37.2737747,127.0492142
음식점업,장수촌,26(1905년),031-262-7711,20221124,"경기도 용인시 수지구 동천로 631 (고기동), 1층",경기도 용인시 수지구 고기동 216-4번지 1층,16800,37.3587331,127.0546575
음식점업,정미소 김치관,20(1905년),031-261-0042,20221124,"경기도 용인시 수지구 신봉1로 302 (신봉동), 1층",경기도 용인시 수지구 신봉동 569-3번지 1층,16803,37.3328072,127.0564925
음식점업,궁중삼계탕,32(1905년),031-502-9090,20221124,"경기도 안산시 상록구 석호공원로 69 (사동, 인우빌), 101호",경기도 안산시 상록구 사동 1197-4번지 인우빌 101호,15581,37.3016898,126.8510886
음식점업,마루솥뚜껑와인삼겹살,20(1905년),031-480-3010,20221124,"경기도 안산시 단원구 광덕대로 145 (고잔동, 강희그랜드빌) 205호",경기도 안산시 단원구 고잔동 717번지 강희그랜드빌 205호,15476,37.3095076,126.8289824
음식점업,이천영양돌솥밥,25(1905년),031-428-2600,20221124,경기도 안산시 상록구 항가울로 7 (사동),경기도 안산시 상록구 사동 1431-9번지,15628,37.2825222,126.8470568
음식점업,대물림안성장터국밥,21(1905년),031-674-9494,20221124,"경기도 안성시 미양면 구례골길 170-17 (계륵리), 가동 1층",경기도 안성시 미양면 계륵리 142-7번지 가동 1층,17598,36.9838079,127.2514018
도소매업,빵굽는마을,23(1905년),031-358-8188,20221124,"경기도 안양시 동안구 관악대로 103 (비산동), 103에비뉴 107호",경기도 안양시 동안구 비산동 550-1번지 에비뉴 107호,13924,37.3991555,126.9354258
음식점업,케익나라,24(1905년),031-666-7688,20221124,"경기도 평택시 지산동 755-8, 1층","경기도 평택시 지산동 755-8, 1층",17757,37.0813684,127.0561951
서비스업,덕성이발관,35(1905년),031-5592-5685,20221124,경기도 남양주시 금곡동 430-40,경기도 남양주시 금곡동 430-40,12234,37.6339515,127.2062631
음식점업,박성구과자점,38(1905년),031-595-0098,20221124,"경기도 남양주시 금곡동 404-41, 1층","경기도 남양주시 금곡동 404-41, 1층",12234,37.6341579,127.2058883
음식점업,신내보리밥,31(1905년),031-771-9199,20221124,"경기도 양평군 개군면 공서울길 39 (공세리), 1층",경기도 양평군 개군면 공세리 221-1번지 1층,12566,37.4666781,127.5319351
음식점업,옥천면옥,34(1905년),031-772-5187,20221124,경기도 양평군 옥천면 옥천길 13 (옥천리),경기도 양평군 옥천면 옥천리 740-8번지,12507,37.518061,127.4555046
음식점업,㈜강계봉진막국수,40(1905년),031-882-8300,20221124,"경기도 여주시 대신면 천서리길 26 (천서리), 1층",경기도 여주시 대신면 천서리 419-2번지 1층,12608,37.4031973,127.5489582
도소매업,평택고추상회,28(1905년),031-373-4851,20221124,"경기도 오산시 오산로272번길 13 (오산동), 1층",경기도 오산시 오산동 854-8번지 1층,18136,37.1514415,127.0700089
음식점업,라르고경양식,24(1997년),031-868-1433,20221124,경기도 동두천시 삼육사로 1273 (광암동)1층,경기도 동두천시 광암동 175-11번지 1층,11322,37.8924344,127.089255
도소매업,백양상회,42(1980년),031-974-7325,20221124,경기도 고양시 덕양구 토당로78번길 7-16 (토당동)백양상회,경기도 고양시 덕양구 토당동 336-25번지 백양상회,10508,37.6229427,126.819138
음식점업,(주)더케이푸드컴퍼니,26(1995년),031-252-4700,20221124,"경기도 수원시 장안구 경수대로 1013 (송죽동, 송풍가든)송풍가든",경기도 수원시 장안구 송죽동 440-3번지 송풍가든 송풍가든,16300,37.3062192,127.0006561
음식점업,완산정,20(2002년),031-391-9933,20221124,"경기도 군포시 번영로 508 (금정동, 신산빌딩)107호 완산정",경기도 군포시 금정동 874-2번지 신산빌딩 107호 완산정,15862,37.3579193,126.9338943
음식점업,궁중해물탕,22(1998년),031-671-0761,20221124,"경기도 안성시 양성면 만세로 673 (동항리, 궁중해물탕)궁중해물탕",경기도 안성시 양성면 동항리 640-5번지 궁중해물탕 궁중해물탕,17502,37.0604649,127.1896261
음식점업,삼거리부대찌개,46(1976년),031-952-3431,20221124,"경기도 파주시 문산읍 문향로 103 (선유리, 삼거리식당)1층",경기도 파주시 문산읍 선유리 950-18번지 삼거리식당 1층 선유리,10821,37.8606023,126.7873661
음식점업,명인 이상용 제빵소,25(1993년),031-974-5005,20221124,경기도 고양시 덕양구 토당동 864-31층,경기도 고양시 덕양구 토당동 864-31층,10507,,
도소매업,한일상사,38(1984년),032-674-3007,20221124,경기도 부천시 수도로 104 (도당동)한일자동펌프,경기도 부천시 원미구 도당동 5-2번지 한일자동펌프,14519,37.5156887,126.7775555
음식점업,오륙하우스,49(1972년),031-865-3556,20221124,경기도 동두천시 상패로 210-9 (보산동)보산동,경기도 동두천시 보산동 431-11번지,11324,37.917296,127.0555659
음식점업,한일가든,60(1960년),031-973-0694,20221124,"경기도 고양시 덕양구 행주로 77 (행주내동, 한일가든)전체",경기도 고양시 덕양구 행주내동 187-4번지 한일가든 전체,10439,37.6054315,126.8241352
음식점업,호수식당,21(2000년),031-365-3324,20221124,경기도 동두천시 중앙로 312 (생연동)1층,경기도 동두천시 생연동 613-44번지 1층,11325,37.9091647,127.0551371
