bizplc_nm,licensg_ymd,licensg_rtrcn_ymd,bsn_state_div,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,locplc_ar_info,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,xcrd_vl,ycrd_vl,cultur_phstrn_indutype_nm,plvtinst_div_nm,insrnc_join_yn,mber_recrut_tot_psncnt
리베라C.C 피트니스센터,20150721,,13,영업중,,031-376-6711,1241.44,18482,경기도 화성시 동탄구 중리길 183 (청계동),경기도 화성시 동탄구 청계동 510-385,445140,37.1904757628,127.1127490699,,209874.109397587,409907.066542863,체력단련장업,사립,,
힐링짐,20130917,,13,영업중,,1899-0936,,18591,경기도 화성시 만세구 향남읍 향남로 430-16,경기도 화성시 만세구 향남읍 행정리 472-2,445926,37.1330415441,126.923065805,,193094.104384962,403473.835917333,체력단련장업,사립,,
피티 원,20210531,,13,영업중,,,123.41,13623,"경기도 성남시 분당구 구미로 143, 2층 204,205,206호 (구미동, 무지개마을라이프아파트)",경기도 성남시 분당구 구미동 242 무지개마을라이프아파트,13623,37.3418455882,127.1233757157,,210848.421779554,426678.327514735,체력단련장업,사립,,
안나필라테스&P.T,20210705,,13,영업중,,031-708-6444,121.98,13568,"경기도 성남시 분당구 양현로94번길 11, 청학빌딩 404,405호 (이매동)",경기도 성남시 분당구 이매동 120-3 청학빌딩,13568,37.3915552095,127.1257142006,,211065.06,432173.61,체력단련장업,사립,,
베스트바디퍼스널트레이닝 김포점,20160404,,13,영업중,,031-991-5223,597.91,10097,"경기도 김포시 사우중로 93, 701,702,703호 (북변동, 한빛프라자)",경기도 김포시 북변동 829,10097,37.6229419786,126.7213667539,,175332.777829458,457880.347969076,체력단련장업,사립,,
J&B 퍼스널트레이닝 스튜디오,20170515,,13,영업중,,,126.29,10089,"경기도 김포시 태장로 800, 5층 501호 (장기동)",경기도 김포시 장기동 2077-2번지 5층 501호,10089,37.6380996836,126.6784563224,,171546.892467746,459575.025542086,체력단련장업,사립,,
팀크라운,20180406,,13,영업중,,,254.1,10071,"경기도 김포시 김포한강9로75번길 22, 폴리프라자 9층 (구래동)",경기도 김포시 구래동 6882-11,10071,37.6438730542,126.6240189707,,166749.538413634,460236.118454986,체력단련장업,사립,,
WIM GYM(윈짐),20150506,,13,영업중,,,,17336,경기도 이천시 대월면 대산로288번길 75,경기도 이천시 대월면 대흥리 1-6,467852,37.2495894315,127.4749448906,,242067.166445441,416512.346753706,체력단련장업,사립,,
리폼드크로스핏(4호점),20201224,,13,영업중,,,275,10099,"경기도 김포시 김포대로 1124, 1층 (걸포동)",경기도 김포시 걸포동 135,10099,37.6342629674,126.6972102077,,173190.36361843,459137.165027178,체력단련장업,사립,,
워너짐,20210224,,13,영업중,,,646.4,10099,"경기도 김포시 걸포2로 21, 704~707호 (걸포동)",경기도 김포시 걸포동 335-1,10099,37.6324761255,126.7048680466,,,,체력단련장업,사립,,
에스드림팩토리,20131203,,13,영업중,,,181.5,18454,"경기도 화성시 동탄구 동탄반석로 160, 203,204호 (반송동, 동탄지웰에스테이트)",경기도 화성시 동탄구 반송동  93-10,445160,37.202899798,127.0716216837,,206285.144405025,411226.353221417,체력단련장업,사립,,
레드엑서사이즈,20140416,,13,영업중,,,181.36,18321,"경기도 화성시 효행구 봉담읍 와우로73번길 6 (5층 504,505호)","경기도 화성시 효행구 봉담읍 와우리 26-12 (5층 504,505호)",445897,37.2141447447,126.9742481242,,197627.089137563,412461.269426304,체력단련장업,사립,,
아워PT,20230823,,13,영업중,,,229.61,10078,"경기도 김포시 김포한강1로 250, 607호 (운양동)",경기도 김포시 운양동 1307-3,10078,37.6533137531,126.6849205271,,172128.333251763,461262.941306652,체력단련장업,사립,,
인생PT 동탄점,20200928,,13,영업중,,031-8055-0787,285.09,18501,"경기도 화성시 동탄구 동탄대로8길 58, 파케이드아크 B101~102호 (산척동)",경기도 화성시 동탄구 산척동  725-1,18501,37.1705909561,127.112839301,,209951.161346081,407644.355591766,체력단련장업,사립,,
제이에스PT 동탄3호점,20201106,,13,영업중,,,142.62,18499,"경기도 화성시 동탄구 동탄장지천3길 7-26, 1층 (장지동)",경기도 화성시 동탄구 장지동  931-5,18499,37.1599146462,127.1008878926,,208890.307428357,406458.56568611,체력단련장업,사립,,
더블랙태닝&모스트핏,20201230,,13,영업중,,,77.88,18478,"경기도 화성시 동탄구 동탄역로 102, 2014호 (오산동, 동탄역 린스트라우스)",경기도 화성시 동탄구 오산동  1020 동탄역 린스트라우스,18478,37.1965518481,127.0967175125,,208577.797056397,410488.519320343,체력단련장업,사립,,
D gym 퍼스널트레이닝,20121231,,13,영업중,,,138.18,,"경기도 성남시 분당구 황새울로200번길 34, 205.206호 (수내동, 코포모빌딩)",경기도 성남시 분당구 수내동 16-3 205호,463825,37.377149109,127.1138583409,,210014.16,430569.655,체력단련장업,사립,,
리턴피티스튜디오,20131017,,13,영업중,,031-711-3743,66.42,13558,"경기도 성남시 분당구 느티로 16, 306호 (정자동, 젤존타워1)",경기도 성남시 분당구 정자동 17-1 젤존타워1 306호,463847,37.3681645175,127.1063150979,,209344.872072563,429572.831324256,체력단련장업,사립,,
마이스터짐,20200117,,13,영업중,,031-214-9620,394.38,16509,"경기도 수원시 영통구 도청로89번길 31, 지(G)-타워 5층 (이의동)",경기도 수원시 영통구 이의동 1347-2 지(G)-타워,16509,37.2894798053,127.0475749171,,204150.560067278,420832.11834052,체력단련장업,사립,,
I'm휘트니스,20200429,,13,영업중,,031-898-8263,297.3,16481,"경기도 수원시 팔달구 경수대로 477, 교보빌딩 지하1층 (인계동)","경기도 수원시 팔달구 인계동 967-2 교보빌딩, 지하1층",16481,37.2688562926,127.0269116711,,202311.733892417,418546.32612501,체력단련장업,사립,,
운현정스포츠센터,20051214,,13,영업중,,031-671-3377,462.09,,,경기도 안성시 석정동 269-25,456240,37.0084598822,127.263393528,,223374.786033232,389655.751630055,체력단련장업,사립,0,
헬스박스24,20260423,,13,영업중,,,162,16618,"경기도 수원시 권선구 세화로169번길 16, 2층 (서둔동)",경기도 수원시 권선구 서둔동 17-6,16618,37.2670273574,126.9923096153,,199246.645457052,418345.801334815,체력단련장업,사립,,
짐타임,20181120,,13,영업중,,,2166.84,13642,"경기도 성남시 수정구 위례동로 153, 에이플타워 10층 (창곡동)",경기도 성남시 수정구 창곡동 513 에이플타워,13642,37.4734922234,127.1499944798,,213196.788038769,441267.846008774,체력단련장업,사립,,
원모어짐,20221223,,13,영업중,,,619.2,16704,"경기도 수원시 영통구 청명남로 25, 4층 401~406, 411~413호 (영통동)",경기도 수원시 영통구 영통동 998-7,16704,37.2524069774,127.0747357048,,206562.450163348,416721.22870301,체력단련장업,사립,,
남스짐 고촌점 헬스 PT,20240603,,13,영업중,,,459.45,10126,"경기도 김포시 고촌읍 장차로5번길 10, 4층",경기도 김포시 고촌읍 신곡리 1063-8,10126,37.6031429657,126.7698000238,,179605.290207096,455671.456316883,체력단련장업,사립,,
고트스트레칭&피티,20240514,,13,영업중,,,162.03,10115,"경기도 김포시 풍무로 84, 202호 (풍무동)",경기도 김포시 풍무동 768,10115,37.6030001003,126.7220504684,,175387.671717244,455666.587398284,체력단련장업,사립,,
해내다GYM,20240619,,13,영업중,,,115.92,10113,"경기도 김포시 김포대로 703, 304호 (풍무동)",경기도 김포시 풍무동 1006,10113,37.6119825556,126.7324826267,,176309.571771069,456662.577072747,체력단련장업,사립,,
정건강활법,19971126,,13,영업중,,031-676-3615,79.4,17592,경기도 안성시 중앙로400번길 43  (창전동),경기도 안성시 창전동 368-1,456120,37.0052389175,127.2711476795,,224061.699560662,389322.93886365,체력단련장업,사립,Y,
비주얼짐 PT 매교인계점,20220307,,13,영업중,,,159.84,16476,"경기도 수원시 팔달구 인계로 52, 제2용신빌딩 4층 402호 (인계동)",경기도 수원시 팔달구 인계동 975 제2용신빌딩,16476,37.269067067,127.0232785982,,201994.466317727,418569.252642822,체력단련장업,사립,,
나나짐,20240531,,13,영업중,,,328.57,10820,"경기도 파주시 문산읍 방촌로 1636, 2층",경기도 파주시 문산읍 문산리 133-2 2층,10820,37.8606454301,126.7781575378,,180407.163470129,484247.169548502,체력단련장업,사립,,
로컬짐,20200529,,13,영업중,,031-533-9696,274,11147,경기도 포천시 구절초로 55 (신읍동),경기도 포천시 신읍동 137-35,11147,37.897561385,127.1990881156,,217454.02123481,488343.620229871,체력단련장업,사립,,
여성전용 올더핏 PT&헬스 망포영통점,20220126,,13,영업중,,,271.28,16685,"경기도 수원시 영통구 덕영대로 1478, 망포역 포레 스퀘어 614, 615호 (망포동)",경기도 수원시 영통구 망포동 41-1 망포역 포레 스퀘어,16685,37.2451586486,127.052429007,,204581.347405536,415915.437454216,체력단련장업,사립,,
광교PT 더 험블짐(겸손체육관),20220322,,13,영업중,,,212.16,16517,"경기도 수원시 영통구 광교호수공원로 277, B1-88~91호 (원천동, 광교중흥에스클래스)",경기도 수원시 영통구 원천동 589 광교중흥에스클래스,16517,37.2835532241,127.0559244312,,205026.079641798,420062.878231009,체력단련장업,사립,,
페인스톰 수원,20230302,,13,영업중,,031-302-1477,,16412,"경기도 수원시 권선구 수인로296번길 54, 스쿠버랜드 1층 (구운동)",경기도 수원시 권선구 구운동 897-15 스쿠버랜드,16412,37.2849682765,126.9724359186,,197482.100066375,420336.037736858,체력단련장업,사립,,
벌커스짐 헬스&PT 신영통점,20220120,,13,영업중,,,410,18377,"경기도 화성시 병점구 영통로61번길 6, 제일프라자 B101호 (반월동)",경기도 화성시 병점구 반월동  864-1 제일프라자,18377,37.2354832004,127.0611444513,,205345.347854163,414845.926128951,체력단련장업,사립,,
제이스쿼드짐(2호점),20220224,,13,영업중,,,78.89,18433,"경기도 화성시 동탄구 동탄지성로 148, 제이스프라자 301호 (능동)",경기도 화성시 동탄구 능동 1113-1 제이스프라자,18433,37.210139107,127.0596120443,,205219.582216232,412029.245131686,체력단련장업,사립,,
숑숑짐,20211207,,13,영업중,,031-225-6933,426,16659,"경기도 수원시 권선구 정조로 385, B1층 (장지동)",경기도 수원시 권선구 장지동 44-5,16659,37.2439089839,127.0143720205,,201203.176074579,415775.412614871,체력단련장업,사립,,
에이플러스짐 휘트니스 금릉역점,20240625,,13,영업중,,,491.44,10915,"경기도 파주시 금빛로 24-22, 굿닥터스빌딩 7층 (금촌동)",경기도 파주시 금촌동 989-5 굿닥터스빌딩 7층,10915,37.7516508947,126.7679116718,,179476.72,472152.229,체력단련장업,사립,,
다다짐 운정본점,20241125,,13,영업중,,,424.23,10895,"경기도 파주시 미래로602번길 11, 메디스타워 701,702호 (와동동)","경기도 파주시 와동동 1303-4 메디스타워 701,702호",10895,37.7313977349,126.7520078001,,178069.249394188,469908.180413293,체력단련장업,사립,,
친절한휘트니스,20250206,,13,영업중,,031-942-1459,140.85,10908,"경기도 파주시 경의로 1074, 삼융시네마 8층 807~808호 (야당동)",경기도 파주시 야당동 1066 삼융시네마 807~8호,10908,37.7131689501,126.7599060836,,178762.944382712,467888.441966974,체력단련장업,사립,,
본피트니스,20250611,,13,영업중,,,220.12,10892,"경기도 파주시 청암로17번길 45, 4층 01호 (목동동)",경기도 파주시 목동동 937-2,10892,37.7290695047,126.7347141804,,176543.588226894,469654.969729048,체력단련장업,사립,,
다이아짐 영천점,20220901,,13,영업중,,,290.23,18472,"경기도 화성시 동탄구 동탄순환대로 719, 204~206호 (영천동)",경기도 화성시 동탄구 영천동  679-3,18472,37.2082834671,127.1087587681,,209581.970667946,411828.226562938,체력단련장업,사립,,
정남헬스 610헬스,20250624,,13,영업중,,,,18517,"경기도 화성시 효행구 정남면 신백길 195-1, 101~104호",경기도 화성시 효행구 정남면 발산리 403-6,18517,37.1688594985,126.9827282733,,198393.441794288,407442.421193375,체력단련장업,사립,,
DY GYM,20220923,,13,영업중,,,298,18611,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-1, 804,805,806호",경기도 화성시 만세구 향남읍 하길리 1472,18611,37.1150315935,126.9102920826,,191955.18475099,401476.220239653,체력단련장업,사립,,
어퍼클래스,20250626,,13,영업중,,,362.91,18591,"경기도 화성시 만세구 향남읍 발안로 113, 아스날 메디컬프라자 5층",경기도 화성시 만세구 향남읍 행정리 474-9 아스날 메디컬프라자,18591,37.1316802457,126.9230311069,,193089.31898065,403321.441820979,체력단련장업,사립,,
임팩트짐,20221129,,13,영업중,,,303.66,18550,"경기도 화성시 만세구 송산면 사강시장길 42, 3층",경기도 화성시 만세구 송산면 사강리 668-8,18550,37.2132246645,126.7343655292,,176351.694622484,412409.073128689,체력단련장업,사립,,
컴플릿짐,20231121,,13,영업중,,,838.44,18271,"경기도 화성시 만세구 남양읍 시청로 113, 6층",경기도 화성시 만세구 남양읍 남양리 2072-7,18271,37.2008919301,126.8260575483,,184486.375460274,411022.505880841,체력단련장업,사립,,
코어핏PT&필라테스,20231215,,13,영업중,,,114.7,18434,"경기도 화성시 동탄구 동탄반송1길 30-17, 1층 (반송동)",경기도 화성시 동탄구 반송동  36-11,18434,37.2102978859,127.0635443521,,205570.591989743,412045.690988664,체력단련장업,사립,,
빌리프짐 상동,20220624,,13,영업중,,032-322-9679,,14542,"경기도 부천시 원미구 길주로 105, 드림모아 8층 801호 (상동)",경기도 부천시 원미구 상동 535-5 드림모아,14542,37.5064035555,126.754145423,,178164.089422238,444938.813535045,체력단련장업,사립,,
크로스핏 아케이드,20220725,,13,영업중,,031-429-1831,199.29,14119,경기도 안양시 동안구 엘에스로 141-1 (호계동),경기도 안양시 동안구 호계동 1026-9,14119,37.3731031455,126.9462942561,,195171.03247327,430121.313069693,체력단련장업,사립,,
밀론 피트니스 & PT 신중동점,20240702,,13,영업중,,,257.1,14548,"경기도 부천시 원미구 중동로248번길 86, 탑 프라자 802(전체), 803(일부)호 (중동)",경기도 부천시 원미구 중동 1144-4 탑 프라자,14548,37.5009449157,126.773511676,,179902.522841114,444328.251235872,체력단련장업,사립,,
프리원핏 신중동점,20241008,,13,영업중,,,95.65,14534,"경기도 부천시 원미구 신흥로238번길 18, 지층 (중동)",경기도 부천시 원미구 중동 1065 지층,14534,37.5046502319,126.7765757943,,180174.786961963,444737.60840691,체력단련장업,사립,,
The King's gym,20160412,,13,영업중,,,490,18455,"경기도 화성시 동탄구 동탄문화센터로 71-11, 3층 (반송동, 동진프라자)",경기도 화성시 동탄구 반송동 107-5번지 동진프라자 3층,18455,37.2000286051,127.0728098312,,,,체력단련장업,사립,,
크로스핏 알피,20170406,,13,영업중,,070-4714-8482,,18271,경기도 화성시 만세구 남양읍 역골로 15-16,경기도 화성시 만세구 남양읍 남양리 2075-18,18271,37.2012042822,126.8270914757,,184579.977670348,411049.904367309,체력단련장업,사립,,
업투 분당서현점,20201026,,13,영업중,,070-8667-1107,767.16,13589,"경기도 성남시 분당구 중앙공원로40번길 8, 현대근린상가 지층 5호 (서현동)",경기도 성남시 분당구 서현동 94 현대근린상가,13589,37.3797250616,127.1301555902,,211462.754186616,430856.274957711,체력단련장업,사립,,
올뉴바디,20201110,,13,영업중,,,165,13503,"경기도 성남시 분당구 벌말로 44, 선경진 401호 (야탑동)",경기도 성남시 분당구 야탑동 272-2 선경진,13503,37.4118854865,127.1386647555,,212203.09,434426.445,체력단련장업,사립,,
김포 스프링스파 피트니스센터,20190215,,13,영업중,,031-981-7580,837.44,10048,"경기도 김포시 양촌읍 황금로109번길 1, 3층 4호",경기도 김포시 양촌읍 학운리 2981,10048,37.6185738759,126.6217097447,,166532.155858363,457425.530290026,체력단련장업,사립,,
온오프짐(on/off gym),20250723,,13,영업중,,,439.73,12417,"경기도 가평군 가평읍 문화로 154, 2층",경기도 가평군 가평읍 대곡리 318-4,12417,37.8268142218,127.5085110663,,244698.347651322,480593.931464692,체력단련장업,사립,,
The Moon,20200626,,13,영업중,,,165.33,16670,"경기도 수원시 권선구 곡선로 37, 3층 (곡반정동)",경기도 수원시 권선구 곡반정동 558-2,16670,37.2393793777,127.0288547509,,202489.223716305,415275.875508133,체력단련장업,사립,,
팀타이거짐 세류점,20210811,,13,영업중,,031-236-6131,435.22,16575,"경기도 수원시 권선구 세권로43번길 26-6, 201,202호 (세류동, 수원권선 어울림)",경기도 수원시 권선구 세류동 1255 수원권선 어울림,16575,37.2597285273,127.0100076398,,200802.325197708,417542.339695722,체력단련장업,사립,,
A-Fit,20190512,,13,영업중,,031-997-3755,304.74,10073,"경기도 김포시 김포한강1로 247, 김포운양헤리움타운 2층 205호 (운양동)",경기도 김포시 운양동 1298-3 김포운양헤리움타운,10073,37.6542682966,126.6847967272,,172121.466205295,461367.193156254,체력단련장업,사립,,
F45 신중동,20241024,,13,영업중,,,295.16,14539,"경기도 부천시 원미구 신흥로 223, 신중동역 랜드마크 푸르지오 시티 지하층 B148~B154호 (중동)",경기도 부천시 원미구 중동 1059 신중동역 랜드마크 푸르지오 시티 B148~B154,14539,37.5041192287,126.7752345673,,180055.338981845,444675.457254185,체력단련장업,사립,,
취미는운동 피트니스 중동점,20241211,,13,영업중,,032-667-8889,,14613,"경기도 부천시 원미구 중동로 100, 팰리스카운티 402, 403호 (중동)","경기도 부천시 원미구 중동 1289 팰리스카운티 402, 403호",14613,37.4887382052,126.7658249447,,179378.469203503,443105.444604328,체력단련장업,사립,,
화정역점 스포애니 (주)케이디헬스케어,20231018,,13,영업중,,031-970-9618,769.8,10500,"경기도 고양시 덕양구 화신로260번길 57, 요진타워 지하1층 11호 (화정동)",경기도 고양시 덕양구 화정동 973 요진타워 지하1층 11호,10500,37.6336291576,126.8327427261,,185166.687145694,459037.825613683,체력단련장업,사립,,
신라헬스클럽,19960829,,13,영업중,,032-325-6515,,14598,경기도 부천시 원미구 송내대로73번길 46 (상동),경기도 부천시 원미구 상동 407-1,420814,37.4905145943,126.7515773022,,177959.696089798,443175.867511191,체력단련장업,사립,,
이천K크로스핏,20170124,,13,영업중,,,,17369,"경기도 이천시 이섭대천로 1227-11 (창전동, 오구은광빌딩)",경기도 이천시 창전동 167-1,17369,37.2798849734,127.4461132829,,239492.241535672,419861.886955764,체력단련장업,사립,,
더문짐,20200225,,13,영업중,,,434.1,17345,"경기도 이천시 증신로 242, 2,3층 (송정동)","경기도 이천시 송정동 100-6 2,3층",17345,37.2943694191,127.4438802772,,239309.734924693,421451.898680208,체력단련장업,사립,,
다짐,20200602,,13,영업중,,,386.89,17358,경기도 이천시 향교로 161 (갈산동),경기도 이천시 갈산동 595,17358,37.284918496,127.4549992864,,240274.250318496,420430.421917012,체력단련장업,사립,,
박짐,20240226,,13,영업중,,,237.8,12584,"경기도 양평군 양서면 목왕로 32, 1,2층",경기도 양평군 양서면 용담리 513-2,12584,37.5432968842,127.3262263662,,228762.202435725,449056.833561656,체력단련장업,사립,,
라이브짐 목동점,20201230,,13,영업중,,031-374-2326,324.18,18484,"경기도 화성시 동탄구 동탄신리천로 411, 우성스타타워 6층 605~609호 (목동)",경기도 화성시 동탄구 목동  산 18,18484,37.1827060797,127.1240884597,,210969.3429132,408985.606433963,체력단련장업,사립,,
비전휘트니스 동탄점,20210223,,13,영업중,,,516.5,18453,"경기도 화성시 동탄구 동탄중심상가2길 26-31, 가희프라자 5층 (반송동)",경기도 화성시 동탄구 반송동  87-1 가희프라자,18453,37.2069363142,127.0736273798,,206464.333662624,411676.849037621,체력단련장업,사립,,
더 클래식 짐,20210223,,13,영업중,,,305.97,18411,"경기도 화성시 병점구 병점3로 20, 3층 (병점동)",경기도 화성시 병점구 병점동  349-27,18411,37.2077759495,127.0356214847,,203093.501653109,411766.469785015,체력단련장업,사립,,
ALL PT,20210421,,13,영업중,,,153.65,18477,"경기도 화성시 동탄구 동탄대로시범길 253, 서진프라자 403호 (청계동)",경기도 화성시 동탄구 청계동  514-2,18477,37.2022150357,127.1027500066,,209046.857301098,411147.788293369,체력단련장업,사립,,
히어로바디,20210701,,13,영업중,,031-831-8342,112.8,18600,"경기도 화성시 만세구 향남읍 향남로 392, 우성메디피아 2층",경기도 화성시 만세구 향남읍 행정리 487-6 우성메디피아,18600,37.1300231541,126.921490081,,192955.284582034,403140.213213473,체력단련장업,사립,,
주식회사 킹스짐PT,20210901,,13,영업중,,,214.5,16517,"경기도 수원시 영통구 광교호수공원로 277, 1층 35, 37, 38, 43호 (원천동, 광교중흥에스클래스)",경기도 수원시 영통구 원천동 589 광교중흥에스클래스,16517,37.2835532241,127.0559244312,,205026.079641798,420062.878231009,체력단련장업,사립,,
YMCA 스포츠센터 체력단련장,19970729,,13,영업중,,031-712-0144,267.11,13637,"경기도 성남시 분당구 탄천상로 95, 별관 지하1층 (구미동)",경기도 성남시 분당구 구미동 181,13637,37.3403718157,127.110840517,,209763.562818108,426470.473494405,체력단련장업,사립,,
미금점 스포애니 (주) 케이디 헬스케어,20021028,,13,영업중,,031-719-5855,482.73,,"경기도 성남시 분당구 돌마로 75 (금곡동,미금프라자 801,802호)","경기도 성남시 분당구 금곡동 154 미금프라자 801,802호",463805,37.3503939292,127.1104500635,,209712.870686403,427601.150435861,체력단련장업,사립,,
신나라헬스,20010316,,13,영업중,,,310,14424,"경기도 부천시 오정구 원종로 64, 부천프라자 4층 (원종동)",경기도 부천시 오정구 원종동 313-10 부천프라자,14424,37.5238057558,126.8069576913,,182864.113302589,446854.100209084,체력단련장업,사립,,
건강해짐,20041215,,13,영업중,,,248,10495,"경기도 고양시 덕양구 중앙로558번길 16-12, 801,802,805,806호 (행신동, 엘지프라자)",경기도 고양시 덕양구 행신동 948-1,10495,37.6238344124,126.8364225436,,185490.822427154,457955.602516891,체력단련장업,사립,,
네오휘트니스,20050329,,13,영업중,,,603.1,10371,"경기도 고양시 일산서구 일산로 589, 501~503,506~509호 (일산동, 현대프라자)","경기도 고양시 일산서구 일산동 1054-1 현대프라자 5층(501호~503호,506호~509호)",10371,37.6795411989,126.7628485981,,178994.545016244,464162.963343777,체력단련장업,사립,,
더풀림,20241015,,13,영업중,,031-773-8687,123.95,12572,경기도 양평군 강상면 신화길78번길 37-3,경기도 양평군 강상면 신화리 275-11,12572,37.4762535298,127.4812708249,,242500.740792205,441674.00836833,체력단련장업,사립,,
다르다짐,20240912,,13,영업중,,,339,10099,"경기도 김포시 걸포2로 35, 5층 501,502,503호 (걸포동)",경기도 김포시 걸포동 268-1,10099,37.6335926848,126.7033714696,,,,체력단련장업,사립,,
플랜휘트니스,20241217,,13,영업중,,031-8049-3344,3457,10097,"경기도 김포시 사우중로 87, 상지프라자 5층 (북변동)",경기도 김포시 북변동 827 상지프라자,10097,37.6223895148,126.7209645737,,175298.275,457821.055,체력단련장업,사립,,
루온짐PT(Luon GYM PT),20250508,,13,영업중,,,237.3,10088,"경기도 김포시 김포한강2로 110, 센타프라자 301호 (장기동)",경기도 김포시 장기동 2055-3 센타프라자,10088,37.6394493129,126.6716748843,,170955.103375646,459733.928873151,체력단련장업,사립,,
대성킴 복싱클럽,20140709,,13,영업중,,,,17564,경기도 안성시 공도읍 진사길 16,경기도 안성시 공도읍 진사리 20-23,456826,36.9926031382,127.1380844899,,212223.049327638,387895.25502129,체력단련장업,사립,,
머슬K,20160427,,13,영업중,,,551,17548,"경기도 안성시 공도읍 대림동산길 14, 3층",경기도 안성시 공도읍 마정리 100-55번지 3층,17548,37.0112013686,127.2036637622,,218056.025311914,389968.696313488,체력단련장업,사립,,
Body Buddy,20200205,,13,영업중,,,133.05,17578,"경기도 안성시 석정1길 22, THE SPACE  1동 3층 (석정동)",경기도 안성시 석정동 256-16,17578,37.0099353567,127.2619501817,,223242.366776872,389842.294192639,체력단련장업,사립,,
M&F 트레이닝 센터,20220616,,13,영업중,,,171.61,13178,"경기도 성남시 중원구 광명로323번길 5, 한진빌딩 4층 (금광동)",경기도 성남시 중원구 금광동 3722 한진빌딩,13178,37.4456193611,127.1614974379,,214218.730618318,438175.258688947,체력단련장업,사립,,
엑서사이언스짐,20220811,,13,영업중,,,42.3,13493,"경기도 성남시 분당구 판교역로 240, 삼환하이펙스A동 A동 B117-1호 (삼평동)",경기도 성남시 분당구 삼평동 678 삼환하이펙스A동,13493,37.4020700233,127.1104425843,,209708.702475852,433335.53510955,체력단련장업,사립,,
와이투짐 신구대점,20221006,,13,영업중,,,383.46,13182,"경기도 성남시 중원구 금빛로 49, 대상빌딩 지층1층 (금광동)",경기도 성남시 중원구 금광동 1800 대상빌딩,13182,37.4462125717,127.1672491793,,214726.647305252,438241.647527203,체력단련장업,사립,,
파란짐휘트니스,20070508,,13,영업중,,031-901-2175,286,10406,"경기도 고양시 일산동구 경의로 469, 오유알 빌딩 5층 (정발산동)",경기도 고양시 일산동구 정발산동 1271-2 오유알 빌딩 5층,10406,37.6706523234,126.7859889495,,181049.643637328,463160.431686293,체력단련장업,사립,,
(주)아이앤지짐 행신점,20091013,,13,영업중,,,653.72,10486,"경기도 고양시 덕양구 중앙로 442, 6층 601호 (행신동, 아성프라자)",경기도 고양시 덕양구 행신동 1083-1 아성프라자 6층 601호,412223,37.6182190144,126.8460926296,,186353.61771183,457326.543878503,체력단련장업,사립,,
크로스핏 루트,20250527,,13,영업중,,,323.4,17920,"경기도 평택시 고평로 25, 101호 (통복동)",경기도 평택시 통복동 740-1,17920,36.9938647535,127.0779102541,,206863.867732409,388030.956233285,체력단련장업,사립,,
크로스핏 투비,20250724,,13,영업중,,,462.56,10119,"경기도 김포시 풍무로57번길 59-13, 1,2층 (풍무동)",경기도 김포시 풍무동 706-12,10119,37.5999672669,126.7186608923,,175065.366100591,455295.058506195,체력단련장업,사립,,
AT24휘트니스,20230911,,13,영업중,,,650.43,10888,"경기도 파주시 청석로 115, 반석프라자 701~704호 (동패동)",경기도 파주시 동패동 2080-3 반석프라자 701~704,10956,37.7126800311,126.7204059447,,,,체력단련장업,사립,,
(주)고관장 마켓 런던피트니스 이매점,20100610,,13,영업중,,031-708-9679,549.32,,"경기도 성남시 분당구 성남대로779번길 13 (이매동,5층)",경기도 성남시 분당구 이매동 106-5 5층,463829,37.3989232406,127.126909066,,211167.240548653,432985.217492816,체력단련장업,사립,,
백프로짐 하대원점,20101104,,13,영업중,,,363,,"경기도 성남시 중원구 둔촌대로 215 (하대원동,2층)",경기도 성남시 중원구 하대원동 118-6 2층,462838,37.4284721055,127.1420662689,,212505.081518981,436269.975537859,체력단련장업,사립,,
업투 분당판교점,20101105,,13,영업중,,,286.56,13533,"경기도 성남시 분당구 동판교로 59, 자유퍼스트프라자1 602호일부,603,604,605호 (백현동)","경기도 성남시 분당구 백현동 551 자유퍼스트프라자1 602호일부,603,604,605호",13533,37.3883301118,127.115054928,,210115.085178947,431815.870958616,체력단련장업,사립,,
디클리셰 금릉역점 헬스 PT 필라테스 골프,20250616,,13,영업중,,,472,10915,"경기도 파주시 금빛로 15, 미라클프라자 (금촌동)",경기도 파주시 금촌동 986-5 미라클프라자,10915,37.7509309296,126.766636063,,179364.411638014,472074.770276695,체력단련장업,사립,,
더킹짐,20200810,,13,영업중,,031-675-8578,293.04,17578,경기도 안성시 아양4로 65 (석정동),경기도 안성시 석정동 134,17578,37.0113943248,127.2568311462,,222767.197059513,390013.289377335,체력단련장업,사립,,
스타핏,20191226,,13,영업중,,031-775-5522,361.79,12522,"경기도 양평군 용문면 다문북길 106, 4층",경기도 양평군 용문면 다문리 338-2,12522,37.4878627164,127.5947464575,,252530.456469328,443025.550203664,체력단련장업,사립,,
유엘피티,20231220,,13,영업중,,,176.1,18379,"경기도 화성시 병점구 영통로50번길 48, 호평프라자 4층 401호 (반월동)",경기도 화성시 병점구 반월동  67-4 호평프라자,18379,37.2343652424,127.0659760257,,205785.327720307,414720.35950072,체력단련장업,사립,,
