bizplc_nm,licensg_ymd,bsn_state_nm,locplc_faclt_telno_dtls,locplc_ar_info,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,dat_updt_hr,bizcond_div_nm_info,xcrd_vl,ycrd_vl
수원강아지분양 고양이분양 아이러브독 말티즈말티푸미니비숑,20150821,정상,031-204-2357,0,16705,경기도 수원시 영통구 반달로 ** (영통동),경기도 수원시 영통구 영통동 ****-* *층,,2026-03-12 21:32:51,,206865.715040893,416710.501824237
(주)이마트 이천점,20121128,정상,,0,,경기도 이천시 이섭대천로 ****-** (증포동),경기도 이천시 증포동 **-*,,2026-05-11 22:06:34,,,
미니미펫,20260120,정상,,0,12805,경기도 광주시 곤지암읍 평촌길 **,경기도 광주시 곤지암읍 삼리 ***-*,,2026-01-21 21:02:50,,228629.074150856,428135.185660004
따숨펫 경기광주점 강아지분양 고양이분양,20251113,정상,,0,12764,"경기도 광주시 문화로 **, *층 (역동)",경기도 광주시 역동 ***-*,,2026-04-24 03:03:03,,222452.559170617,433958.380969216
하이몽,20160407,정상,031-635-5775,0,17364,경기도 이천시 서희로 ** (창전동),경기도 이천시 창전동 ***-**,,2026-05-11 22:06:35,,239255.43919285,420133.445205524
아이펫,20090130,정상,031-638-4520,0,17391,경기도 이천시 경충대로****번길 * (진리동),,,2026-05-11 22:06:35,,240305.370192446,418816.423838025
냥냥펀치,20190520,정상,031-634-1119,0,17377,경기도 이천시 경충대로****번길 ** (중리동),경기도 이천시 중리동 ***-*,17380,2026-05-11 22:06:36,,239483.78493759,419497.314829628
펫플러스라이프,20200306,정상,031-634-0338,0,17331,"경기도 이천시 부발읍 경충대로 ****, *층",경기도 이천시 부발읍 신하리 ***-*,,2026-05-11 22:06:37,,242920.860883211,417359.299005841
펫츠랑,20161014,정상,031-226-1515,0,16577,"경기도 수원시 권선구 정조로 ***, *층 (세류동)",경기도 수원시 권선구 세류동 ***-*,,2026-01-13 17:19:37,,201080.757238884,417535.484287948
펫매니아,20200423,정상,,0,17374,경기도 이천시 어재연로 *-* (중리동),경기도 이천시 중리동 ***-**,17380,2026-05-11 22:06:37,,239179.818208344,419610.092847244
더멍멍,20201227,정상,,0,17361,"경기도 이천시 영창로***번길 *, *층 (갈산동)",경기도 이천시 갈산동 ***-*,,2026-05-11 22:06:37,,240408.77499649,419978.810618876
미래애견,20141030,정상,,0,14703,경기도 부천시 소사구 은성로 **-* (소사본동),경기도 부천시 소사구 소사본동 ***-**,,2026-01-13 17:18:35,,181893.221875936,441481.041661566
유앤미펫 강아지분양 고양이분양 동탄점,20260406,정상,,0,18486,"경기도 화성시 동탄구 동탄신리천로 ***, 청아프라자 ***호 (여울동)",경기도 화성시 동탄구 여울동 ****-*,18487,2026-04-24 03:03:03,,209525.068363402,409082.698261073
미니펫 강아지분양 고양이분양 부천점,20151109,정상,032-326-8990,0,14537,"경기도 부천시 원미구 길주로 ***, ***호 (중동, 에스티마오피스텔)",,,2026-01-13 17:18:35,,178914.599945813,444821.079778803
오케이독,20160621,정상,,0,14598,"경기도 부천시 원미구 부일로***번길 **, ***,***호 (상동, 황금프라자)",,,2026-01-13 17:18:35,,177982.753747441,443052.986724623
Multi pet,20170215,정상,,0,14633,"경기도 부천시 원미구 장말로***번길 *, ***호 (심곡동, 기성뷰그리안아파트)",경기도 부천시 원미구 심곡동 ***-* 기성뷰그리안아파트,,2026-01-13 17:18:35,,180685.30097377,443102.112987201
돌리샵,20180601,정상,,0,14548,"경기도 부천시 원미구 중동로***번길 **, ***호 (중동)",경기도 부천시 원미구 중동 ****-*,,2026-01-13 17:18:35,,179727.251365694,444438.466963487
멋지개 예쁘개,20180712,정상,,0,14428,"경기도 부천시 오정구 원종로**번길 **, *층 **호 (원종동)",경기도 부천시 오정구 원종동 ***-*,,2026-01-13 17:18:35,,182448.956582692,447255.118747479
(주)코스모스이펙트,20190723,정상,,0,14546,"경기도 부천시 원미구 석천로***번길 **, 화이트밸리 *층 ***호 (중동)",경기도 부천시 원미구 중동 ****-* 화이트밸리,,2026-01-13 17:18:35,,178856.059932329,444584.419277427
미니펫스쿨(Minipet School),20200914,정상,,0,14529,"경기도 부천시 원미구 길주로***번길 **, *층 (춘의동)",경기도 부천시 원미구 춘의동 ***-**,,2026-01-13 17:18:35,,180997.977574201,444701.278090973
캉스펫 부천점,20201125,정상,,0,14544,"경기도 부천시 원미구 길주로 **, 굿모닝오피스텔 ***호 (상동)",경기도 부천시 원미구 상동 ***-* 굿모닝오피스텔,,2026-01-13 17:18:35,,177750.078906076,444830.621797965
착한애견분양강아지 수원광교본점,20161216,정상,,0,16506,"경기도 수원시 영통구 센트럴파크로***번길 ***, ***호 (이의동)",경기도 수원시 영통구 이의동 ****-*,16508,2026-01-13 17:19:37,,204858.757339822,421368.504985384
부천강아지분양 멍미,20210628,정상,,0,14543,"경기도 부천시 원미구 길주로 **, 에이플러스 *층 *호 (상동)",경기도 부천시 원미구 상동 ***-* 에이플러스 ***호,,2026-01-13 17:18:36,,177998.178967807,444930.314500396
미유펫 강아지분양 고양이분양 부천점,20220321,정상,,0,14582,"경기도 부천시 원미구 부흥로***번길 **, *층 (중동)",경기도 부천시 원미구 중동 ****,,2026-01-13 17:18:36,,180181.892969151,443947.644093222
엘리쉬펫,20250912,정상,,0,12766,"경기도 광주시 행정타운로 ***, *층 ***호 (회덕동)",경기도 광주시 회덕동 ***,12766,2026-01-13 17:15:33,,221531.146399327,436129.868329859
Design Dog,20221006,정상,,0,14562,"경기도 부천시 원미구 원미로 ***, ***호 (원미동)",경기도 부천시 원미구 원미동 *-*,,2026-01-13 17:18:36,,181591.777414775,444023.465481731
(주)우연컴퍼니,20221115,정상,,0,14623,"경기도 부천시 원미구 부일로***번길 **, *층 ***-**호 (상동)",경기도 부천시 원미구 상동 ***-*,,2026-01-13 17:18:36,,178383.5071659,443033.191916854
도그마루 고양이 강아지 무료분양,20221117,정상,,0,14547,"경기도 부천시 원미구 소향로 ***, 상가동 *층 ***호 (중동, 센트럴파크 푸르지오)",경기도 부천시 원미구 중동 **** 센트럴파크 푸르지오,,2026-01-13 17:18:36,,179405.695792369,444449.660787061
핫도그,20170623,정상,,0,18125,"경기도 오산시 발안로 ****-** (가수동, 가수주공아파트)",경기도 오산시 가수동 ***-* 가수주공상가 ***호,,2026-01-13 17:24:03,,204589.651221723,404900.943079212
드림독 강아지분양 안심분양센터 부천점,20230213,정상,,0,14635,"경기도 부천시 원미구 신흥로 **, 디오스빌 ***호 (심곡동)",경기도 부천시 원미구 심곡동 ***-* 디오스빌,,2026-01-13 17:18:36,,180244.272611521,442792.895479317
쁘띠멍멍,20230425,정상,,0,14620,경기도 부천시 원미구 석천로**번길 ** (상동),경기도 부천시 원미구 상동 ***-*,,2026-01-13 17:18:36,,178974.612204862,443299.289275528
예쁘개,20231204,정상,032-671-0097,0,14407,"경기도 부천시 오정구 역곡로***번길 **, *층 (고강동)",경기도 부천시 오정구 고강동 ***-*,,2026-01-13 17:18:36,,184168.787949965,447338.143389319
부천강아지분양 고양이분양 24시 데려가개 부천점,20231221,정상,,0,14786,"경기도 부천시 소사구 양지로 ***, 부천옥길 서영아너시티* ***호 (옥길동)",경기도 부천시 소사구 옥길동 ***-* 부천옥길 서영아너시티*,,2026-01-13 17:18:36,,184361.06497231,440665.337478075
안산 강아지분양 고양이분양 도그마루,20200331,정상,,0,15494,"경기도 안산시 상록구 광덕*로 ***, 센타프라자 *층 ***호 (이동)",경기도 안산시 상록구 이동 ***-* 센타프라자 ***호,,2026-03-26 22:46:10,,186673.07319399,422914.3039439
우리똥강아지,20210512,정상,,0,15457,"경기도 안산시 단원구 원포공원*로 **, ****호 (초지동)",경기도 안산시 단원구 초지동 ***-* 화신 수산시장,,2026-03-26 22:46:10,,183191.895652736,422147.326451655
캣플헤븐 일산탄현점,20250725,정상,,0,10242,"경기도 고양시 일산서구 일현로 **-**, 판매시설동 지하*층 B***호 (탄현동, 일산 위브더제니스)",경기도 고양시 일산서구 탄현동 **** 일산 위브더제니스,,2026-01-13 17:14:11,,179005.665068939,465786.029740427
과천고양이분양 도레미캣,20250911,정상,,0,13824,"경기도 과천시 과천대로*나길 ***, ***호 (갈현동)",경기도 과천시 갈현동 ***-* ***호,13840,2026-03-26 22:03:45,,,
메종퍼피,20260213,정상,,0,18018,"경기도 평택시 고덕국제대로 **, ***동 *층 ****호 (고덕동, 힐스테이트 고덕 센트럴)",경기도 평택시 고덕동 ****-* 힐스테이트 고덕 센트럴,18023,2026-02-14 21:36:13,,203709.243236458,393590.810761107
온니테일,20260312,정상,,0,12820,"경기도 광주시 문형산길 ***-**, ***동 ***호 (신현동)",경기도 광주시 신현동 ***-**,,2026-03-13 21:02:52,,,
로얄수족관,20140619,정상,,0,14637,경기도 부천시 소사구 부천로 * (심곡본동),경기도 부천시 소사구 심곡본동 ***-*,,2026-01-13 17:18:35,,180724.703317877,442449.069631369
수원고양이분양 고사남 본점,20170728,정상,,0,16531,"경기도 수원시 영통구 동수원로 ***, *층 (매탄동)",경기도 수원시 영통구 매탄동 ***-**,,2026-01-13 17:19:37,,203873.965468619,418920.552832723
스타트독 구리점,20160504,정상,031-555-8666,0,11925,"경기도 구리시 체육관로 ***, *층 (교문동)",경기도 구리시 교문동 ***-**,,2026-01-13 17:16:02,,211925.295157592,455313.345161959
수달앤쥬,20231025,정상,,0,16391,"경기도 수원시 권선구 금곡로 ***, 리더스빌딩 *층 ***(일부)호 (금곡동)",경기도 수원시 권선구 금곡동 ****-* 리더스빌딩,,2026-01-13 17:19:37,,195858.153517145,419228.576806355
L마트 구리점,20210625,정상,,0,11915,"경기도 구리시 동구릉로***번길 **, 구리유통종합상가 (인창동)",경기도 구리시 인창동 *** 구리유통종합상가,,2026-01-13 17:16:03,,212367.118425352,456712.576784184
포둥,20250220,정상,,0,11921,"경기도 구리시 건원대로 **, 삼원골드프라자 *층 ***호 (인창동)",경기도 구리시 인창동 ***-* 삼원골드프라자 ***호,,2026-01-13 17:16:03,,212323.854930393,455842.909339409
한강아쿠아 롯데마트 마석점,20120828,정상,031-527-4244,0,12181,경기도 남양주시 화도읍 경춘로 **** (롯데마트 *층),경기도 남양주시 화도읍 마석우리 ***-** 롯데마트 *층,,2026-01-13 17:17:34,,227234.544976879,460930.696005881
고양이 팔경 캣스쿨,20150414,정상,,0,12183,"경기도 남양주시 화도읍 창현로 *-*, *층",경기도 남양주시 화도읍 창현리 ***-* *층,,2026-01-13 17:17:34,,227001.48383107,460782.282203617
개벤져스,20161216,정상,,0,12223,"경기도 남양주시 경춘로****번안길 *-**, *층 (평내동)",경기도 남양주시 평내동 ***-* *층,,2026-01-13 17:17:34,,220773.366668794,460617.630287447
니멍내멍,20180504,정상,,0,12268,"경기도 남양주시 강변북로***번길 **, 정원바베큐시대 (수석동)",경기도 남양주시 수석동 *** 정원바베큐시대,,2026-01-13 17:17:35,,214847.791146799,454258.876550859
비타민 동물병원,20240401,정상,031-432-9119,0,15010,"경기도 시흥시 배곧*로 **-**, 광장프라자 *층 ***호 (배곧동)",경기도 시흥시 배곧동 *** 광장프라자,,2026-03-10 21:36:28,,175621.112587005,430662.360321249
Majestic(마제스틱),20211116,정상,,0,17343,"경기도 이천시 대월면 대장로***번길 **, *층",경기도 이천시 대월면 대대리 **-*,,2026-05-11 22:06:37,,243211.78656175,413390.957440575
(주)우연컴퍼니,20221201,정상,02-2038-8602,0,18453,"경기도 화성시 동탄구 동탄중심상가*길 *, 로하스애비뉴 *층 ***호-사**호 (반송동)",경기도 화성시 동탄구 반송동  **-* 로하스애비뉴,,2026-02-01 10:34:18,,206378.247090083,411519.526668326
브이아이피독,20241010,정상,,0,18555,경기도 화성시 만세구 서신면 염전길 **,경기도 화성시 만세구 서신면 매화리 ***-**,,2026-02-01 10:34:18,,173140.66049041,407223.752731144
동탄강아지분양 퍼피메이트 안심분양센터,20250404,정상,,0,18490,"경기도 화성시 동탄구 동탄신리천로 ***, 경서타워 ***호 (목동)",경기도 화성시 동탄구 목동  ***-*,,2026-02-01 10:34:18,,,
동탄강아지분양 고양이분양 댕댕즈,20250821,정상,,0,18455,"경기도 화성시 동탄구 동탄반석로 ***, 동탄 스카이뷰 빌딩 ***호 (반송동)",경기도 화성시 동탄구 반송동  ***-* 동탄 스카이뷰 빌딩,,2026-02-01 10:34:18,,206250.284055209,411094.328135401
골든햄스터분양 패러그린 동탄점,20260107,정상,,0,18418,"경기도 화성시 동탄구 남여울*길 **-*, *층 (능동)",경기도 화성시 동탄구 능동 ****-*,,2026-02-12 21:32:50,,204446.782885106,410641.053127623
(주)베프,20220217,정상,,0,17384,경기도 이천시 마장면 중부대로 ***-*,경기도 이천시 마장면 표교리 ***,17384,2026-05-11 22:06:39,,236540.153257308,416495.376159532
골든파크,20250610,정상,,0,17384,경기도 이천시 마장면 중부대로***번길 ***,경기도 이천시 마장면 표교리 ***,17384,2026-05-11 22:06:40,,235561.477704707,416621.116709978
악동강아지,20130820,정상,,0,10087,경기도 김포시 김포한강*로 *** (장기동),경기도 김포시 장기동 ****-*,,2026-01-13 17:17:04,,170754.229817616,459607.097925173
펫 갤러리아,20140904,정상,,0,10113,경기도 김포시 풍무로 *** (사우동),경기도 김포시 사우동 ***-**,,2026-01-13 17:17:04,,175698.289048994,456919.985357472
내셔널 프로텍트 K-9 탐지견센터,20200205,정상,,0,12243,경기도 남양주시 일패로**번길 ** (일패동),경기도 남양주시 일패동 ***-*,,2026-01-13 17:17:35,,215164.559932091,457913.800684374
캣플 코지눅 수원아이파크시티점,20260220,정상,,0,16662,"경기도 수원시 권선구 경수대로 ***, IPARK CITY 수원 아이파크 시티 **단지 *층 **호 (권선동)",경기도 수원시 권선구 권선동 **** IPARK CITY 수원 아이파크 시티 **단지,,2026-02-21 21:32:50,,201544.344101949,415919.731243333
동현24시동물병원,20180905,정상,031-768-7599,0,12741,"경기도 광주시 경안천로 *, *층 (송정동)",경기도 광주시 송정동 **-**,,2026-01-13 17:15:33,,223021.068538776,434704.470700921
알로하펍앤코,20200814,정상,,0,12766,"경기도 광주시 행정타운로 ***, ***호 (회덕동)",경기도 광주시 회덕동 ***-**,12766,2026-01-13 17:15:33,,221510.44917146,436116.925217407
더예쁘개 댕댕샵,20220113,정상,,0,12774,"경기도 광주시 문형동 오포로 ***, *층 *호",경기도 광주시 문형동 ***-*,12774,2026-01-13 17:15:33,,,
도그피아 애견 훈련소,20240911,정상,,0,12724,경기도 광주시 곤지암읍 가마을길***번길 ***,경기도 광주시 곤지암읍 봉현리 ***-*,,2026-03-27 03:03:03,,234784.747796053,427408.186250875
예쁜농장,20080623,정상,,0,,경기도 화성시 만세구 홍난파길**번길 **-* (활초동),경기도 화성시 만세구 남양읍 활초리 **-*,,2026-02-01 10:34:17,,185660.913053151,409380.462991274
(주)그린아쿠아펫,20120911,정상,02-2619-1285,,,경기도 화성시 만세구 향남읍 향남로 *** (홈플러스 향남점),경기도 화성시 만세구 향남읍 갈천리 ***-* 홈플러스 향남점,18625,2026-02-01 10:34:17,,,
고양이랑,20161130,정상,,0,18427,"경기도 화성시 동탄구 여울로 **, *층 (능동)",경기도 화성시 동탄구 능동 ****-*,,2026-02-12 21:32:50,,204639.666979394,411287.860440046
오&Pet,20240731,정상,,0,15036,"경기도 시흥시 정왕대로 ***, 광개토빌딩* ***호 (정왕동)",경기도 시흥시 정왕동 ****-* 광개토빌딩*,15119,2026-03-10 21:36:30,,176313.285156484,427368.540805943
메종드켄넬,20260504,정상,,0,11813,"경기도 의정부시 천보로 **, ****호 (민락동)",경기도 의정부시 민락동 ***-* ****호,,2026-05-05 21:32:55,,208700.849744616,471202.493218682
에우다,20260504,정상,,0,12120,"경기도 남양주시 퇴계원읍 퇴계원로 ***, 염광빌딩 *층 ***-S***호",경기도 남양주시 퇴계원읍 퇴계원리 **-* 염광빌딩*층 ***-S***호,,2026-05-05 21:02:50,,212602.991777873,461591.55298432
도토리펫,20260424,정상,,0,18497,"경기도 화성시 동탄구 동탄대로*길 **, *동 *층 ***호 (송동)",경기도 화성시 동탄구 송동 ***-*,,2026-04-25 21:33:34,,209160.688525921,407245.702347871
펫루나안심분양센터 강아지분양 고양이분양 부천점,20260507,정상,,0,14638,"경기도 부천시 원미구 부천로 **, *층 (심곡동)",경기도 부천시 원미구 심곡동 ***-*,,2026-05-08 21:02:59,,180854.299710084,443117.459484661
맘스퍼피,20250926,정상,,0,15011,"경기도 시흥시 서울대학로***번길 **, 새롬프라자* ***호 (배곧동)",경기도 시흥시 배곧동 ***-* 새롬프라자* ***호,,2026-03-10 21:36:32,,175839.546983131,429749.989150418
지니독,20181004,정상,,0,11518,경기도 양주시 백석읍 기산로 ***-*,경기도 양주시 백석읍 기산리 ***-*,11518,2026-04-28 22:00:57,,195019.628290711,474926.924127467
강아지분양 퍼피베이비,20180212,정상,,0,16518,"경기도 수원시 영통구 월드컵로**번길 **, *층 ***호 (원천동)",경기도 수원시 영통구 원천동 ***-*,,2026-01-13 17:19:37,,204470.622897081,419179.871077477
햄스터 분양샵 햄찌,20250721,정상,,0,15862,"경기도 군포시 번영로 ***, 제일프라자 *층 ***호 (금정동)",경기도 군포시 금정동 ***-* 제일프라자,,2026-01-13 17:16:33,,193956.87877403,428351.584809556
로얄수족관,20120823,정상,,0,,"경기도 하남시 덕풍서로 ** *층 (덕풍동, 하남풍산지구이마트)",경기도 하남시 덕풍동 *** 하남풍산지구이마트 *층,,2026-03-26 22:46:33,,218076.91973786,450073.163619109
애견샵,20200421,정상,,0,12957,"경기도 하남시 하남대로 ***, 제*층 ***호 (신장동, 명지캐럿***)",경기도 하남시 신장동 ***-** 명지캐럿***,,2026-03-26 22:46:34,,218223.390970302,448784.200810181
강아지분양 애견분양 퍼피플라워 하남점,20211012,정상,,0,12923,"경기도 하남시 미사강변한강로***번길 **, ***호 (망월동)",경기도 하남시 망월동 ****-* ***호,,2026-03-26 22:46:34,,217655.815938304,450851.552094189
큐티댕냥 하남 본점 강아지 고양이 분양,20221118,정상,,0,12902,"경기도 하남시 미사강변한강로 ***, 미사강변 스카이폴리스 나동 ***호 (망월동)",경기도 하남시 망월동 *** 미사강변 스카이폴리스 나동 ***호,,2026-03-26 22:46:34,,216846.891263183,452760.863180903
미유펫 강아지분양고양이분양 김포점,20190514,정상,,0,10071,"경기도 김포시 김포한강*로 ***, ***호 (구래동)",경기도 김포시 구래동 ****-**,,2026-01-13 17:17:05,,166587.488783941,460103.17930249
시바견분양.kr,20200407,정상,,0,10057,"경기도 김포시 양촌읍 양곡*로 **, 양지마을주공아파트 상가동동 ***호",경기도 김포시 양촌읍 양곡리 **** 양지마을주공아파트,,2026-01-13 17:17:05,,166580.15462593,461713.777646162
수원고양이분양 도레미캣,20190924,정상,,0,16705,"경기도 수원시 영통구 반달로 **, *층 (영통동)",경기도 수원시 영통구 영통동 ****-*,,2026-01-13 17:19:37,,206600.811564108,416567.96657163
컴페니언펫,20160622,정상,070-4202-0890,0,15489,"경기도 안산시 상록구 광덕*로 ***, ***호 (이동)",경기도 안산시 상록구 이동 ***,,2026-03-26 22:46:10,,186681.18736805,423201.597167445
해피주 수원점,20191122,정상,031-546-0980,0,16334,"경기도 수원시 장안구 대평로**번길 **, 라이프스포츠 수원 ***,***(일부)호 (정자동)",경기도 수원시 장안구 정자동 ***-* 라이프스포츠 수원,,2026-01-13 17:19:37,,199375.326187922,421688.485102486
해피펫클럽,20200102,정상,031-234-2001,0,16470,"경기도 수원시 팔달구 중부대로**번길 **, *,*층 (인계동)",경기도 수원시 팔달구 인계동 ***-**,,2026-01-13 17:19:37,,201739.334092613,419193.249814914
달빛햄스터리 수원점,20231106,정상,,0,16700,"경기도 수원시 영통구 덕영대로****번길 **, 벽적골롯데아파트 생활편익시설동 지***(일부)호 (영통동)",경기도 수원시 영통구 영통동 ***-* 벽적골롯데아파트,,2026-01-13 17:19:37,,205462.047360966,416148.486272828
숭구리댕댕,20240829,정상,,0,16605,"경기도 수원시 권선구 서둔로 ***-*, *(일부)층 (탑동)",경기도 수원시 권선구 탑동 **-**,,2026-01-13 17:19:37,,198063.076094254,418893.743641324
다온 입양센터 수원점 강아지분양 고양이분양,20250403,정상,,0,16226,"경기도 수원시 영통구 대학*로*번길 **, *(일부)층 (이의동)",경기도 수원시 영통구 이의동 ****-*,16508,2026-01-13 17:19:37,,203784.21,421805.66
엘르퍼피,20250414,정상,,0,16508,"경기도 수원시 영통구 도청로**번길 **, 힐스테이트광교중앙역 ***호 (이의동)",경기도 수원시 영통구 이의동 **** 힐스테이트광교중앙역,16508,2026-04-03 03:03:03,,204977.175329834,420627.234160383
블리독수원점 고양이강아지분양 미니비숑프리제말티푸포메입양,20250425,정상,,0,16489,"경기도 수원시 팔달구 인계로 ***, 수원미디어시티 ***,***(일부)호 (인계동)",경기도 수원시 팔달구 인계동 **** 수원미디어시티,,2026-04-18 03:03:03,,202706.355932742,418367.445293583
수원고양이분양 캣토리,20250605,정상,,0,16531,"경기도 수원시 영통구 동수원로 ***, *층 일부호 (매탄동)",경기도 수원시 영통구 매탄동 ***-**,,2026-01-13 17:19:37,,203925.008185096,418949.86778408
수원강아지분양 홍스퍼피 본점,20251119,정상,,0,16703,"경기도 수원시 영통구 봉영로 ****, 모던타운 ***(일부)호 (영통동)",경기도 수원시 영통구 영통동 ***-* 모던타운,,2026-01-13 17:19:37,,206445.901789232,416957.536591546
미오즈 고양이분양 강아지분양 수원광교점,20251120,정상,,0,16509,"경기도 수원시 영통구 도청로 **, 광교유니코어 B*-***호 (이의동)",경기도 수원시 영통구 이의동 ****-* 광교유니코어,16508,2026-01-13 17:19:37,,204156.601249758,420989.072525176
수원고양이분양 강아지분양 드림캣안심분양센터,20260126,정상,,0,16494,"경기도 수원시 팔달구 중부대로***번길 **, 클래시엘 *층 ***호 (우만동)",경기도 수원시 팔달구 우만동 ***,,2026-01-27 21:32:50,,203245.646027989,419650.677387168
플란다스의 개,20100909,정상,031-718-4552,0,,"경기도 성남시 분당구 불곡로 *, ***호 (정자동,리더스프라자)",경기도 성남시 분당구 정자동 ***-* 리더스프라자 ***호,,2026-01-13 17:19:05,,210821.835896495,428601.909355725
베베캣 고양이,20170623,정상,031-387-2080,0,13937,"경기도 안양시 동안구 관악대로 ***-*, *층 (관양동)",경기도 안양시 동안구 관양동 ****-** *층,,2026-03-05 21:32:52,,196318.445426412,433525.717464635
(주)코스모스이펙트,20190621,정상,,0,13943,"경기도 안양시 동안구 흥안대로 ***, 타워빌딩 ***호 (관양동)",경기도 안양시 동안구 관양동 ****-* 타워빌딩 ***호,,2026-01-13 17:21:34,,197917.766604267,433213.526675967
캣츠앤몬스터 고양이카페&분양,20210716,정상,,0,13938,"경기도 안양시 동안구 관악대로 ***, *층 (관양동)",경기도 안양시 동안구 관양동 ****-** *층,,2026-01-13 17:21:34,,196478.014718356,433559.346695826
동물보듬센터 용인지점,20260409,정상,,0,16986,"경기도 용인시 기흥구 어정로 ***, 어정프라자 ***호 (상하동)",경기도 용인시 기흥구 상하동 ***-* 어정프라자,,2026-04-10 21:32:54,,212706.134063815,419336.771515948
수원강아지분양 고양이분양 멍앤냥,20200825,정상,,0,16489,"경기도 수원시 팔달구 경수대로***번길 **, ***호 (인계동)",경기도 수원시 팔달구 인계동 ****-* ***호,,2026-01-13 17:19:37,,202636.823761806,418338.635617686
수원고양이전문분양 가토캣슬 광교용인점,20210609,정상,,0,16705,"경기도 수원시 영통구 반달로 **, *층 (영통동)",경기도 수원시 영통구 영통동 ****-*,,2026-01-13 17:19:37,,206845.166925758,416726.219758275
수원시바견,20210715,정상,031-303-9525,0,16465,경기도 수원시 팔달구 정조로***번길 ** (매교동),경기도 수원시 팔달구 매교동 **-*,,2026-01-13 17:19:37,,201354.662334426,418802.027581055
수원고양이전문분양 아임캣 (I'M CAT),20211216,정상,,0,16675,"경기도 수원시 영통구 매영로***번길 *, ***(일부)호 (원천동)",경기도 수원시 영통구 원천동 ***-**,,2026-01-13 17:19:37,,205625.135755785,417563.990071712
퍼피스토리,20211216,정상,,0,16514,"경기도 수원시 영통구 법조로 **, 광교 더샵 레이크파크 *층 **(일부)호 (하동)",경기도 수원시 영통구 하동 **** 광교 더샵 레이크파크,,2026-01-13 17:19:37,,205498.540545351,420562.074278262
메다카린,20250123,정상,,0,12662,"경기도 여주시 가남읍 일신로 **, 상가동 (굿모닝타워아파트)",경기도 여주시 가남읍 태평리 ***-* 굿모닝타워아파트,,2026-03-10 21:34:43,,248067.919548995,412502.817117366
베스트나우 강아지고양이분양 애견입양 수원점 말티푸비숑,20220413,정상,,0,16606,"경기도 수원시 권선구 하탑로 *, *층 ***호 (탑동, 갑진빌딩)",경기도 수원시 권선구 탑동 ***-* 갑진빌딩,,2026-01-13 17:19:37,,197454.817009171,418505.854944186
도그스퀘어,20080714,정상,,0,16704,"경기도 수원시 영통구 반달로*번길 *, 센타프라자 ***호 (영통동)",경기도 수원시 영통구 영통동 ***-* 센타프라자 ***호,,2026-01-13 17:19:36,,206499.293774172,416711.981629041
도담동물보호소,20260427,정상,,0,10292,"경기도 고양시 덕양구 호국로 ****, *층 (원당동)",경기도 고양시 덕양구 원당동 ***-* *층,,2026-04-28 21:02:51,,187822.508429876,463547.210778142
폴리매스 주식회사,20220805,정상,,0,16704,"경기도 수원시 영통구 청명남로 **, 럭셔리프라자 *층 ***호*호 (영통동)",경기도 수원시 영통구 영통동 ***-* 럭셔리프라자,,2026-01-13 17:19:37,,206644.07883035,416812.834725723
애견 11번가,20210420,정상,,0,11101,경기도 포천시 관인면 관인로**번길 *,경기도 포천시 관인면 탄동리 ***-**,11101,2026-03-10 21:34:49,,221829.431500998,517153.159909039
강아지분양 고양이분양 컴투펫 수원점,20221207,정상,,0,16440,"경기도 수원시 팔달구 고화로 ***, *,*층 (화서동)",경기도 수원시 팔달구 화서동 **-*,,2026-01-13 17:19:37,,200496.090869891,419933.305305193
댕집사장 강아지분양,20221216,정상,,0,16655,"경기도 수원시 권선구 정조로 ***-*, 청계 *(일부)층 (세류동)",경기도 수원시 권선구 세류동 ***-* 청계,,2026-01-13 17:19:37,,200980.596557756,416501.149197104
해피애견,20230223,정상,,0,16270,"경기도 수원시 장안구 팔달로 ***, SK텔레콤 *층 (영화동)",경기도 수원시 장안구 영화동 ***-* SK텔레콤,,2026-01-13 17:19:37,,201114.650887783,420788.796199061
아가마미 고양이카페,20230310,정상,031-203-4075,0,16705,"경기도 수원시 영통구 청명남로 **, 거성빌딩 *층 ***호 (영통동)",경기도 수원시 영통구 영통동 ****-** 거성빌딩 ***호,,2026-01-13 17:19:37,,206621.473848068,416699.17507388
수원고양이분양 드림캣 안심분양센터,20230717,정상,,0,16490,"경기도 수원시 팔달구 효원로***번길 **-*, ***호 (인계동)",경기도 수원시 팔달구 인계동 **** ***호,,2026-01-13 17:19:37,,202309.669044626,418131.330210375
홈플러스 동수원점 수족관,20230807,정상,,0,16490,"경기도 수원시 팔달구 효원로 ***, 홈플러스동수원점 *층 일부호 (인계동)",경기도 수원시 팔달구 인계동 **** 홈플러스동수원점,,2026-01-13 17:19:37,,202602.629959972,417869.723857315
우정앤독스,20141126,정상,070-4202-7788,0,13601,경기도 성남시 분당구 발이봉북로**번길 * (수내동),경기도 성남시 분당구 수내동 ***-*,,2026-01-13 17:19:05,,211339.754886557,429257.786682303
비포유,20150501,정상,031-715-2298,0,13558,"경기도 성남시 분당구 성남대로 ***, ***호 (정자동, 시그마타워)",경기도 성남시 분당구 정자동 **-*,,2026-01-13 17:19:05,,209468.85942573,429475.800850246
