bizplc_nm,bsn_state_nm,licensg_ymd,refine_road_nm_addr,refine_lotno_addr,refine_zipno,locplc_faclt_telno_dtls,refine_wgs84_lat,refine_wgs84_logt,licensg_rtrcn_ymd,clsbiz_ymd,tcbiz_bgng_ymd,tcbiz_end_ymd,bizcond_div_nm_info,xcrd_vl,ycrd_vl,cultur_phstrn_indutype_nm,cultur_bizman_div_nm,tot_floor_cnt,circumfr_envrn_nm,faclt_ar,ground_floor_cnt,bsmnt_floor_cnt,buldng_purpos_nm,passway_wdth,light_faclt_ilum_amnt,sngrum_rom_cnt,yongroom_cnt,emgncy_strs_yn,emgnexit_yn,man_dong_ventltn_yn,yongroom_yn,specl_light_yn,sondfaclt_yn,tot_gamemchn_vcnt,provsn_gamesw_nm,first_reg_hr,region_div_nm
만남,폐업,20030114,"경기도 용인시 처인구 백암면 백암로 202, 2층",경기도 용인시 처인구 백암면 백암리 368-4 2층,17178,,37.1648116931,127.3751685265,,20180219,,,,233253.149106402,407062.488909622,노래연습장업,유통관련업,4,기타,117.0,3,1,근린생활시설,1.0,40.0,6,2,Y,Y,Y,Y,Y,Y,,,,상업지역
만남,폐업,19920914,경기도 고양시 덕양구 혜음로 40  (고양동),경기도 고양시 덕양구 고양동 141,10274,031-964-0321,37.7041253076,126.9022868685,,19930824,,,,191318.007262733,466856.1333271,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
만남,폐업,19990408,경기도 여주시 대신면 천서리길 5,경기도 여주시 대신면 천서리 617-11,12608,031-884-8259,37.4030811065,127.5467096819,,20110921,,,,248337.24950002,433579.470738708,노래연습장업,유통관련업,,,70.79,,,,,,5,1,N,N,N,Y,Y,N,,,,
만남,폐업,20000612,,경기도 화성시 동탄구 오산동  844-6,,,,,,20100107,,,,,,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
만남,폐업,20011116,경기도 수원시 영통구 중부대로246번길 10 (매탄동),경기도 수원시 영통구 매탄동 153-120,16530,,37.2746589488,127.0423735025,,20130823,,,,203684.840776905,419191.31259345,노래연습장업,유통관련업,3,,89.0,2,1,근린생활시설,1.0,40.0,6,2,Y,Y,Y,,Y,Y,,,,
만남,폐업,19951116,경기도 안양시 만안구 경수대로 1207  (석수동),경기도 안양시 만안구 석수동 177-6,13961,,37.4165185732,126.9137562936,,20131005,,,,,,노래연습장업,유통관련업,,,99.0,,,,,,12,,N,N,N,N,N,N,,,,
만남 노래연습장,등록취소,20021002,경기도 수원시 장안구 송정로 174  (조원동),경기도 수원시 장안구 조원동 770-11,16288,,37.2982134762,127.0154899087,20081226,,,,,201304.715058456,421799.521061301,노래연습장업,유통관련업,,,123.48,,,근린생활시설,,,,1,Y,Y,Y,Y,Y,Y,,,,일반주거지역
만남 노래연습장,영업중,20020625,"경기도 수원시 권선구 세지로82번길 3, 지층 (권선동)",경기도 수원시 권선구 권선동 979-8 지층,16564,,37.259212107,127.0181531707,,,,,,201540.48801243,417476.616734177,노래연습장업,유통관련업,,,132.0,,1,,1.0,40.0,5,1,Y,Y,Y,Y,Y,Y,,,,
만남 노래연습장,영업중,20020116,경기도 성남시 수정구 성남대로1221번길 13 (수진동),경기도 성남시 수정구 수진동 4567-19,13313,,37.4386631636,127.1263840465,,,,,,211114.250528209,437398.502095515,노래연습장업,유통관련업,,,82.5,,1,,1.0,40.0,4,2,Y,Y,Y,Y,Y,Y,,,,
만남 노래연습장,영업중,19931214,경기도 의정부시 둔야로33번길 8 (의정부동),경기도 의정부시 의정부동 485-6 지하1층,11673,,37.7391168557,127.0393137603,,,,,,203394.39548687,470743.126141281,노래연습장업,유통관련업,,,111.0,,1,,,,7,0,N,N,N,Y,N,N,,,,일반주거지역
만남 노래연습장,영업중,20151221,"경기도 광주시 곤지암읍 경충대로 756, 2층 (지우빌딩)",경기도 광주시 곤지암읍 삼리 106-25,12800,,37.3557125403,127.3265355321,,,,,,228861.49366227,428235.402638476,노래연습장업,유통관련업,,,160.0,,,,,,9,,,,,,,,,,,
만남 노래연습장,직권말소,19990310,경기도 성남시 중원구 산성대로 100  (성남동),경기도 성남시 중원구 성남동 3200,13355,,37.4333505214,127.1303408373,,20110302,,,,211466.145403711,436809.209244338,노래연습장업,유통관련업,,,138.04,2,,,,,,,N,N,N,,N,N,,,,
만남 노래연습장,폐업,20100112,경기도 수원시 장안구 송정로 174 (조원동),경기도 수원시 장안구 조원동 770-11 지하1층,16288,031-255-2681,37.2982134762,127.0154899087,,20210917,,,,201304.715058456,421799.521061301,노래연습장업,유통관련업,,,123.48,,,,,,5,1,,,,Y,,,,,,주거지역
만남 노래연습장,폐업,19930831,경기도 양주시 백석읍 부흥로1036번길 17,경기도 양주시 백석읍 방성리 85-34 지상2층,11508,,37.8046587532,127.0012154334,,20201023,,,,200043.585854628,478018.981793924,노래연습장업,유통관련업,,,164.43,,,근린생활시설,,,7,1,N,N,N,Y,N,N,,,,
만남 노래연습장,폐업,19930326,경기도 성남시 중원구 광명로 265-4  (중앙동),경기도 성남시 중원구 중앙동 181,13248,,37.4431052848,127.1555171868,,20070117,,,,213690.902414019,437896.224920259,노래연습장업,유통관련업,,,52.8,1,,,,,4,2,N,N,N,Y,N,N,,,,
만남 노래연습장,폐업,19930828,경기도 성남시 중원구 둔촌대로 305  (하대원동),경기도 성남시 중원구 하대원동 136-3,13390,,37.4303764345,127.1519359755,,20110209,,,,213374.949141129,436487.103648002,노래연습장업,유통관련업,,,198.34,,1,,,,,,N,N,N,N,N,N,,,,
만남(2),폐업,19920918,경기도 수원시 권선구 정조로 594-1  (세류동),경기도 수원시 권선구 세류동 150-10,16577,,37.2618364855,127.0140652177,,20050103,,,,201177.687703554,417765.163759924,노래연습장업,유통관련업,,주택가주변,82.5,,,근린생활시설,,,7,,Y,Y,Y,Y,Y,Y,,,,상업지역
만남노래방,폐업,19921106,경기도 파주시 적성면 솥뒤로 6-1,경기도 파주시 적성면 마지리 46-4,10803,,37.9549130675,126.9184613724,,20090402,,,,192763.793156037,494690.605163014,노래연습장업,유통관련업,,,39.0,,,,,,9,,N,N,N,N,N,N,,,,
만남노래연습장,영업중,19990614,경기도 안산시 상록구 항가울로 186 (사동),경기도 안산시 상록구 사동 1278-6,15589,,37.2972519633,126.8439959935,,,,,,186095.861955201,421707.975355701,노래연습장업,유통관련업,,,109.81,,,,,,5,,N,N,N,,N,N,,,,
만남노래연습장,영업중,19921002,경기도 파주시 파주읍 벌말길 21-2,경기도 파주시 파주읍 연풍리 405-28,10834,,37.8288014816,126.8361820482,,,,,,185507.299258402,480704.737206298,노래연습장업,유통관련업,,,104.0,,,,,,6,,N,N,N,Y,N,N,,,,
만남노래연습장,영업중,20160513,"경기도 군포시 산본천로 200-1, 지층 (산본동)",경기도 군포시 산본동 236-9,15811,,37.3702979246,126.9401371439,,,,,,194628.496519389,429804.693362354,노래연습장업,유통관련업,,,101.7,,,,1.0,80.0,5,,,,,,,,,,,
만남노래연습장,영업중,20031119,경기도 하남시 대성로319번길 22 (덕풍동),경기도 하남시 덕풍동 465,12964,,37.5367774198,127.2064523457,,,,,,218174.050708065,448300.968806907,노래연습장업,유통관련업,6,기타,122.91,2,,근린생활시설,1.0,40.0,5,2,Y,Y,,Y,,Y,,,,상업지역
만남노래연습장,영업중,20020228,"경기도 부천시 소사구 심곡로 9, 2층 (심곡본동)",경기도 부천시 소사구 심곡본동 593-1 2층,14712,032-664-9661,37.4830065923,126.7762076894,,,,,,180136.572,442334.0325,노래연습장업,유통관련업,,,40.35,2,,,,,3,,N,Y,Y,,Y,Y,,,,
만남노래연습장,영업중,19920925,경기도 양주시 평화로 1429 (덕계동),경기도 양주시 덕계동 681-24 지상3층,11442,031-857-7144,37.8184934676,127.0456720625,,,,,,203956.876654196,479549.521351511,노래연습장업,유통관련업,5,,170.56,4,1,근린생활시설,,,13,4,N,N,N,Y,Y,Y,,,,
만남노래연습장,영업중,20021128,"경기도 부천시 소사구 소사로 237-3, 지층 (소사본동)",경기도 부천시 소사구 소사본동 82-16 지층,14705,032-3483-1562,37.4794893607,126.7952653131,,,,,,181821.318644203,441941.708005833,노래연습장업,유통관련업,,,79.94,,1,,,,4,1,N,Y,Y,Y,Y,Y,,,,
만남노래연습장,직권말소,19921005,,경기도 파주시 법원읍 대능리 91,10826,,,,,20091117,,,,,,노래연습장업,유통관련업,,,128.7,,,,,,9,,N,N,N,,N,N,,,,
만남노래연습장,폐업,19950114,경기도 양평군 양평읍 시민로 37,경기도 양평군 양평읍 양근리 178-4,12557,,37.4905416388,127.4957240717,,20070911,,,,243773.029606044,443269.885017983,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,Y,N,N,,,,
만남노래연습장,폐업,20021224,경기도 의왕시 계원대학로 8  (내손동),경기도 의왕시 내손동 746-3,16039,,37.3796211183,126.9721463372,,20051223,,,,197464.828594228,430840.488473323,노래연습장업,유통관련업,,,108.67,,,,,,6,,N,N,N,N,N,N,,,,
만남노래연습장,폐업,20050211,"경기도 군포시 산본천로 200-1  (산본동,지하)",경기도 군포시 산본동 236-9 지하,15811,,37.3702979246,126.9401371439,,20150330,,,,194628.496519389,429804.693362354,노래연습장업,유통관련업,,,101.7,,,,,,4,1,,Y,,Y,,,,,,
만남노래연습장,폐업,19981127,경기도 양평군 개군면 하자포길 17,경기도 양평군 개군면 하자포리 224-8,12568,,37.4246992415,127.5382238936,,20100903,,,,247568.72442049,435976.942286997,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,Y,N,N,,,,
만남노래연습장,폐업,20070105,,경기도 부천시 오정구 오정동 588,,032-665-8659,37.5250890727,126.7837214057,,20090610,,,,180812.285875534,447007.307000927,노래연습장업,유통관련업,4,주택가주변,101.1,3,1,근린생활시설,1.0,,7,2,N,N,Y,Y,N,N,,,,일반주거지역
만남노래연습장,폐업,20020531,"경기도 안양시 동안구 안양판교로 10 (관양동,지상2층)",경기도 안양시 동안구 관양동 1505-2 지상2층,13943,,37.4010254161,126.9774872916,,20130820,,,,197935.409680157,433212.858864339,노래연습장업,유통관련업,,,87.75,,,,,,6,,N,N,N,N,N,N,,,,
만남노래연습장,폐업,19971112,"경기도 안양시 동안구 관평로305번길 49, 2층 (관양동)",경기도 안양시 동안구 관양동 1381-11,13940,,37.4036254428,126.9544421776,,20230317,,,,195881.880523048,433507.63995771,노래연습장업,유통관련업,,,100.0,,,,,,5,2,N,N,N,Y,N,N,,,,
만남노래연습장,폐업,19990127,"경기도 부천시 원미구 조종로 22, 지층 (원미동)",경기도 부천시 원미구 원미동 124-3 지층,14571,,,,,20190315,,,,181114.153473059,443439.971410861,노래연습장업,유통관련업,,,167.9,,,,,,6,3,Y,Y,Y,Y,Y,Y,,,,
만남노래연습장,폐업,20020422,경기도 안양시 만안구 태평로8번길 39-21 (안양동),경기도 안양시 만안구 안양동 138-72,,,,,,20180420,,,,,,노래연습장업,유통관련업,,,92.4,,,,,,10,,N,N,N,,N,N,,,,
만남노래연습장,폐업,20010614,"경기도 부천시 원미구 부흥로402번길 42, 지층 (심곡동)",경기도 부천시 원미구 심곡동 161-13 지층,14641,032-661-4181,,,,20200626,,,,,,노래연습장업,유통관련업,,,109.6,3,,,,,,,N,N,N,,N,N,,,,
만남노래연습장,허가취소,19981224,,경기도 부천시 오정구 오정동 588,,032-677-2929,37.5250890727,126.7837214057,20050805,,,,,180812.285875534,447007.307000927,노래연습장업,유통관련업,,,99.17,3,,근린생활시설,1.0,,6,,Y,Y,Y,N,Y,Y,,,,
만득이노래연습장,폐업,20030205,"경기도 광명시 새터로 53, 2층 (광명동)",경기도 광명시 광명동 334-14 2층,14273,26887831,37.4728402762,126.854124209,,20180530,,,,187028.562470657,441194.943743626,노래연습장업,유통관련업,,,99.17,,,,,,7,,N,N,N,Y,N,N,,,,
만방  노래연습장,폐업,20010319,경기도 고양시 일산서구 덕이로 205 (덕이동),경기도 고양시 일산서구 덕이동 1045-9,10212,,37.6959271561,126.7387300903,,20230118,,,,176885.382344318,465991.505538239,노래연습장업,유통관련업,,,198.72,,,,,,5,,N,N,N,,N,N,,,,
만번노래연습장,영업중,20120323,경기도 파주시 시청로 15 (금촌동),경기도 파주시 금촌동 765-24,10929,,37.7587457757,126.7754593124,,,,,,180144.223228643,472941.224811945,노래연습장업,유통관련업,,,87.83,,,,,,3,1,,,,Y,,,,,,
만석노래연습장,폐업,19990611,,경기도 김포시 양촌읍 양곡리 391-58,10059,,,,,20130531,,,,,,노래연습장업,유통관련업,,,102.47,,1,,,,8,5,,,,Y,,,,,,
만송 노래연습장,영업중,20191120,"경기도 의정부시 신흥로 229, 우리빌딩 3층 (의정부동)",경기도 의정부시 의정부동 503 우리빌딩 3층,11650,,37.7366707928,127.0430514929,,,,,,203723.917507044,470466.356634973,노래연습장업,유통관련업,3,,337.88,0,3,근린생활시설,,,9,0,,,,,,,,,,일반상업지역
만송노래연습장,폐업,20111103,경기도 의정부시 신흥로 229 (의정부동),경기도 의정부시 의정부동 503 3층,11650,,37.7366707928,127.0430514929,,20130819,,,,203723.917507044,470466.356634973,노래연습장업,유통관련업,3,,337.88,,,근린생활시설,,,,,,,,,,,,,,상업지역
만수르 노래연습장,영업중,20021220,"경기도 안산시 상록구 용신로 389, 401호 (본오동, 상록수상가)",경기도 안산시 상록구 본오동 874-9 상록수상가 401호,15532,,37.3019123894,126.8655409566,,,,,,188007.702847991,422221.060146725,노래연습장업,유통관련업,5,,199.56,4,,근린생활시설,,,6,,N,N,N,,N,N,,,,
만수르노래연습장,폐업,20200626,"경기도 군포시 산본로323번길 7-1, 동아프라자빌딩 지층 (산본동)",경기도 군포시 산본동 1128-1 동아프라자빌딩,15865,,37.3591858206,126.9329588339,,20210528,,,,193989.849765502,428572.987967799,노래연습장업,유통관련업,,,127.64,,,,,40.0,6,,Y,Y,Y,Y,,Y,,,,
만원노래연습장,폐업,20021216,"경기도 부천시 원미구 소향로37번길 19, 3층 303호 (상동)",경기도 부천시 원미구 상동 545-13 303호,14544,,37.5043764336,126.7514389417,,20210520,,,,177950.416534091,444712.465380973,노래연습장업,유통관련업,,,179.2,3,,,1.0,40.0,8,,Y,Y,Y,,Y,Y,,,,
만점,폐업,19940106,경기도 광주시 곤지암읍 곤지암로 63,경기도 광주시 곤지암읍 곤지암리 445-3,12804,,37.3494393662,127.3396586352,,20020829,,,,230024.534686871,427540.835944508,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
만점,허가취소,20000529,경기도 수원시 팔달구 중부대로207번길 27  (우만동),경기도 수원시 팔달구 우만동 110-4,16498,,37.2776583766,127.0394789376,20080220,,,,,203430.11626409,419526.864216783,노래연습장업,유통관련업,,,,,,,,,,2,N,N,N,Y,N,N,,,,
만호 노래연습장,폐업,20130626,"경기도 수원시 영통구 태장로 6, 지층 (망포동)",경기도 수원시 영통구 망포동 221-13 지하,16686,,37.2380519448,127.0467212228,,20231123,,,,204073.215685979,415128.51354713,노래연습장업,유통관련업,4,학교정화(상대),199.69,3,1,근린생활시설,,,7,1,,,,Y,,,,,,
만호노래연습장,직권말소,20030319,경기도 평택시 포승읍 연암길 95-1,경기도 평택시 포승읍 만호리 265-28,17962,,36.9618859303,126.8460756626,,20080929,,,,186246.039172798,384480.002816681,노래연습장업,유통관련업,3,주택가주변,90.0,2,1,근린생활시설,2.0,30.0,6,,N,N,N,,N,N,,,,준주거지역
만희,폐업,19990708,경기도 화성시 만세구 서신면 해안길 156-12,경기도 화성시 만세구 서신면 제부리 68-7,18553,,37.1640364259,126.6214332928,,20030923,,,,166369.306891258,407017.512890904,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
말타니 노래연습장,영업중,20120524,"경기도 안성시 공도읍 공도4로 3, 4층 401~403호",경기도 안성시 공도읍 만정리 817-2 4층 401~403호,17561,,37.0004724453,127.1721238134,,,,,,215250.626720175,388773.25337567,노래연습장업,유통관련업,8,학교정화(상대),243.38,4,2,근린생활시설,1.0,,10,10,,Y,Y,Y,Y,Y,,,,일반상업지역
맘마미아 노래연습장,영업중,20120201,"경기도 양평군 양평읍 시민로 47, 지하1층",경기도 양평군 양평읍 양근리 175-1,12557,031-772-9808,37.4908120868,127.4969344512,,,,,,243875.01255444,443300.815873616,노래연습장업,유통관련업,,,207.05,,1,근린생활시설,,,,,,,,,,,,,,준주거지역
맘모스,폐업,20010705,경기도 수원시 권선구 동수원로 299  (권선동),경기도 수원시 권선구 권선동 1171-7,16562,,37.2562465767,127.0362262633,,20050404,,,,203137.141845195,417118.12145568,노래연습장업,유통관련업,,,128.7,,1,,,,5,2,N,N,N,Y,N,N,,,,
맘모스,폐업,19960110,경기도 수원시 팔달구 갓매산로 65  (매산로2가),경기도 수원시 팔달구 매산로2가 26-20,16455,,37.2696532393,127.0036046366,,20071213,,,,200249.024863309,418634.363050329,노래연습장업,유통관련업,,,309.34,,,,,,12,,Y,Y,N,Y,Y,Y,,,,
맘모스노래연습장,영업중,20030319,"경기도 평택시 안중읍 안중로114번길 3, 지하층",경기도 평택시 안중읍 안중리 281-1,17936,,36.9883108772,126.9289701928,,,,,,193608.510223313,387414.689793576,노래연습장업,유통관련업,5,유흥업소밀집지역,132.2,4,1,근린생활시설,2.0,30.0,7,,N,N,N,,N,N,,,,상업지역
맘보,영업중,20010420,"경기도 수원시 팔달구 덕영대로943번길 24, 지층 (매산로2가)",경기도 수원시 팔달구 매산로2가 99-8 지층,16461,,37.2655216602,127.0028422831,,,,,,200183.322631827,418172.873131855,노래연습장업,유통관련업,4,,125.86,3,1,,,,5,1,Y,Y,Y,Y,Y,Y,,,,
맘보스,폐업,20071210,"경기도 수원시 팔달구 갓매산로 65  (매산로2가,1층)",경기도 수원시 팔달구 매산로2가 26-20 1층,16455,,37.2696532393,127.0036046366,,20120801,,,,200249.024863309,418634.363050329,노래연습장업,유통관련업,5,,83.2,4,1,근린생활시설,1.0,32.0,3,,N,N,N,,Y,Y,,,,일반상업지역
망고 노래연습장,폐업,20090311,경기도 성남시 수정구 수정로170번길 3 (신흥동),경기도 성남시 수정구 신흥동 5523 지층,13338,,37.4427139609,127.1391609347,,20200626,,,,212244.837694177,437849.890958147,노래연습장업,유통관련업,6,,184.95,5,1,근린생활시설,,,5,1,,,,Y,,,,,,
망고KTV노래연습장,영업중,20210817,"경기도 시흥시 군서로24번길 9, 2층 (정왕동)",경기도 시흥시 정왕동 1201-1,15052,,37.3455283508,126.7497333884,,,,,,177753.59648173,427085.501574229,노래연습장업,유통관련업,,,126.27,,,,,,5,,,,,,,,,,,
망고노래연습장,영업중,20071209,"경기도 안산시 단원구 부부로2길 23 (원곡동,지하1층)",경기도 안산시 단원구 원곡동 750-10 지하1층,15376,,37.3318524312,126.7933055659,,,,,,181611.695152959,425557.703412556,노래연습장업,유통관련업,,,149.04,,1,,1.0,,6,,Y,N,N,,Y,N,,,,일반주거지역
망고노래연습장,영업중,20151126,경기도 포천시 중앙로115번길 4 (신읍동),경기도 포천시 신읍동 43-40,11145,,37.8969212419,127.2025483957,,,,,,217743.145454639,488272.030135538,노래연습장업,유통관련업,,,193.18,6,,,,,10,10,,Y,,Y,,,,,,
망고뮤직노래연습장,영업중,20170307,"경기도 포천시 소흘읍 송우로 16, 2층",경기도 포천시 소흘읍 송우리 134-3,11174,,37.8276910902,127.1468282392,,,,,,212856.703217342,480579.812530106,노래연습장업,유통관련업,,,142.0,2,,,,,7,,,,,,,,,,,일반상업지역
망치,폐업,20030116,경기도 용인시 처인구 중부대로 1584,경기도 용인시 처인구 마평동 535-3,17144,,37.2330908172,127.2204066787,,20060331,,,,219499.261797503,414595.828499206,노래연습장업,유통관련업,4,기타,150.0,3,1,근린생활시설,1.0,40.0,9,3,Y,Y,Y,Y,Y,Y,,,,일반주거지역
매교,폐업,20020401,경기도 수원시 팔달구 매산로 138,경기도 수원시 팔달구 매교동 25-7,16465,,37.27173145,127.0163735833,,20030711,,,,201383.614258613,418864.875147716,노래연습장업,유통관련업,,유흥업소밀집지역,49.5,1,,근린생활시설,,,3,1,Y,Y,N,Y,Y,Y,,,,상업지역
매니아 노래연습장,영업중,20090911,"경기도 시흥시 한우물로 4 (거모동,2층)",경기도 시흥시 거모동 1756-8 2층,15070,,37.3429525428,126.7850052687,,,,,,180878.711671088,426790.925145435,노래연습장업,유통관련업,4,주택가주변,196.07,4,,근린생활시설,1.0,50.0,6,1,Y,Y,,Y,,,,,,일반상업지역
매니아 노래연습장,직권말소,19990407,"경기도 시흥시 중심상가로 155, B102호 (정왕동)",경기도 시흥시 정왕동 1728-17 B102호,15036,,37.3464056067,126.7333200886,,20150610,,,,176303.465445692,427184.876744642,노래연습장업,유통관련업,,,216.0,,,,,,1,,N,N,N,Y,N,N,,,,
매니아노래연습장,영업중,20051111,경기도 구리시 안골로97번길 37 (수택동),경기도 구리시 수택동 419,11928,031-566-1050,37.5989337285,127.1408887474,,,,,,212372.266718411,455186.054843211,노래연습장업,유통관련업,,유흥업소밀집지역,74.0,,,근린생활시설,,,5,,,,,,,,,,,상업지역
매니아노래연습장,폐업,20080228,"경기도 시흥시 한우물로 4  (거모동,2층)",경기도 시흥시 거모동 1756-8 2층,15070,,37.3429525428,126.7850052687,,20090902,,,,180878.711671088,426790.925145435,노래연습장업,유통관련업,4,주택가주변,196.07,4,,근린생활시설,2.0,50.0,6,2,Y,Y,Y,Y,Y,Y,,,,상업지역
매니아노래연습장,폐업,19931020,"경기도 성남시 중원구 산성대로 584 (은행동,3층)",경기도 성남시 중원구 은행동 613 3층,13149,,37.46159299,127.1683344151,,20201214,,,,214822.668957502,439949.32212464,노래연습장업,유통관련업,,,125.62,3,,,,,8,3,N,N,N,Y,N,N,,,,
매드락노래연습장,영업중,20191004,"경기도 시흥시 서울대학로278번길 61, 서영베니스스퀘어 7층 701,702호 (배곧동)",경기도 시흥시 배곧동 204 서영베니스스퀘어,15011,,37.3681926149,126.7306929431,,,,,,176072.60072494,429602.843996773,노래연습장업,유통관련업,,,180.48,,,,,,22,,,,,Y,,,,,,
매드락코인노래연습장,영업중,20180222,"경기도 안산시 상록구 일동로 22, 원영빌딩 2층 201~202호 (일동)",경기도 안산시 상록구 일동 632-13 원영빌딩,15326,,37.3100879289,126.8689141211,,,,,,188308.30430135,423128.440592544,노래연습장업,유통관련업,5,유흥업소밀집지역,111.15,5,1,근린생활시설,2.0,90.0,15,15,Y,Y,Y,Y,Y,Y,,,,근린상업지역
매드락코인노래연습장 한대역점,영업중,20171010,"경기도 안산시 상록구 광덕1로 370, 205호 (이동, 코로스프라자)",경기도 안산시 상록구 이동 716-8 코로스프라자 205호,15495,,37.3076023405,126.8509926856,,,,,,186718.34120783,422856.807768142,노래연습장업,유통관련업,,,116.62,,,근린생활시설,2.0,45.0,15,15,,,,Y,,,,,,
매바위,직권말소,19970314,경기도 화성시 만세구 서신면 해안길 240-7,경기도 화성시 만세구 서신면 제부리 190-107,18553,,37.1627027861,126.6190610458,,20081230,,,,166147.204284202,406876.080763304,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
매산,영업중,20030114,"경기도 용인시 처인구 모현읍 문현로 141, 2층",경기도 용인시 처인구 모현읍 매산리 208-1 2층,17032,,37.344199588,127.225403185,,,,,,219896.524227021,426931.637233672,노래연습장업,유통관련업,3,학교정화(상대),157.0,3,,근린생활시설,1.0,40.0,8,2,Y,Y,Y,Y,Y,Y,,,,주거지역
매일거기노래연습장,영업중,20111125,"경기도 화성시 병점구 병점2로 11, 201호 (병점동,글로리아빌딩)",경기도 화성시 병점구 병점동  364 글로리아빌딩 201호,18411,,37.2055682429,127.0381142554,,,,,,203313.836631998,411521.648325365,노래연습장업,유통관련업,5,기타,108.29,4,1,근린생활시설,,,5,,,,,Y,,,,,,일반주거지역
매일노래연습장,폐업,19990703,"경기도 수원시 영통구 산남로 19  (매탄동,지층)",경기도 수원시 영통구 매탄동 231-47 지층,16539,,37.2653962946,127.0480235466,,20071120,,,,204187.30967726,418158.955953859,노래연습장업,유통관련업,5,,141.19,4,1,근린생활시설,1.0,40.0,6,2,Y,Y,Y,Y,Y,Y,,,,일반주거지역
매직노래연습장,영업중,19990627,경기도 안산시 상록구 시낭북로3길 1 (부곡동),경기도 안산시 상록구 부곡동 728-15,15277,,37.3348702668,126.8578247449,,,,,,187329.619439316,425881.627412272,노래연습장업,유통관련업,,,149.54,,1,,,,8,2,N,N,N,Y,N,N,,,,
매직노래연습장,폐업,20060629,경기도 수원시 장안구 파장천로 3 (파장동),경기도 수원시 장안구 파장동 582-16,16349,,37.3062796027,126.9936482014,,20160303,,,,199366.97107456,422700.713223264,노래연습장업,유통관련업,4,기타,116.0,4,,근린생활시설,1.0,45.0,6,2,Y,Y,Y,Y,Y,Y,,,,일반상업지역
매칭노래연습장,영업중,19990609,경기도 안산시 상록구 도매시장로1길 6 (이동),경기도 안산시 상록구 이동 527-11,15508,,37.3099675478,126.8582623095,,,,,,187364.786212021,423117.173584977,노래연습장업,유통관련업,,,137.05,,1,,,,5,,N,N,N,,N,N,,,,
매트로노래연습장,직권말소,20050407,경기도 포천시 내촌면 금강로 2753-10,경기도 포천시 내촌면 소학리 179-9,11188,,37.8123349248,127.2540236893,,20160908,,,,222301.292559799,478895.308803221,노래연습장업,유통관련업,5,기타,116.64,4,1,근린생활시설,1.0,82.0,5,,N,Y,Y,,Y,Y,,,,관리지역
매향노래연습장,폐업,20140423,"경기도 화성시 만세구 우정읍 매향선창길 84, 305호",경기도 화성시 만세구 우정읍 매향리 944-1 외 2필지,18570,,37.0363957814,126.7469051917,,20150914,,,,177414.288761257,392785.018009938,노래연습장업,유통관련업,,,91.8,3,,,,,4,,,,,,,,,,,
매향노래연습장,폐업,20050525,,경기도 화성시 만세구 우정읍 매향리 944-1,18570,,37.0363957814,126.7469051917,,20110421,,,,177414.288761257,392785.018009938,노래연습장업,유통관련업,4,,91.8,4,1,근린생활시설,1.0,,5,,N,Y,Y,N,Y,Y,,,,
매화노래연습장,폐업,19990812,경기도 화성시 만세구 서신면 매화2길 14-3,경기도 화성시 만세구 서신면 매화리 376-3,18555,,37.1689585956,126.7031164071,,20200805,,,,173560.798327774,407490.517312057,노래연습장업,유통관련업,,,130.0,,,,,,5,,N,Y,N,,Y,Y,,,,
맥PC카페코인노래연습장,영업중,20250408,"경기도 파주시 초롱꽃로 117-36, 5층 510~513호 (동패동)",경기도 파주시 동패동 2077-1,10956,,37.7129184252,126.7155816039,,,,,,,,노래연습장업,유통관련업,,,322.26,,,,,,5,5,,,,Y,,,,,,
맥스,영업중,20030109,경기도 용인시 수지구 대지로 46 (죽전동),경기도 용인시 수지구 죽전동 484-4,16873,,37.3283233294,127.1145259953,,,,,,210079.483415229,425145.758909207,노래연습장업,유통관련업,6,기타,172.57,5,1,근린생활시설,2.0,40.0,8,3,Y,Y,Y,Y,Y,Y,,,,준주거지역
맥스노래연습장,영업중,20041126,경기도 용인시 수지구 수지로342번길 15 (풍덕천동),경기도 용인시 수지구 풍덕천동 29-9,16832,031-262-7780,37.327036095,127.0961340576,,,,,,208450.593613134,425006.324658959,노래연습장업,유통관련업,3,아파트지역,209.66,,1,근린생활시설,,,,,N,N,N,Y,N,N,,,,일반주거지역
맥스노래연습장,폐업,20081222,"경기도 군포시 산본로323번길 7-1, 지하1층 (산본동, 동아프라자)",경기도 군포시 산본동 1128-1 동아프라자 지하1층 1호,15865,031-398-2580,37.3591858206,126.9329588339,,20200204,,,,193989.849765502,428572.987967799,노래연습장업,유통관련업,,,127.64,,,,,,5,2,,,,,,,,,,
