licensg_ymd,bizplc_nm,unity_bsn_state_nm,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,locplc_ar_info,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,xcrd_vl,ycrd_vl,sanittn_bizcond_nm,buldng_ground_floor_cnt,buldng_bsmnt_floor_cnt,use_bgng_ground_floor_cnt,use_last_ground_floor_cnt,use_bgng_bsmnt_floor_cnt,use_last_bsmnt_floor_cnt,cdtnl_prmsn_dclr_resn,cdtnl_prmsn_bgng_ymd,cdtnl_prmsn_end_ymd,buldng_posesn_div_nm,whm_cnt,female_enflpsn_cnt,male_enflpsn_cnt,retrvl_dry_cnt,bed_noc,multi_utlz_bizest_yn
20110303,대림세탁소,영업/정상,영업,,031-962-0576,58.50,"경기도 고양시 덕양구 호국로 859 (성사동, 원당e-편한세상 상가 가동 105호)",경기도 고양시 덕양구 성사동 869 원당e-편한세상 상가 가동 105호,10294,37.6597571805,126.8388806078,일반세탁업,185784.217497976,462086.921242864,일반세탁업,0,0,1,,,,,,,,2,,,1,,N
20011205,대림세탁소,영업/정상,영업,,031-268-3080,22.30,"경기도 수원시 장안구 천천로74번길 92, 2층 (정자동, 대림진흥아파트상가)",경기도 수원시 장안구 정자동 914 대림진흥아파트상가 2층,16328,37.3009567429,126.9883693676,일반세탁업,198932.607591127,422055.749853874,일반세탁업,2,0,2,0,0,0,,,,,0,,,1,,N
19940609,대림세탁소,폐업,폐업,20121114,031-216-2585,34.06,경기도 수원시 영통구 매여울로40번길 21,경기도 수원시 영통구 매탄동 196-6,16524,37.2722039498,127.0462232959,일반세탁업,204026.522328245,418920.348983897,일반세탁업,,,,,,,,,,,,,,,,N
20070202,대림세탁소,폐업,폐업,20140912,031-599-0508,40.95,"경기도 안산시 상록구 건건8길 2, 2층 202호 (건건동)",경기도 안산시 상록구 건건동 987 대립@부상가2층 202호,15521,37.3113572299,126.9051396006,일반세탁업,191609.08892775,423211.969473376,일반세탁업,,,,,,,,,,,3,,,,,N
20041130,대림세탁소,폐업,폐업,20150326,031-922-2552,18.80,"경기도 고양시 일산동구 고봉로278번길 17 (중산동, 산들마을2단지 상가동 107호)",경기도 고양시 일산동구 중산동 1651 산들마을2단지 상가동 107호,10338,37.683535255,126.7805578482,일반세탁업,180529.610768313,464626.388065265,일반세탁업,2,1,1,1,0,0,,,,자가,0,,,1,,N
20051228,대림세탁소,폐업,폐업,20191217,031-292-0094,57.30,"경기도 수원시 권선구 탑동로29번길 14 (탑동,대림아트빌)",경기도 수원시 권선구 탑동 784-6 대림아트빌,16603,37.2716331855,126.9736681692,일반세탁업,197593.870217578,418854.962781332,일반세탁업,5,,1,1,,,,,,자가,2,,,,,N
20030826,대림세탁소,영업/정상,영업,,031-474-5999,15.56,"경기도 안양시 만안구 경수대로 1185, 지상1층 (안양동)",경기도 안양시 만안구 안양동 28-4 지상1층,13957,37.4156204177,126.9162268311,일반세탁업,,,일반세탁업,3,1,2,2,,,,,,임대,,,,,,N
20041112,대림세탁소,폐업,폐업,20050830,,34.60,,경기도 안양시 동안구 호계동 813 외1필지 호계e-편한세상아파트 21동 상가 204호,,,,일반세탁업,196600.354192025,429085.305995875,일반세탁업,,,,,,,,,,,,,,,,N
19990430,대림세탁소,영업/정상,영업,,031-983-3526,1.00,"경기도 김포시 김포대로926번길 88-34 (북변동, 풍년마을상가 103호)",경기도 김포시 북변동 808,10097,37.623427958,126.7171688831,일반세탁업,174889.65432985,457897.582541015,일반세탁업,0,0,0,0,0,0,,,,,0,,,1,,N
20040903,대림아크로텔세탁,폐업,폐업,20130620,031-782-6966,32.00,"경기도 성남시 분당구 성남대로 295 (정자동,대림아크로텔132에이호)",경기도 성남시 분당구 정자동 168-1 대림아크로텔132에이호,13559,37.362498941,127.1075530206,일반세탁업,209456.320214797,428943.765289418,일반세탁업,10,4,1,,,,,,,,,,,,,N
20120119,대림자이명품세탁,영업/정상,영업,,031-221-0071,64.62,"경기도 수원시 권선구 권광로 55, 상가2동 B201호 (권선동, 권선자이이편한세상)",경기도 수원시 권선구 권선동 1330,16582,37.2546869457,127.0270566729,일반세탁업,202272.314465399,416779.037573728,일반세탁업,2,1,2,2,,,,,,임대,0,,,1,,N
19921126,대림컴퓨터세탁소,폐업,폐업,20000101,,.00,경기도 용인시 기흥구 기흥로 10-1,경기도 용인시 기흥구 구갈동 374-2,16975,37.2771118495,127.116242408,일반세탁업,210240.86,419467.48,일반세탁업,,,,,,,,,,,,,,,,N
19950106,대림크리닝,폐업,폐업,20110928,,21.07,경기도 평택시 지산로 101,경기도 평택시 독곡동 491,17720,37.0817236286,127.0644625642,일반세탁업,205738.808710741,397726.840177281,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20031216,대림한숲세탁소,영업/정상,영업,,031-409-8903,67.50,"경기도 안산시 단원구 광덕서로 15, 호수공원대림아파트 상가1동 203호 (고잔동)",경기도 안산시 단원구 고잔동 720 호수공원대림아파트 동문상가,15484,37.3059864344,126.8263619803,일반세탁업,184303.335260488,422730.687370719,일반세탁업,0,0,0,0,0,0,,,,,0,,,0,,N
20071010,대림향균세탁,폐업,폐업,20190916,031-378-6626,18.69,"경기도 오산시 오산로132번길 8 (원동, 대림이편한세상2단지 2층)",경기도 오산시 원동 900 대림이편한세상2단지 2층,18143,37.1386589217,127.0698561492,일반세탁업,206207.317567372,403949.710170331,일반세탁업,2,0,,,,,,,,,3,,,,,N
20070309,대명,폐업,폐업,20160531,031-947-2729,196.00,경기도 파주시 동패샘길 71-4 (동패동),경기도 파주시 동패동 375-1,10889,,,일반세탁업,175609.442284556,467646.386273743,일반세탁업,,,,,,,,,,임대,,,,,,N
20081016,대명 세탁,폐업,폐업,20090525,031-906-9651,50.88,경기도 고양시 일산동구 백석로85번길 38,경기도 고양시 일산동구 백석동 1222-3 1층일부,10420,37.6492531064,126.7856950984,일반세탁업,181018.679163899,460785.203237863,일반세탁업,0,0,0,0,0,0,,,,,2,,,1,,N
20090109,대명빨래방,폐업,폐업,20160921,,35.00,경기도 남양주시 진건읍 사릉로용정2길 12 (대명빌딩 202호),경기도 남양주시 진건읍 용정리 791-2 대명빌딩 202호,12136,37.6571586114,127.1810144216,빨래방업,215901.389264459,461656.223522571,빨래방업,0,0,1,1,,,,,,임대,3,,,,,N
19870515,대명사,영업/정상,영업,,,32.00,"경기도 파주시 법원읍 사임당로 849-1, 대명세탁",경기도 파주시 법원읍 대능리 81-33 대명세탁,10826,37.8490243829,126.8753058806,일반세탁업,188957.389113699,482946.651048531,일반세탁업,0,0,0,0,0,0,,,,임대,0,,,0,,N
19870721,대명사,폐업,폐업,20060811,,.00,,경기도 안산시 단원구 원곡동 3단지아파트상가 101호,,,,일반세탁업,,,일반세탁업,,,,,,,,,,,,,,,,N
19880712,대명사,폐업,폐업,20221027,031-743-5082,16.86,경기도 성남시 중원구 희망로359번길 27 (상대원동),경기도 성남시 중원구 상대원동 3865 3866,,,,일반세탁업,213672.118634746,437316.371002028,일반세탁업,,,,,,,,,,,,,,,,N
19960426,대명산업,폐업,폐업,20140827,031-594-3091,,경기도 남양주시 화도읍 비룡로141번길 54,경기도 남양주시 화도읍 묵현리 109-7,12158,37.6625688494,127.2958120433,빨래방업,226030.592960885,462283.990591232,빨래방업,,,,,,,,,,,,,,,,N
20040211,대명세탁,영업/정상,영업,,02-897-8618,9.51,"경기도 광명시 영당안로 36 (소하동,,1층)","경기도 광명시 소하동 927-8 ,1층",14333,37.4355518108,126.877786714,일반세탁업,189113.805532067,437051.737817548,일반세탁업,1,1,1,1,1,1,,,,,,,,,,N
20080411,대명세탁,폐업,폐업,20110112,,.00,,경기도 의왕시 오전동 28 206호,16045,37.3623702162,126.9664401803,일반세탁업,197014.537329598,428859.480443347,일반세탁업,,,,,,,,,,,,,,,,N
20110125,대명세탁,폐업,폐업,20200128,031-451-3150,24.00,"경기도 의왕시 포도원로 46, 206호 (오전동, 대명구름채아파트상가)",경기도 의왕시 오전동 28 대명구름채아파트상가 206호,16045,37.3620768428,126.967345667,일반세탁업,197014.537329598,428859.480443347,일반세탁업,0,0,,,,,,,,,0,,,0,,N
20071213,대명세탁,영업/정상,영업,,031-664-6200,15.39,경기도 평택시 송탄2로 8-2 (서정동),경기도 평택시 서정동 79-2,17766,37.071323792,127.0554437767,일반세탁업,204857.577668523,396624.468701095,일반세탁업,2,0,1,1,0,0,,,,임대,2,,,,,N
20060810,대명세탁,폐업,폐업,20080404,031-451-3150,.00,경기도 의왕시 포도원로 40,경기도 의왕시 오전동 28 대명상가 206호 (2층),16045,37.3623702162,126.9664401803,일반세탁업,197014.537329598,428859.480443347,일반세탁업,,,,,,,,,,,,,,,,N
20091202,대명세탁,영업/정상,영업,,031-453-9551,39.39,"경기도 의왕시 보식골로 17 (오전동,상가동 103호)",경기도 의왕시 오전동 887 상가동 103호,16051,37.3594008519,126.9716104546,일반세탁업,197372.492225781,428596.095263811,일반세탁업,0,0,,,,,,,,,1,,,1,,N
19951103,대명세탁소,영업/정상,영업,,031-965-5351,31.90,"경기도 고양시 덕양구 고양대로1384번길 60, 2층 237호 (성사동, 어울림마을5단지아파트)",경기도 고양시 덕양구 성사동 730 어울림마을5단지아파트,10469,37.6512320724,126.8359294292,일반세탁업,185441.082517815,461052.086575487,일반세탁업,,,,,,,,,,,,,,,,N
20050823,대명세탁소,영업/정상,영업,,031-715-7553,30.00,"경기도 성남시 분당구 내정로173번길 11 (수내동, 양지마을 주상복합상가603 ,119-3호)","경기도 성남시 분당구 수내동 29 양지마을 주상복합상가603 ,119-3호",13597,37.3749106148,127.1184667209,일반세탁업,210421.232418185,430307.058659489,일반세탁업,24,2,1,1,0,0,,,,,0,,,0,,N
20030225,대명세탁소,폐업,폐업,20200210,,,경기도 남양주시 경춘로1306번길 7 (평내동),경기도 남양주시 평내동 107-1,12218,37.649710231,127.2382596877,일반세탁업,221098.293398574,460821.239605573,일반세탁업,,,,,,,,,,,,,,,,N
19941031,대명세탁소,폐업,폐업,20111028,031-239-8304,22.80,경기도 수원시 권선구 세지로 8,경기도 수원시 권선구 세류동 1112-9,16589,37.252952109,127.0148890754,일반세탁업,201250.320320101,416780.87140891,일반세탁업,1,,1,1,,,,,,,,,,,,N
19891226,대명세탁소,폐업,폐업,20040206,,19.44,경기도 평택시 송탄2로 19,경기도 평택시 서정동 64-4,17766,37.0714379367,127.0570405276,일반세탁업,204999.87689458,396637.285359842,일반세탁업,0,0,0,,0,,,,,,,,,,,N
19950826,대명세탁소,영업/정상,영업,,031-970-7455,19.44,"경기도 고양시 덕양구 충경로 87, 1층 14호 (행신동, 소만마을 상가동)",경기도 고양시 덕양구 행신동 783 소만마을 상가동 1층 14호,10529,37.6157120577,126.8393954181,일반세탁업,185838.800339468,457094.97362976,일반세탁업,,,,,,,,,,,,,,,,N
20050609,대명세탁소,폐업,폐업,20181127,031-246-7380,23.20,경기도 수원시 팔달구 동말로 18 (화서동),경기도 수원시 팔달구 화서동 184-52,16442,37.2774552426,126.9962439802,일반세탁업,199596.170214705,419499.571939108,일반세탁업,4,1,1,1,,,,,,임대,,,,,,N
19981204,대명세탁소,폐업,폐업,20050216,031-748-5330,.00,경기도 성남시 중원구 자혜로40번길 10,경기도 성남시 중원구 금광동 3316,13167,37.4497010513,127.164124617,일반세탁업,214451.424469725,438629.723708076,일반세탁업,,,,,,,,,,,,,,,,N
19921120,대명세탁소,영업/정상,영업,,031-313-7383,18.50,경기도 시흥시 매화2로 24 (매화동),경기도 시흥시 매화동 220-16,14940,37.4170983887,126.812259105,일반세탁업,183310.11024606,435014.405063306,일반세탁업,,,,,,,,,,,,,,,,N
19900425,대명세탁소,폐업,폐업,19920811,,1.00,경기도 시흥시 매화2로 29,경기도 시흥시 매화동 222-1,14940,37.4171033239,126.8115584109,일반세탁업,183248.244146405,435014.506975713,일반세탁업,0,0,0,,0,,,,,,,,,,,N
19941216,대명세탁소,영업/정상,영업,,031-903-8669,15.90,"경기도 고양시 일산동구 백석로 153, 지하104호 (백석동, 백송마을상가 )",경기도 고양시 일산동구 백석동 1139 백송마을상가 지하104호,10418,37.651023203,126.7937608082,일반세탁업,181658.997620655,461056.171891144,일반세탁업,0,0,0,0,0,0,,,,,0,,,1,,N
19960113,대명세탁소,영업/정상,영업,,031-917-0588,38.26,"경기도 고양시 일산서구 일산로 788 (대화동, 장성마을2단지 상가동 2층22호)",경기도 고양시 일산서구 대화동 2236 장성마을2단지 상가동 2층22호,10382,37.6738666475,126.7477437116,일반세탁업,177624.875089213,463550.177541469,일반세탁업,0,0,0,0,0,0,,,,,0,,,0,,N
20060602,대명실업,영업/정상,영업,,031-213-9993,234.00,경기도 수원시 영통구 영통로 337 (매탄동),경기도 수원시 영통구 매탄동 528,16676,37.2557390069,127.0639589356,일반세탁업,205600.848096054,417113.939544741,일반세탁업,1,,1,,,,,,,,,,,,,N
20050224,대명실업,폐업,폐업,20051229,031-213-9991,129.00,경기도 수원시 영통구 영통로 337,경기도 수원시 영통구 매탄동 528,16676,37.2559823374,127.0639462563,일반세탁업,205600.848096054,417113.939544741,일반세탁업,1,,1,1,,,,,,,,,,,,N
20150727,대명와이플러스,폐업,폐업,20191024,,27.83,"경기도 군포시 당산로 73, 1층 (당동)",경기도 군포시 당동 836-12 1층,15838,37.3582185549,126.945680934,빨래방업,195117.782977441,428465.171568412,빨래방업,0,0,1,1,0,0,,,,자가,4,0,0,0,,N
20030620,대명컴퓨터세탁,영업/정상,영업,,,36.96,경기도 안산시 상록구 본원로 82-1 (본오동),경기도 안산시 상록구 본오동 855-6,15561,37.2916207322,126.8676243109,일반세탁업,188192.2,421081.54,일반세탁업,,,,,,,,,,,,,,,,N
19950619,대명크리닉,폐업,폐업,20090805,031-414-1889,.00,경기도 안산시 단원구 와동공원로4길 29,경기도 안산시 단원구 와동 754-5,15253,37.3390526389,126.8222736232,일반세탁업,184179.617861779,426351.476848524,일반세탁업,,,,,,,,,,,,,,,,N
20110303,대박세탁,폐업,폐업,20120702,031-949-7333,33.00,경기도 파주시 번영로 55,경기도 파주시 금촌동 972 새꽃마을뜨란채 주상가동 109호,10914,37.7575923435,126.768205046,일반세탁업,179377.05694409,472652.652551911,일반세탁업,0,0,,,,,,,,,2,,,1,,N
20030527,대박세탁소,폐업,폐업,20120109,031-484-4785,31.15,경기도 안산시 단원구 신촌4길 7,경기도 안산시 단원구 초지동 704-9 (1층),15440,37.3147260334,126.8162738038,일반세탁업,183643.37,423650.53,일반세탁업,,,,,,,,,,,,,,,,N
20190716,대방세탁,폐업,폐업,20250203,,53.49,"경기도 화성시 동탄구 동탄대로 636-14, B동 209호 (영천동, 동탄역 대방디엠시티 더 센텀)",경기도 화성시 동탄구 영천동  산 24-1 동탄역 대방디엠시티 더 센텀,18467,37.2102625302,127.0994620597,일반세탁업,208773.208500488,412073.497774566,일반세탁업,0,0,1,1,,,,,,,1,0,0,1,,N
20041008,대방세탁,영업/정상,영업,,031-821-1233,31.50,"경기도 양주시 고암길 172-14, 101호 (고암동, 행복한마을)",경기도 양주시 고암동 584 행복한마을,11453,37.8322952285,127.0753837275,일반세탁업,206609.892884511,481137.86870277,일반세탁업,2,0,2,2,0,0,,,,자가,0,,,0,,N
20050604,대방세탁,영업/정상,영업,,,28.05,"경기도 파주시 평화로 280 (야동동,대방상가아파트상가동 104호)",경기도 파주시 야동동 590 대방상가아파트상가동 104호,10849,37.7736493802,126.7503219357,일반세탁업,178004.980804116,474544.644626096,일반세탁업,2,0,,1,,,,,,임대,0,,,,,N
20061113,대방세탁소,영업/정상,영업,,031-947-6389,30.66,"경기도 파주시 마음밭길 114 (금촌동, 대방노블랜드아파트 상가동 109호)",경기도 파주시 금촌동 1015 대방노블랜드아파트 상가동 109호,10852,37.7698702227,126.7699915721,일반세탁업,179736.569922362,474227.401005803,일반세탁업,3,0,2,2,0,0,,,,임대,0,,,1,,N
20030401,대방세탁소,영업/정상,영업,,031-0542-3999,30.36,경기도 포천시 소흘읍 호국로429번길 21,경기도 포천시 소흘읍 이동교리 256,11184,37.8111304367,127.1338650101,일반세탁업,211619.552102298,478774.521165385,일반세탁업,2,1,0,2,0,0,,,,,0,,,0,,N
20051130,대방세탁소,영업/정상,영업,,,33.00,"경기도 포천시 소흘읍 태봉로 235, 상가동 2층",경기도 포천시 소흘읍 송우리 725-7,11173,37.8330955803,127.1487116474,일반세탁업,213091.778482688,481289.558077896,일반세탁업,2,,2,2,,,,,,,,,,,,N
20250121,대방세탁소,영업/정상,영업,,,46.80,"경기도 화성시 동탄구 동탄대로 636-3, 동탄역 메가비즈타워 C동 1층 103호 (영천동)",경기도 화성시 동탄구 영천동  873-4,18467,37.2107702011,127.1003159028,일반세탁업,,,일반세탁업,0,0,,,,,,,,,1,0,0,1,,N
19900629,대복세탁소,폐업,폐업,20101105,031-238-5717,11.20,경기도 수원시 팔달구 세지로244번길 15-2,경기도 수원시 팔달구 인계동 255-27,16472,37.2725077274,127.0248585584,일반세탁업,202134.540337188,418951.659020681,일반세탁업,0,0,0,,0,,,,,,,,,,,N
19910512,대부세탁소,영업/정상,영업,,032-882-9237,35.10,"경기도 안산시 단원구 대부중앙로 106, 1층 (대부북동, 일부)",경기도 안산시 단원구 대부북동 492-3 1층 일부,15645,37.2424534113,126.5852797307,일반세탁업,163128.969120085,415684.5754674,일반세탁업,0,0,0,0,0,0,,,,,0,,,0,,N
19920316,대산세탁전문점,폐업,폐업,20150922,,59.81,경기도 평택시 복창로 46-1 (신장동),경기도 평택시 신장동 263-135,17767,37.0726339921,127.0514875217,일반세탁업,204511.243271212,396765.565634806,일반세탁업,0,0,0,,0,,,,,,,,,,,N
19910603,대성,폐업,폐업,20081210,031-919-1352,592.49,경기도 고양시 일산서구 탄중로471번길 37,경기도 고양시 일산서구 일산동 592-49 번지,10341,37.6862584783,126.7734090881,일반세탁업,179953.799921785,464911.355493177,일반세탁업,,,,,,,,,,,,,,,,N
19870822,대성,폐업,폐업,20000327,,.00,경기도 안양시 만안구 덕천로 90,경기도 안양시 만안구 안양동 195-14,14086,37.3891558831,126.9347100976,일반세탁업,,,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20151106,대성,폐업,폐업,20250113,,198.00,"경기도 고양시 덕양구 고골길116번길 14-45, 1층 (관산동, 가동)",경기도 고양시 덕양구 관산동 561-2 가동 1층 전체,10265,37.7115219401,126.8637778939,세탁업 기타,187921.863664537,467694.777139474,세탁업 기타,0,0,0,0,0,0,,,,,2,0,0,0,,N
19970821,대성 세탁소,폐업,폐업,19991120,,37.60,,경기도 용인시 수지구 죽전동 832,16865,37.3368998119,127.1048978868,일반세탁업,209292.371417757,426050.858813126,일반세탁업,,,,,,,,,,,,,,,,N
20090723,대성기업,폐업,폐업,20160617,,434.00,경기도 파주시 조리읍 능안로 133-42,경기도 파주시 조리읍 능안리 53-14,10935,37.7396972299,126.7941335899,세탁업 기타,181789.75879422,470806.030387944,세탁업 기타,1,0,1,0,0,0,,,,임대,3,,,0,,N
20140410,대성기업,영업/정상,영업,,,190.20,"경기도 화성시 효행구 정남면 발산5길 34-18, 1동",경기도 화성시 효행구 정남면 발산리 594-3 1동,18517,37.1559298786,126.9840101337,세탁업 기타,198518.059148435,406002.731700428,세탁업 기타,0,0,,,,,,,,,2,,,2,,N
20041208,대성깔끔이 세탁소,영업/정상,영업,,031-354-8235,45.00,,경기도 화성시 만세구 향남읍 발안리 8-1,18595,37.1302344504,126.8972985917,일반세탁업,190802.128,403165.683666667,일반세탁업,,,,,,,,,,,,,,,,N
19870721,대성사,폐업,폐업,20071217,031-484-9419,.00,,경기도 안산시 단원구 원곡동 846-2 군자종합상가 159호,15382,,,일반세탁업,,,일반세탁업,,,,,,,,,,,,,,,,N
19970129,대성사,폐업,폐업,20240103,031-387-4744,.00,"경기도 안양시 동안구 관평로313번길 19 (관양동,1층)",경기도 안양시 동안구 관양동 1400 1층,13936,37.40424663,126.9562342052,일반세탁업,196053.136123796,433572.305872647,일반세탁업,0,0,0,,0,,,,,,,,,,,N
19990716,대성사,영업/정상,영업,,031-853-5073,175.03,"경기도 의정부시 승지로4번길 15-7 (민락동,지상1층)",경기도 의정부시 민락동 745-5 지상1층,11810,37.7380584752,127.0894966098,빨래방업,207817.179066338,470627.029961915,빨래방업,0,0,1,1,0,0,,,,,3,1,1,0,,N
19870716,대성사,영업/정상,영업,,031-682-4724,89.61,경기도 평택시 안중읍 안중로114번길 19,경기도 평택시 안중읍 안중리 266-13,17936,36.9871106096,126.9286870046,일반세탁업,193579.155645975,387279.360052675,일반세탁업,1,,1,1,,,,,,임대,3,,,,,N
20010308,대성사,폐업,폐업,20061129,032-349-6430,.00,경기도 부천시 소사구 소사로125번나길 29,경기도 부천시 소사구 소사본동 234-22,14760,37.4709564962,126.7942484725,일반세탁업,181727.797598178,440995.145669476,일반세탁업,0,0,0,,0,,,,,,,,,,,N
19910511,대성사,폐업,폐업,20050126,,14.26,경기도 부천시 원미구 원미로156번길 10,경기도 부천시 원미구 원미동 144-74,14563,37.4962913903,126.792392399,일반세탁업,181570.862564315,443807.448712247,일반세탁업,,,,,,,,,,,,,,,,N
19880421,대성사,폐업,폐업,20030617,031-542-1695,.00,,경기도 포천시 소흘읍 송우리 114-1,11174,,,일반세탁업,,,일반세탁업,,,,,,,,,,,,,,,,N
20051020,대성사,폐업,폐업,20070404,,22.50,경기도 고양시 덕양구 중앙로 550,경기도 고양시 덕양구 행신동 950 -1 삼일프라쟈 지하8호,10495,37.6234997889,126.8362215426,일반세탁업,,,일반세탁업,18,,,,1,1,,,,임대,,,,,,N
20040217,대성사,폐업,폐업,20190708,02-2686-3064,24.50,"경기도 광명시 사성로 50 (철산동,1층)",경기도 광명시 철산동 73-3 1층,14214,,,일반세탁업,187784.016187979,442699.607436835,일반세탁업,,,,,,,,,,,,,,,,N
19920414,대성사,폐업,폐업,20030722,031-745-2604,.00,,경기도 성남시 중원구 중앙동 909,13250,37.4404568691,127.1495479375,일반세탁업,213164.530843822,437600.603177635,일반세탁업,,,,,,,,,,,,,,,,N
19870429,대성사,폐업,폐업,20081205,032-613-9274,18.50,경기도 부천시 소사구 경인로160번길 88,경기도 부천시 소사구 송내동 615-3,14734,37.4799567735,126.7727422483,일반세탁업,179829.37494991,441996.968583731,일반세탁업,0,0,0,,0,,,,,,,,,,,N
19930511,대성사,영업/정상,영업,,031-722-5569,18.66,경기도 성남시 수정구 남문로43번길 16,경기도 성남시 수정구 태평동 4116,13299,37.44660153,127.1312624133,일반세탁업,211545.041671858,438279.711212605,일반세탁업,0,0,0,0,0,0,,,,,0,,,0,,N
20000419,대성사,폐업,폐업,20180118,031-451-3212,.00,"경기도 안양시 동안구 흥안대로109번길 117 (호계동, 강남4차아파트상가동 1,2호)",경기도 안양시 동안구 호계동 951-4 강남4차상가1.2호,14116,,,일반세탁업,,,일반세탁업,0,0,0,0,0,0,,,,,2,,,0,,N
19870508,대성사,폐업,폐업,20070115,,.00,,경기도 안양시 만안구 석수동 342-3,13905,37.4132487449,126.9059042823,일반세탁업,,,일반세탁업,0,0,0,,0,,,,,,,,,,,N
19910703,대성사,폐업,폐업,20020618,,.00,경기도 안양시 동안구 경수대로519번길 26,경기도 안양시 동안구 호계동 967-50,14120,37.3689045947,126.9564103302,일반세탁업,196069.391250386,429648.817979356,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20191025,대성사,영업/정상,영업,,,24.50,"경기도 광명시 영당로22번길 23, 대도빌딩 107호 (소하동)",경기도 광명시 소하동 896-9 대도빌딩 107호,14333,37.4369965679,126.8765652441,일반세탁업,189006.033447493,437214.773289834,일반세탁업,0,0,,,,,,,,,3,0,0,1,,N
19961122,대성사세탁소,폐업,폐업,20041103,,.00,,"경기도 안양시 동안구 관양동 1588 ,1588-13 공작(아)상가 2층201호",,,,일반세탁업,196280.813785816,432889.405432625,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20190621,대성산업,폐업,폐업,20210603,031-319-7986,143.00,"경기도 시흥시 봉우순환로 77, 1층 (정왕동)",경기도 시흥시 정왕동 2234-7 우리종합철강,15047,37.3584131797,126.7504068704,빨래방업,177818.527732831,428516.601778414,빨래방업,0,0,0,0,0,0,,,,,2,0,0,2,,N
20000518,대성세탁,폐업,폐업,20070504,,.00,,경기도 성남시 수정구 신흥동 1553,,,,일반세탁업,212912.64024397,438415.438603373,일반세탁업,,,,,,,,,,,,,,,,N
20021108,대성세탁,영업/정상,영업,,031-432-9281,16.20,경기도 시흥시 중심상가로 13 (정왕동),경기도 시흥시 정왕동 1863 대림(아)상가 108호,15041,37.3542723533,126.7205712374,일반세탁업,175222.971714643,428132.036246143,일반세탁업,0,0,0,0,0,0,,,,,0,,,0,,N
20030721,대성세탁,폐업,폐업,20150428,031-745-2604,36.60,"경기도 성남시 중원구 광명로 205-3, 1층 (중앙동)",경기도 성남시 중원구 중앙동 908 (1층),13250,37.4405506508,127.1495308176,일반세탁업,213163.052839228,437611.057236557,일반세탁업,3,0,1,1,0,0,,,,,1,,,1,,N
20030324,대성세탁,폐업,폐업,20100427,,.00,경기도 부천시 오정구 삼작로333번길 29,경기도 부천시 오정구 여월동 1-39,14460,37.5210720702,126.7988803998,일반세탁업,182151.500042364,446557.342579224,일반세탁업,,,,,,,,,,,,,,,,N
20000219,대성세탁,영업/정상,영업,,031-501-8995,35.00,"경기도 안산시 상록구 본원로 63, 1층 (본오동)",경기도 안산시 상록구 본오동 864-11 1층,15551,37.2920146834,126.8654435713,일반세탁업,187998.808116139,421123.853699078,일반세탁업,0,0,0,0,0,0,,,,,3,,,1,,N
20030412,대성세탁,영업/정상,영업,,,,경기도 남양주시 화도읍 경춘로2177번길 28-1,경기도 남양주시 화도읍 월산리 406-4,12189,37.6561966752,127.3301129746,빨래방업,229052.004849497,461592.592054897,빨래방업,,,,,,,,,,,,,,,,N
20090326,대성세탁,폐업,폐업,20191118,031-417-3355,33.58,"경기도 안산시 상록구 이화2길 18, 1층 (사동)",경기도 안산시 상록구 사동 1266-9 1층,15583,37.2986261218,126.8578847918,일반세탁업,187329.449034695,421860.587753886,일반세탁업,3,0,1,1,0,0,,,,,2,,,1,,N
20131231,대성세탁,폐업,폐업,20250811,02-481-1212,39.60,"경기도 용인시 수지구 용구대로2771번길 68, 상가동 1층 102호, 103호 (죽전동, 벽산타운1단지)",경기도 용인시 수지구 죽전동 832 벽산타운1단지,16865,37.3365202182,127.1045950762,일반세탁업,209292.371417757,426050.858813126,일반세탁업,0,0,0,0,1,1,,,,,1,,,1,,N
20071105,대성세탁,폐업,폐업,20181024,031-471-1814,44.64,"경기도 안양시 동안구 관평로212번길 21, 201호 (관양동, 공작아파트상가)",경기도 안양시 동안구 관양동 1588 1필지 공작상가 201호,14051,37.3968903823,126.9599365577,일반세탁업,196280.813785816,432889.405432625,일반세탁업,0,0,0,0,0,0,,,,,2,,,1,,N
19870512,대성세탁,폐업,폐업,20010226,,.00,경기도 부천시 소사구 소사로125번나길 29,경기도 부천시 소사구 소사본동 234-22,14760,37.4709564962,126.7942484725,일반세탁업,181727.797598178,440995.145669476,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20030604,대성세탁나라,폐업,폐업,20061120,031-494-8389,28.60,경기도 안산시 단원구 부부로2길 9-16,경기도 안산시 단원구 원곡동 743 (1층),15376,37.3329736208,126.7923807218,일반세탁업,181529.461992324,425682.97458159,일반세탁업,,,,,,,,,,,,,,,,N
19880914,대성세탁소,폐업,폐업,20031129,,.00,,경기도 하남시 덕풍동 515-21,,,,일반세탁업,,,일반세탁업,,,,,,,,,,,,,,,,N
