사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값,문화체육업종명,공사립구분명,보험가입여부코드,회원모집총인원
프렌드짐,20140610,,13,영업중,,031-432-9688,250,15066,"경기도 시흥시 중심상가2길 20-5, 5층 (정왕동)",경기도 시흥시 정왕동 1738-6,429861,37.3446738855,126.7373343117,,176656.5036631830,426991.7838206390,체력단련장업,사립,,
펄스짐,20140829,,13,영업중,,,402.22,14963,"경기도 시흥시 월곶해안로 165, 광명빌딩 4층 401호 (월곶동)",경기도 시흥시 월곶동 1014-7 광명빌딩,14963,37.3884680444,126.7382351635,,176748.0792379020,431854.6631952530,체력단련장업,사립,,
레드휘트니스,20141024,,13,영업중,,,244,14910,"경기도 시흥시 호현로22번길 27, 2층 (신천동)",경기도 시흥시 신천동 709-10 2층,429828,37.4406190777,126.7871065669,,181089.1836142310,437631.2924755630,체력단련장업,사립,,
바디 트랜스짐 장곡점,20150408,,13,영업중,,,293.85,15002,"경기도 시흥시 진말로 7, 중앙프라자 5층 505~507호 (장곡동)",경기도 시흥시 장곡동 819-2 중앙프라자,15002,37.3780534691,126.7852708047,,180899.5650055420,430686.2149502380,체력단련장업,사립,,
설레임휘트니스,20150828,,13,영업중,,031-431-5006,785.4,15040,"경기도 시흥시 정왕대로 64, 4층 401호 (정왕동, 메가쇼핑몰)",경기도 시흥시 정왕동 1861-2 메가쇼핑몰 401호,15040,37.3542557561,126.7235297297,,175417.6567193790,428065.9363357030,체력단련장업,사립,,
바디원오원,20160421,,13,영업중,,,195,15011,"경기도 시흥시 배곧3로 80, 센터프라자 603호 (배곧동)",경기도 시흥시 배곧동 194-1 센터프라자,15011,37.3705347264,126.7290879019,,175930.2890050030,429864.6127945220,체력단련장업,사립,,
DN 휘트니스,20160516,,13,영업중,,,458,14910,"경기도 시흥시 수인로 3378, 5~6층 전체호 (신천동, 반석프라자)",경기도 시흥시 신천동 712-3,14910,37.4413651639,126.7837872929,,180795.2562591240,437713.8186734920,체력단련장업,사립,,
바디트랜스짐 은행점 헬스PT,20160704,,13,영업중,,,409.29,14916,"경기도 시흥시 은행로 130, 정철어학원 4층 401,403호 (은행동)",경기도 시흥시 은행동 539-4 정철어학원,14916,37.4427062854,126.8000192604,,182244.3191372510,437834.9225082490,체력단련장업,사립,,
휘트니스GQ,20161117,,13,영업중,,031-431-3389,546,15040,"경기도 시흥시 옥구상가2길 4, 4층 402~405호 (정왕동, 로얄타운)",경기도 시흥시 정왕동 1861-4 로얄타운,15040,37.3539162976,126.7239961677,,175472.9157814360,428022.9289844830,체력단련장업,사립,,
골든헬스클럽,19970318,,13,영업중,,034-584-1022,204.64,14984,"경기도 시흥시 동서로 1086, 목감열린치과 지하층 101호 (목감동)",경기도 시흥시 목감동 240-5 목감열린치과,14984,37.3857658481,126.8602375375,,187551.9903404570,431530.3431096660,체력단련장업,사립,,
짐리치 대야역점,20010310,,13,영업중,,031-503-7770,600.7,14908,"경기도 시흥시 복지로 96, A&C빌딩 7층 (대야동)",경기도 시흥시 대야동 568-2 A&C빌딩,14908,37.4472633410,126.7918143639,,181510.0017214310,438365.4790979050,체력단련장업,사립,,
오성헬스,20010904,,13,영업중,,031-431-5033,272,15062,"경기도 시흥시 중심상가로 312, 이림프라자 5층 (정왕동)",경기도 시흥시 정왕동 1782-1 이림프라자,15062,37.3375063282,126.7469232568,,177501.7085727640,426194.1594767460,체력단련장업,사립,,
재정헬스,20020705,,13,영업중,,031-494-3445,264.4,15068,"경기도 시흥시 군자로 475, 재정빌딩 3층 (거모동)",경기도 시흥시 거모동 1724-9 재정빌딩,15068,37.3474771650,126.7834720411,,180749.4684541660,427288.8365899160,체력단련장업,사립,,
피트니스 갤러리,20020607,,13,영업중,,,239.42,15040,"경기도 시흥시 정왕대로 56, 세종월드 빌딩 5층 503호 (정왕동)",경기도 시흥시 정왕동 1861-1 세종월드 빌딩,15040,37.3545138727,126.7230302519,,175389.3949341010,428088.1941360140,체력단련장업,사립,,
주식회사 거북섬휘트니스앤골프,20251230,,13,영업중,,,,15119,"경기도 시흥시 거북섬2길 25, 퍼스트에비뉴2차 406호 (정왕동)",경기도 시흥시 정왕동 2703 퍼스트에비뉴2차,15119,37.3273135449,126.6768182482,,171280.4608113420,425101.5743857900,체력단련장업,사립,,
언바운드짐 헬스 PT 목감 3호점,20211208,,13,영업중,,031-410-9679,277.9,14985,"경기도 시흥시 남왕길 30, 프라미스 콤플렉스 4층 (목감동)",경기도 시흥시 목감동 402-1 프라미스 콤플렉스,14985,37.3826236944,126.8609080854,,187611.0565734020,431180.8350474160,체력단련장업,사립,,
이루어짐,20211213,,13,영업중,,,238.93,15120,"경기도 시흥시 은계중앙로 358, 501,502호 (대야동)",경기도 시흥시 대야동 653-5,15120,37.4517597522,126.7961134740,,181889.8219307720,438863.7994096390,체력단련장업,사립,,
나인원 피트니스,20220105,,13,영업중,,,387.24,14907,"경기도 시흥시 복지로 126, 2층 201~203호 (대야동)",경기도 시흥시 대야동 290-5,14907,37.4500163856,126.7924667538,,181582.0843419810,438686.4367039690,체력단련장업,사립,,
매드볼릭 휘트니스,20220207,,13,영업중,,,375.93,15011,"경기도 시흥시 서울대학로278번길 19-8, 새롬프라자 3층 301~302호 (배곧동)",경기도 시흥시 배곧동 193-2 새롬프라자,15011,37.3698358612,126.7283496731,,175866.6491494710,429786.1300355010,체력단련장업,사립,,
데이원 PT,20220216,,13,영업중,,,125.4,14985,"경기도 시흥시 솔고개길 4-3, M 테라스 7층 702~703호 (목감동)",경기도 시흥시 목감동 407 M 테라스,14985,37.3826180368,126.8615293938,,187662.8832482690,431192.7041707370,체력단련장업,사립,,
머슬원핏,20220314,,13,영업중,,,133.7,15020,"경기도 시흥시 정왕신길로49번길 61, 신도빌딩 4층 (정왕동)",경기도 시흥시 정왕동 1882-8 신도빌딩,15020,37.3627455692,126.7302629746,,176033.1300671050,429001.5413482700,체력단련장업,사립,,
수아름 필라테스 정왕점,20220405,,13,영업중,,031-319-5098,189,15020,"경기도 시흥시 함송로 21, 굿모닝프라자 4층 401호 (정왕동)",경기도 시흥시 정왕동 1881-9 굿모닝프라자,15020,37.3637669836,126.7307042501,,176076.9680560650,429112.6306358930,체력단련장업,사립,,
에이엠지 헬스,20220405,,13,영업중,,,774.87,14996,"경기도 시흥시 진말1로 18, 6층 602~610호 (장곡동)",경기도 시흥시 장곡동 260-21,14996,37.3778277752,126.7897005390,,181268.8752210920,430651.7765517470,체력단련장업,사립,,
나는필라테스 장곡역점,20220422,,13,영업중,,031-492-8136,267.54,14996,"경기도 시흥시 황고개로 528, 8층 801~803호 (장곡동)",경기도 시흥시 장곡동 260-21,14996,37.3779241378,126.7892365395,,181268.8752210920,430651.7765517470,체력단련장업,사립,,
라인에 미치다,20220503,,13,영업중,,031-8042-4454,316,15066,"경기도 시흥시 중심상가4길 26, 삼우빌딩 2층 201호 (정왕동)",경기도 시흥시 정왕동 1744-3 삼우빌딩,15066,37.3432206647,126.7370216093,,176626.2050672750,426831.5406586810,체력단련장업,사립,,
배곧 품 태권도장,20161223,,13,영업중,,031-431-0110,631.73,15010,"경기도 시흥시 배곧4로 32-17, 배곧 로자벨 5층 504~507호 (배곧동)",경기도 시흥시 배곧동 127 배곧 로자벨,15010,37.3771523958,126.7265805077,,175710.1446997740,430595.3264203980,체력단련장업,사립,,
Muscle Attack,20170210,,13,영업중,,,201.45,14988,"경기도 시흥시 목감남서로 9-27, 5층 505~506호 (조남동)",경기도 시흥시 조남동 657,14988,37.3779410886,126.8534479825,,186947.5589834750,430662.2312008190,체력단련장업,사립,,
퓨어필라테스,20170213,,13,영업중,,,137.8,15010,"경기도 시흥시 배곧3로 86, 센터프라자2 6층 603호 (배곧동)",경기도 시흥시 배곧동 194-2 센터프라자2,15011,37.3702222869,126.7295541408,,175971.2337473930,429834.3118012040,체력단련장업,사립,,
부부짐 휘트니스,20170329,,13,영업중,,,267.5,15036,"경기도 시흥시 정왕대로 174, 광개토빌딩1 2층 201호 (정왕동)",경기도 시흥시 정왕동 1726-1 광개토빌딩1,15036,37.3481553901,126.7334942325,,176313.2851564840,427368.5408059430,체력단련장업,사립,,
헬스보이짐앤필라걸 배곧점,20170427,,13,영업중,,031-431-2722,1252,15011,"경기도 시흥시 배곧3로 96, M-플러스 609호 (배곧동)",경기도 시흥시 배곧동 199-1 M-플러스,15011,37.3697764139,126.7302927867,,176020.2675773410,429797.3948219870,체력단련장업,사립,,
엠투짐,20171018,,13,영업중,,031-496-9683,230.72,15010,"경기도 시흥시 배곧4로 81-52, 현대프라자 4층 402호 (배곧동)",경기도 시흥시 배곧동 69 현대프라자,15010,37.3749545391,126.7337298482,,176345.6598724830,430354.1488838700,체력단련장업,사립,,
클린바디짐,20181114,,13,영업중,,,205.73,14998,"경기도 시흥시 새재로 13, 새오름빌딩 2층 (장현동)",경기도 시흥시 장현동 543-3 새오름빌딩,14998,37.3808569315,126.8019048202,,182386.5115488420,430993.1662048100,체력단련장업,사립,,
주)아세코,20181226,,13,영업중,,031-488-8000,84.5,15003,"경기도 시흥시 마전로 307, 시흥아세코밸리골프장 (거모동)",경기도 시흥시 거모동 121-1 시흥아세코밸리골프장,15003,37.3678102711,126.7713755012,,,,체력단련장업,사립,,
짐리치 은계호수점,20190123,,13,영업중,,,686.28,14923,"경기도 시흥시 은계로 260, 우평 라비엔빌딩 6층 604~609호 (은행동)",경기도 시흥시 은행동 611 우평 라비엔빌딩,14923,37.4448429301,126.8031421323,,182509.8411435390,438098.2217887950,체력단련장업,사립,,
무브 365 기능 운동 아카데미,20190724,,13,영업중,,,124,14923,"경기도 시흥시 은계번영길 11, 7층 704호 (은행동)",경기도 시흥시 은행동 34,14922,37.4374281699,126.8021935463,,182424.4430297330,437272.2733548340,체력단련장업,사립,,
피트니스온 은계점,20191014,,13,영업중,,031-404-4004,874.9,14923,"경기도 시흥시 은계번영길 13, 아리테타워 6층 (은행동)",경기도 시흥시 은행동 646-6 아리테타워,14922,37.4373401072,126.8025447826,,182455.7240425050,437264.7933295200,체력단련장업,사립,,
삼성 JOY 헬스,20030329,,13,영업중,,031-313-7005,231.4,14940,"경기도 시흥시 매화2로 35, 영재사관학원 2층 (매화동)",경기도 시흥시 매화동 224-4 영재사관학원,14940,37.4169649669,126.8110172404,,183202.5225508330,434995.6164177030,체력단련장업,사립,,
(주)화인골프클럽,20030620,,13,영업중,,031-434-4567,,15081,경기도 시흥시 산기대학로 105 (정왕동),경기도 시흥시 정왕동 2166-1,429921,37.3479730957,126.7221379802,,175261.1670793690,427301.2383540670,체력단련장업,사립,,
서해그린스포렉스,20041213,,13,영업중,,031-431-7555,405.9,15040,"경기도 시흥시 옥구상가1길 37, 2층 (정왕동)",경기도 시흥시 정왕동 1852-1,15040,37.3518777067,126.7210250527,,175185.2610583970,427812.8962400810,체력단련장업,사립,,
프렌드짐 더프리미엄,20220525,,13,영업중,,,,15040,"경기도 시흥시 옥구상가2길 3, 뉴스타프라자 지하층 101~104호 (정왕동)",경기도 시흥시 정왕동 1861-6 뉴스타프라자,15040,37.3536757588,126.7244277101,,175513.9550762150,427990.9846224040,체력단련장업,사립,,
머슬비치짐 휘트니스,20220727,,13,영업중,,,427.44,14999,"경기도 시흥시 능곡번영길 26, 801,802,803호 (능곡동)",경기도 시흥시 능곡동 214,14999,37.3700984271,126.8071544659,,182849.1408496860,429811.2977179930,체력단련장업,사립,,
남스짐 은행점,20220727,,13,영업중,,,353.01,14917,"경기도 시흥시 대은로 80, 하이런빌딩 501호 (은행동)",경기도 시흥시 은행동 536-3 하이런빌딩,14917,37.4442501877,126.7974160629,,182000.9710716200,438031.0627651330,체력단련장업,사립,,
줄리엣짐,20191120,,13,영업중,,031-495-6497,179.89,15068,"경기도 시흥시 군자로 523, 거모탑클래스학원 4층 (거모동)",경기도 시흥시 거모동 1761-14 거모탑클래스학원,15068,37.3434876638,126.7855533918,,180929.0885710470,426849.6522085620,체력단련장업,사립,,
두두 스튜디오:PT,20200611,,13,영업중,,,49.51,15011,"경기도 시흥시 서울대학로278번길 19-13, 107동 a-250호 (배곧동, 시흥배곧 C1 호반 써밋플레이스)",경기도 시흥시 배곧동 191 시흥배곧 C1 호반 써밋플레이스,15011,37.3703857466,126.7269775004,,175778.5000484560,429887.8478261160,체력단련장업,사립,,
언바운드짐 헬스 PT 목감 2호점,20200701,,13,영업중,,,334.83,14986,"경기도 시흥시 목감둘레로 253-35, 701~704호 (조남동)",경기도 시흥시 조남동 710-1,14986,37.3809857171,126.8613738022,,187652.7947844830,430998.9281751870,체력단련장업,사립,,
오아시스24,20201014,,13,영업중,,031-498-9683,327.36,15020,"경기도 시흥시 함송로13번길 16-8, 고려빌딩 (정왕동)",경기도 시흥시 정왕동 1881-1 고려빌딩,15020,37.3643510855,126.7318162760,,176169.7876988360,429177.0444942800,체력단련장업,사립,,
로프짐,20201103,,13,영업중,,031-362-6161,408.48,14923,"경기도 시흥시 은계로 353, 에이스프라자 5층 (대야동)",경기도 시흥시 대야동 645,14907,37.4503080231,126.7945103518,,181748.6589126980,438705.2715276490,체력단련장업,사립,Y,
매화휘트니스,20050221,,13,영업중,,031-313-1552,143.96,14940,경기도 시흥시 매화2로 17-1 (매화동),경기도 시흥시 매화동 221-66 3층,14940,37.4165695704,126.8127724727,,183358.8770324240,434954.3956721030,체력단련장업,사립,,
바디트랜스짐 정왕점 헬스 PT,20050415,,13,영업중,,,300,15036,"경기도 시흥시 정왕대로 184, 4층 401,409~411호 (정왕동, 한성타운)",경기도 시흥시 정왕동 1726-4 한성타운,15036,37.3474673039,126.7344157414,,176399.9200609540,427300.9591842840,체력단련장업,사립,,
FIT D GYM(핏디짐),20050915,,13,영업중,,,492.69,14948,"경기도 시흥시 삼미시장2길 24, 3층 (신천동)",경기도 시흥시 신천동 742-2,14948,37.4406010068,126.7826302328,,180687.3794545360,437630.3110405440,체력단련장업,사립,,
목감골프존앤헬스,20060829,,13,영업중,,031-403-1741,340.61,14984,"경기도 시흥시 목감초등길 14-22, 가야상가 지하층 (조남동)",경기도 시흥시 조남동 171-18 가야상가,14984,37.3852378798,126.8592818605,,187468.4613782830,431470.6703422240,체력단련장업,사립,,
파워짐스포츠과학,20080522,,13,영업중,,,230,15020,"경기도 시흥시 함송로14번길 5-4, 쌍용프라자 3층 301호 (정왕동)",경기도 시흥시 정왕동 1883-1 쌍용프라자,15020,37.3634869613,126.7292277666,,175941.9249055260,429080.7247944570,체력단련장업,사립,,
크로스핏 배곧,20210826,,13,영업중,,,263.32,15010,"경기도 시흥시 서울대학로278번길 19-13, 1층 145~146호 (배곧동, 시흥배곧 C1 호반 써밋플레이스)",경기도 시흥시 배곧동 191 시흥배곧 C1 호반 써밋플레이스,15011,37.3709989287,126.7270163836,,175778.5000484560,429887.8478261160,체력단련장업,사립,,
MOVE&FIT,20210826,,13,영업중,,,263.32,14912,"경기도 시흥시 비둘기공원5길 16, 대야 프라자 3층 306호 (대야동)",경기도 시흥시 대야동 530-2 대야 프라자,14912,37.4428182006,126.7900701283,,181353.3450237220,437872.1180357210,체력단련장업,사립,,
에이스무브 PT&필라테스,20230719,,13,영업중,,,238.07,15002,"경기도 시흥시 진말로9번길 2, 부석프라자 401호 (장곡동)",경기도 시흥시 장곡동 820-3 부석프라자,15002,37.3784680740,126.7852668701,,180903.0895898950,430743.5609299670,체력단련장업,사립,,
헬스 PT 런앤짐 월곶점,20230804,,13,영업중,,,390.8,14963,"경기도 시흥시 월곶해안로 169, 2층 201호 (월곶동)",경기도 시흥시 월곶동 1014-6,14963,37.3883617795,126.7385299458,,176773.1150000000,431842.1150000000,체력단련장업,사립,,
지와이 피티,20230821,,13,영업중,,,169.34,14988,"경기도 시흥시 목감남서로 9-7, 더 드림 504호 (조남동)",경기도 시흥시 조남동 659 더 드림,14988,37.3775973944,126.8515872770,,186784.4576511830,430625.6923336270,체력단련장업,사립,,
단단해짐,20230830,,13,영업중,,,417.92,14912,"경기도 시흥시 비둘기공원6길 8, 이산프라자 6층 (대야동)",경기도 시흥시 대야동 534-3 이산프라자,14912,37.4432858715,126.7913996659,,181468.4584466940,437924.4088455170,체력단련장업,사립,,
로얄헬스다이어트타운,19980918,,35,직권말소,20180913,,,,"경기도 시흥시 옥구상가2길 4 (정왕동,로얄타운 5층)",경기도 시흥시 정왕동 1861-4 로얄타운 5층,429864,37.3539162976,126.7239961677,,175472.9157814360,428022.9289844830,체력단련장업,사립,,
JJ스포렛츠(헬스),19991223,,35,직권말소,20180919,,,,"경기도 시흥시 중심상가로 43 (정왕동,골드프라지 2층)",경기도 시흥시 정왕동 1859-17 골드프라지 2층,429864,37.3525867833,126.7233098088,,175418.5326759630,427874.1043268420,체력단련장업,사립,,
B&B 휘트니스,20110818,,35,직권말소,20180112,,807.44,,"경기도 시흥시 승지로60번길 20 (능곡동,영프라자 5, 6층)","경기도 시흥시 능곡동 748 영프라자 5, 6층",429240,37.3686934767,126.8119897207,,183276.9983334050,429642.2549591710,체력단련장업,사립,,
위너트레이닝센타(헬스),19980214,,35,직권말소,20180207,,,,경기도 시흥시 삼미시장2길 29 (신천동),경기도 시흥시 신천동 738-3,429830,37.4406230103,126.7832856727,,180752.5591944900,437631.9161641210,체력단련장업,사립,,
세종헬스크럽,19981223,,35,직권말소,20180308,,,,"경기도 시흥시 함송로 24 (정왕동,세종프라자 3층)",경기도 시흥시 정왕동 1882-4 세종프라자 3층,429866,37.3632151301,126.7303936899,,176034.1460091850,429060.8606738410,체력단련장업,사립,,
윈스포츠센타,19991202,,35,직권말소,20100512,,,,,경기도 시흥시 대야동 545 트윈프라자,429874,,,,,,체력단련장업,사립,,
대한헬스,19920129,,35,직권말소,20180321,,,,경기도 시흥시 동서로 1080 (목감동),경기도 시흥시 목감동 242-1,429820,37.3852520301,126.8602306072,,187550.5964181470,431472.3547530880,체력단련장업,사립,,
인다헬스클럽,19940914,,35,직권말소,20180831,,,,경기도 시흥시 매화1로 12 (매화동),경기도 시흥시 매화동 249-1,429817,37.4156376517,126.8137189354,,183437.8765860680,434854.5353041810,체력단련장업,사립,,
시화헬스클럽,19960918,,35,직권말소,20180913,,132,,경기도 시흥시 봉우재로 14 (정왕동),경기도 시흥시 정왕동 1593-4,429856,37.3444242497,126.7433769014,,177189.7850549550,426961.9686559030,체력단련장업,사립,,
태광헬스크럽,19971209,,35,직권말소,20181017,,,,경기도 시흥시 신천3길 46 (신천동),경기도 시흥시 신천동 758-16,429830,37.4388174705,126.7813359906,,180579.5706268320,437432.2909527170,체력단련장업,사립,,
레온휘트니스,20150727,,35,직권말소,20191202,,373.29,14966,경기도 시흥시 월곶중앙로 64 (월곶동),경기도 시흥시 월곶동 1009-1 풍산프라자,429834,37.3891728802,126.7385104453,,176774.6675847330,431931.3551057600,체력단련장업,사립,,
FIT 60+,20180608,,35,직권말소,20211123,,158.4,15010,"경기도 시흥시 배곧4로 22, 배곧타운2 3층 306, 307호 (배곧동)",경기도 시흥시 배곧동 122 배곧타운2,15010,37.3775785190,126.7269601551,,175732.4991347580,430659.5337635310,체력단련장업,사립,,
주식회사 본스포츠,20230417,,35,직권말소,20250110,,442.04,14922,"경기도 시흥시 수인로3247번길 19, 은계에듀타운 302~305호 (은행동)",경기도 시흥시 은행동 113-11,14922,37.4367274237,126.7980176712,,182052.3516763770,437184.1041871870,체력단련장업,사립,,
골든헬스센타,20010526,,35,직권말소,20180328,,,,경기도 시흥시 신천로104번길 24 (신천동),경기도 시흥시 신천동 779,429831,37.4386385617,126.7890131256,,181255.9253553540,437407.0181130710,체력단련장업,사립,,
제이투스포츠클럽,20010406,,35,직권말소,20180207,,,,"경기도 시흥시 삼미시장3길 20-1 (신천동,지층)",경기도 시흥시 신천동 739-12 지층,429830,37.4402249964,126.7830520796,,180730.7224370760,437589.5673781480,체력단련장업,사립,,
연성헬스타운,20011010,,35,직권말소,20181001,,,,,경기도 시흥시 하중동 30브럭 1롯트,429250,,,,,,체력단련장업,사립,,
선라이즈여성전용헬스,20011216,,35,직권말소,20181001,,,,,경기도 시흥시 하중동 19브럭 1롯트 301호,429250,,,,,,체력단련장업,사립,,
월드스포츠클럽,20021112,,35,직권말소,20200121,40488012,,,경기도 시흥시 연성로 95 (하상동),경기도 시흥시 하상동 377-2,429270,37.3909698602,126.8141585219,,183464.1215010320,432114.1251435800,체력단련장업,사립,,
(주)나이스(헬스),20021015,,35,직권말소,20200206,,,,경기도 시흥시 정왕대로 64 (정왕동),경기도 시흥시 정왕동 1861-2,429864,37.3542557561,126.7235297297,,175417.6567193790,428065.9363357030,체력단련장업,사립,,
열린헬스,20030102,,35,직권말소,20191115,,,,경기도 시흥시 군자로 514 (거모동),경기도 시흥시 거모동 1742-4,429873,37.3443304026,126.7848002767,,180862.5927038580,426954.7459599980,체력단련장업,사립,,
함현헬스,20030404,,35,직권말소,20180308,,,,"경기도 시흥시 함송로29번길 9 (정왕동,월드프라자 401호)",경기도 시흥시 정왕동 1881-4 월드프라자 401호,429865,37.3640335010,126.7314920232,,176143.7947258800,429143.6661797590,체력단련장업,사립,,
정영준 스포츠 클럽,20040311,,35,직권말소,20180308,031-319-8717,,,"경기도 시흥시 함송로14번길 5-4 (정왕동,301호 일부)",경기도 시흥시 정왕동 1883-1 301호 일부,429866,37.3634869613,126.7292277666,,175941.9249055260,429080.7247944570,체력단련장업,사립,,
서철훈헬스크럽,20070329,,35,직권말소,20180228,,275,,"경기도 시흥시 비둘기공원5길 12 (대야동,3층)",경기도 시흥시 대야동 531-2 3층,429874,37.4432524568,126.7903373383,,181376.7811019150,437920.7832710080,체력단련장업,사립,,
용인대아주태권도장,20070723,,35,직권말소,20180226,,94,15071,경기도 시흥시 군자로492번길 7 (거모동),경기도 시흥시 거모동 1734-2번지,429873,37.3459008132,126.7836450822,,180771.0584880010,427071.0070000390,체력단련장업,사립,,
로얄스포츠영상랜드,20120307,,35,직권말소,20191202,,245.75,,"경기도 시흥시 중심상가로 151, 301호 (정왕동)",경기도 시흥시 정왕동 1728-6 301호,429862,37.3466554117,126.7329223926,,176263.7828380790,427215.7645558150,체력단련장업,사립,,
피지컬 피트니스,20140912,,35,직권말소,20211123,,288.6,14912,경기도 시흥시 비둘기공원5길 16 (대야동),경기도 시흥시 대야동 530-2,429874,37.4428182006,126.7900701283,,181353.3450237220,437872.1180357210,체력단련장업,사립,,
이루어짐 목감1호점,20161117,,35,직권말소,20210518,,698.49,14985,경기도 시흥시 목감우회로 51 (목감동),경기도 시흥시 목감동 408번지,14985,37.3822598219,126.8619616634,,187687.0298453830,431135.2698730780,체력단련장업,사립,,
더 바디 핏(The Body Fit),20170202,,35,직권말소,20200206,,,14917,"경기도 시흥시 은행로155번길 17, 204~205호 (은행동, 은행프라자)",경기도 시흥시 은행동 537-1번지 은행프라자 204~205호,14917,37.4440621226,126.7976213085,,182028.9228475590,438014.8298611920,체력단련장업,사립,,
유니온 휘트니스,20040202,,35,직권말소,20180328,031-312-5593,,,"경기도 시흥시 비둘기공원7길 33 (대야동,,2,3,4 호 시흥디아망상가 6층)","경기도 시흥시 대야동 543-1 ,2,3,4 호 시흥디아망상가 6층",429010,37.4430055784,126.7927588701,,181596.5776774840,437913.2683075030,체력단련장업,사립,,
형제헬스크럽,19950804,,35,직권말소,20180308,,,,경기도 시흥시 대골안길 64 (대야동),경기도 시흥시 대야동 486-3,429811,37.4443513007,126.7872068143,,181093.4763213950,438046.3849020780,체력단련장업,사립,,
PT AN STUDIO,20190725,,03,폐업,20230316,,172.62,14985,"경기도 시흥시 솔고개길 4-3, M Terrace 7층 702~703호 (목감동)",경기도 시흥시 목감동 407 M Terrace,14985,37.3826180368,126.8615293938,,187662.8832482690,431192.7041707370,체력단련장업,사립,,
국가대표 송기석휘트니스,20200319,,03,폐업,20221129,,304.29,14912,"경기도 시흥시 비둘기공원1길 23, 유영빌딩 4층 (대야동)",경기도 시흥시 대야동 541-16 유영빌딩,14912,37.4415533975,126.7910881747,,181441.1304890320,437732.2010145370,체력단련장업,사립,,
배곧 라이프짐,20210420,,03,폐업,20230509,,261.35,15010,"경기도 시흥시 서울대학로278번길 19-13, 108동 1층 116~118호 (배곧동, 시흥배곧 C1 호반 써밋플레이스)",경기도 시흥시 배곧동 191 시흥배곧 C1 호반 써밋플레이스,15011,37.3711662538,126.7277939416,,175778.5000484560,429887.8478261160,체력단련장업,사립,,
위하이어 피트니스,20230116,,03,폐업,20250124,,417.92,14912,"경기도 시흥시 비둘기공원6길 8, 이산프라자 6층 (대야동)",경기도 시흥시 대야동 534-3 이산프라자,14912,37.4432858715,126.7913996659,,181468.4584466940,437924.4088455170,체력단련장업,사립,,
이지휘트니스센터,20020614,,03,폐업,20050721,031-311-8466,,,"경기도 시흥시 은행로155번길 6,  402호 (은행동)",경기도 시흥시 은행동 531-4 402호,429837,37.4447719891,126.7987677766,,182122.1020817720,438087.4558283330,체력단련장업,사립,0,
정왕헬스,20030121,,03,폐업,20210316,,,15052,"경기도 시흥시 정왕시장길 52, 정왕시장 (정왕동)",경기도 시흥시 정왕동 1202 정왕시장,15052,37.3455685452,126.7489652672,,177684.9537522750,427088.4076865390,체력단련장업,사립,,
코리아헬스,20030320,,03,폐업,20240131,,291,14948,"경기도 시흥시 삼미시장2길 29, 구세군교회 3층 1호 (신천동)",경기도 시흥시 신천동 738-3 구세군교회,14948,37.4406230103,126.7832856727,,180752.5591944900,437631.9161641210,체력단련장업,사립,,
21세기스포츠센타(2),20030407,,03,폐업,20050607,,,,"경기도 시흥시 평안상가3길 16  (정왕동,인영코아 3층)",경기도 시흥시 정왕동 1627-5 인영코아 3층,429858,37.3366570635,126.7494491124,,177724.3509073380,426103.4336308210,체력단련장업,사립,0,
"아이원헬스,골프클럽",20030620,,03,폐업,20150723,,,,경기도 시흥시 월곶중앙로 64  (월곶동),경기도 시흥시 월곶동 1009-1,429834,37.3891728802,126.7385104453,,176774.6675847330,431931.3551057600,체력단련장업,사립,0,
죠이휘트니스,20030808,,03,폐업,20070214,,,,"경기도 시흥시 신현로38번길 22  (포동,3층)",경기도 시흥시 포동 13-9 3층,429871,37.4075046773,126.7843809470,,180841.3700446090,433955.5318505360,체력단련장업,사립,0,
두성휘트니스센타,20031226,,03,폐업,20090728,,,,"경기도 시흥시 신천로 95  (신천동,두성빌딩 5층)",경기도 시흥시 신천동 766-3 두성빌딩 5층,429831,37.4389808910,126.7859917014,,180993.0042877260,437451.6015898080,체력단련장업,사립,,
헤라휘트니스,20040319,,03,폐업,20121010,031-491-6547,,,"경기도 시흥시 군자로 507  (거모동,군자프라자 401호, 402호)","경기도 시흥시 거모동 1757-1 군자프라자 401호, 402호",429873,37.3447661065,126.7853041907,,180908.2285853480,426991.2194272690,체력단련장업,사립,,
오성헬스클럽,20040723,,03,폐업,20091013,031-434-6502,,,,경기도 시흥시 정왕동 10블럭 1-6롯트 오성빌딩 301호(2304-9),429450,,,,,,체력단련장업,사립,,
21세기스포츠센타,20050608,,03,폐업,20150803,,344.42,,"경기도 시흥시 평안상가3길 16 (정왕동,3층)",경기도 시흥시 정왕동 1627-5 3층,429858,37.3366570635,126.7494491124,,177724.3509073380,426103.4336308210,체력단련장업,사립,,
스카이 휘트니스 클럽,20050726,,03,폐업,20200204,031-311-8466,327.02,,"경기도 시흥시 은행로167번길 3  (대야동,대원빌딩 5층)",경기도 시흥시 대야동 578-3 대원빌딩 5층,429874,37.4454446818,126.7982075509,,182071.7225068410,438163.2761234350,체력단련장업,사립,0,
