sigun_nm,refine_road_nm_addr,refine_lotno_addr,refine_zipno,locplc_faclt_telno_dtls,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,sanittn_bizcond_nm,ratg_div_nm,rk_cnt_faclt_div_nm,factry_prdc_dut_emply_cnt,multi_utlz_bizest_yn,traditn_bizest_apnt_id,traditn_bizest_food_desc
,"경기도 시흥시 정왕대로 210, E MART시화점 2층 식품매장일부호 (정왕동)",경기도 시흥시 정왕동 1734-2 E MART시화점,15066,,37.3459328804,126.7368812651,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 정왕대로 210, E MART시화점 2층 (정왕동)",경기도 시흥시 정왕동 1734-2 E MART시화점,15066,02-3397-6283,37.3459328804,126.7368812651,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 군자로 475, 재정빌딩 1층 일부호 (거모동)",경기도 시흥시 거모동 1724-9 재정빌딩,15068,031-494-7511,37.347477165,126.7834720411,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 서울대학로264번길 25, 시흥배곧 아브뉴프랑 센트럴 블루 317(일부)호 (배곧동)",경기도 시흥시 배곧동 219 시흥배곧 아브뉴프랑 센트럴 블루,15011,,37.3683599517,126.7273257955,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 은행로 267 (은행동),경기도 시흥시 은행동 538-1 신명아파트 상가동 109-2호,14917,031-314-3304,37.4437293778,126.7977487718,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 정왕시장길 51, 정왕시장 1층 101호 일부호 (정왕동)",경기도 시흥시 정왕동 1203 정왕시장,15052,,37.3458093904,126.7485677164,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 미산로 136, 1층 (미산동)",경기도 시흥시 미산동 316-26 1층,14944,031-317-0762,37.4185172311,126.7930231333,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 은행로167번길 7, 크리스탈빌딩 2층 201호 일부호 (대야동)",경기도 시흥시 대야동 577-1 크리스탈빌딩,14914,031-8089-8333,37.4452354341,126.7978816601,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 마유로238번길 26, 롯데마트 시화점 1층 일부호 (정왕동)",경기도 시흥시 정왕동 1366-4,15079,031-767-9224,37.3376271419,126.7306774357,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 비둘기공원로 28, 롯데마트 시흥점 2층 일부호 (대야동)",경기도 시흥시 대야동 542 롯데마트 시흥점,14912,051-831-5711,37.4430368253,126.7919559438,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 은행로149번길 1, 시흥성원아파트 상가동 2층 203호 일부호 (은행동)",경기도 시흥시 은행동 538-2 시흥성원아파트,14917,,37.4441537742,126.7993953133,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 복지로 39-18, 1층 (대야동)",경기도 시흥시 대야동 491-48,14909,,37.4435469379,126.7883449204,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 서울대학로264번길 7, 시흥배곧 아브뉴프랑 센트럴 퍼플 1층 A-101호 일부호 (배곧동)",경기도 시흥시 배곧동 220 시흥배곧 아브뉴프랑 센트럴 퍼플,15011,031-432-4329,37.3691267298,126.7260417622,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 신천로19번길 12, 1층 일부호 (신천동)",경기도 시흥시 신천동 877-7 1층 일부호,14951,,37.4328074639,126.7906281186,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 대야로 4, 신천연합농수산물센터 1층 일부호 (대야동)",경기도 시흥시 대야동 490-5 신천연합농수산물센터,14909,,37.4441637718,126.7889947589,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 비둘기공원7길 33, 디아망타운 401호 일부호 (대야동)",경기도 시흥시 대야동 543-1 디아망타운,14912,031-313-2744,37.4430055784,126.7927588701,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 함송로 24 (정왕동),경기도 시흥시 정왕동 1882-4,15020,031-433-4466,37.3632151301,126.7303936899,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 호현로34번길 11 (대야동),경기도 시흥시 대야동 497-19,14909,070-8262-0117,37.4426961134,126.7862616234,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 정왕시장길 51 (정왕동, 101-23)",경기도 시흥시 정왕동 1203 101-23,15052,,37.3458093904,126.7485677164,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 은행로149번길 8, 106호 (은행동)",경기도 시흥시 은행동 533 106호,14917,,37.4443110478,126.798557286,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 오이도로 173 (정왕동, 오이도직판장 B동 158호)",경기도 시흥시 정왕동 2003-12,15015,031-432-5466,37.3454457514,126.6880796381,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 은행로 171, 시흥대성학원 1층 일부호 (대야동)",경기도 시흥시 대야동 579-1 시흥대성학원,14914,031-311-5200,37.4459661644,126.7979878824,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 하중로 201-1, 연성빌딩 1층 102호 (하중동)",경기도 시흥시 하중동 857-2 연성빌딩,14976,,37.3937119778,126.8052312842,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 중심상가로 192, 상록프라자 1층 108호 일부호 (정왕동)",경기도 시흥시 정왕동 1742-12 상록프라자,15066,,37.3441353392,126.7362898077,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 대야로3번길 1, 1층 일부호 (대야동)",경기도 시흥시 대야동 489-3,14909,,37.4438636199,126.7885454073,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 동서로 770, 안산농협 연꽃지점 로컬푸드직매장 1층 일부호 (물왕동)",경기도 시흥시 물왕동 248-4 안산농협 연꽃지점 로컬푸드직매장,14990,,37.3843410162,126.8308012535,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 호현로9번길 8-3 (신천동),경기도 시흥시 신천동 706-19,14904,031-313-9218,37.4423702392,126.7830542202,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 호현로 64, 1층 (대야동)",경기도 시흥시 대야동 476-16,14905,031-313-6818,37.4456512333,126.7860413645,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 오이도로135번길 76, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 2031-8,15015,,37.3417957388,126.6868432339,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 서울대학로264번길 26-9, 다인 로얄팰리스 배곧8차 1층 116호 (정왕동)",경기도 시흥시 정왕동 1771-31 다인 로얄팰리스 배곧8차,15011,,37.3674108514,126.7269176778,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 인선길 36 (장곡동),경기도 시흥시 장곡동 818-1 연성빌딩 제상가동 1층 102호,15002,031-404-1243,37.3774820898,126.7846888961,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 동서로 869, 1층 일부호 (물왕동)",경기도 시흥시 물왕동 26-1,14983,,37.3813671198,126.8421570083,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 봉우재로23번안길 16, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 1609-4,15056,,37.3464118564,126.7412795711,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 금화로202번길 167, 주건축물제1동 1층 일부호 (산현동)",경기도 시흥시 산현동 262-2,14990,031-411-3490,37.3775987224,126.8323859724,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 도일로 136, A동 1층 일부호 (거모동)",경기도 시흥시 거모동 1771-1 104호,15069,,37.3422120954,126.7847864982,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 비둘기공원로 28, 롯데마트 시흥점 2층 일부호 (대야동)",경기도 시흥시 대야동 542 롯데마트 시흥점,14912,,37.4430368253,126.7919559438,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 호현로 76 (대야동),경기도 시흥시 대야동 465-7,14905,031-312-2211,37.4465052835,126.787163768,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 새재로7번길 20-1, 1층 일부호 (장현동)",경기도 시흥시 장현동 536-9,14998,,37.3815391945,126.7999104974,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 은계번영길 1, 태산W타워 1층 112호 (은행동)",경기도 시흥시 은행동 646 태산W타워,14922,,37.4365775346,126.8016249551,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 새재로17번길 18, 1층 일부호 (장현동)",경기도 시흥시 장현동 532-6,14998,,37.3820682393,126.8009673581,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 인선길 46, 122호 (장곡동, 연성쉐르빌APT)",경기도 시흥시 장곡동 811-3 연성쉐르빌APT,15002,031-435-4656,37.3775561661,126.7835248245,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 큰솔로 89, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 1507-1,15051,,37.3448100378,126.755882245,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 봉우순환로3번길 19, 3층 일부호 (정왕동)",경기도 시흥시 정왕동 2255-2,15047,,37.3583327761,126.7548002319,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 장현장곡로 79, 근린생활시설동 1층 1호 (장현동, 시흥장현 루벤시아 2차)",경기도 시흥시 장현동 96 시흥장현 루벤시아 2차,14996,031-312-8887,37.3826923459,126.7952572789,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 해송십리로 472-12, 상가동1동 지1층 102호 (배곧동, 시흥배곧신도시 이지더원1차 더 퍼스트)",경기도 시흥시 배곧동 14 시흥배곧신도시 이지더원1차 더 퍼스트,15010,031-463-4437,37.3828129125,126.729334973,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 군서로18번길 13-1, 1층 101호 (정왕동)",경기도 시흥시 정왕동 1191-6,15052,,37.3456139776,126.750443808,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 연성로 95, 삼성프라자 1층 113호 (하상동)",경기도 시흥시 하상동 377-2 삼성프라자,14977,031-312-8288,37.3909698602,126.8141585219,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 목감우회로 51, 107호 (목감동, 동한메디컬프라자)",경기도 시흥시 목감동 408,14985,,37.3822598219,126.8619616634,즉석판매제조가공업,즉석판매제조가공업,,상수도전용,,N,,
,"경기도 시흥시 오이도중앙로 47 (정왕동, 외1필지)",경기도 시흥시 정왕동 2011-4 외1필지,15015,031-319-7419,37.3438608234,126.689609526,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 은계중앙로 221, 1층 일부호 (은행동)",경기도 시흥시 은행동 610-6,14923,031-318-0159,37.4437630637,126.8049722198,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 은계호수로 49, 시흥 센트럴돔 그랑트리 캐슬 1층 1145(일부)호 (은행동)",경기도 시흥시 은행동 605 시흥 센트럴돔 그랑트리 캐슬,14923,,37.4458457243,126.8020023203,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 은계호수로 49, 시흥 센트럴돔 그랑트리 캐슬 2070호 (은행동)",경기도 시흥시 은행동 605 시흥 센트럴돔 그랑트리 캐슬,14923,,37.4458457243,126.8020023203,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 비둘기공원7길 10, 상가동 103호 (대야동, e편한세상 시흥 센텀하임)",경기도 시흥시 대야동 692 e편한세상 시흥 센텀하임,14908,,37.4446439262,126.7924043006,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 대야로23번길 6, 1층 일부호 (대야동)",경기도 시흥시 대야동 467-25,14905,,37.445841696,126.789227592,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 호현로 80-1, 1층 일부호 (대야동)",경기도 시흥시 대야동 465-17,14905,,37.4467322458,126.78743294,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 대은로 90, 104호 (은행동)",경기도 시흥시 은행동 532-1 104호,14917,031-313-5080,37.4446885904,126.7983841873,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 매화2로48번길 8, 1층 일부호 (매화동)",경기도 시흥시 매화동 352-3 1층 일부,14940,031-318-5253,37.4162881699,126.809339641,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 은계호수로 49, 시흥 센트럴돔 그랑트리 캐슬 2층 2061호 (은행동)",경기도 시흥시 은행동 605 시흥 센트럴돔 그랑트리 캐슬,14923,,37.4458457243,126.8020023203,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 동서로 770, 안산농협 연꽃지점 로컬푸드직매장 1층 일부호 (물왕동)",경기도 시흥시 물왕동 248-4 안산농협 연꽃지점 로컬푸드직매장,14990,041-566-5360,37.3843410162,126.8308012535,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 은행로 172, 봉명빌딩 1층 일부호 (대야동)",경기도 시흥시 대야동 581-6 봉명빌딩,14915,031-312-6191,37.4461666672,126.7983590789,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 시흥대로1074번길 24, 우리농수산 1층 일부호 (은행동)",경기도 시흥시 은행동 289-76 우리농수산,14921,031-313-2929,37.4311685713,126.7954134061,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 호현로 39-2, 사랑의교회 1층 (신천동)",경기도 시흥시 신천동 704-16 사랑의교회,14904,031-435-7711,37.4440494999,126.7849939315,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 신천천서로 64, 1층 일부호 (신천동)",경기도 시흥시 신천동 836-8,14948,,37.4363171427,126.7807495027,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 오이도중앙로36번길 12 (정왕동),경기도 시흥시 정왕동 2002-11 성신수산 11-6호,15015,031-432-3228,37.3458642221,126.688639633,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 매화로 143, 에이스아파트 상가동 3층 302호 (도창동)",경기도 시흥시 도창동 65 에이스아파트,14942,,37.4088930306,126.8179726037,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 서울대학로278번길 67, 시흥배곧 롯데마트 1층 일부호 (배곧동)",경기도 시흥시 배곧동 202 시흥배곧 롯데마트,15011,031-402-0209,37.3688907319,126.7313182505,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 봉우재로209번길 46, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 2237-4,15047,031-498-5868,37.3579145238,126.7513716387,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 시청로72번길 3-6, 1층 101호 일부호 (장현동)",경기도 시흥시 장현동 537-8,14998,031-435-3038,37.3812225966,126.799721419,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 오이도중앙로36번길 12 (정왕동),"경기도 시흥시 정왕동 2002-11 10-5, 10-6호",15015,031-434-0403,37.3458642221,126.688639633,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 희망공원로 269, 2층 (정왕동, 홈플러스)",경기도 시흥시 정왕동 2166-4 홈플러스2층,15081,031-792-6892,37.3452082082,126.725237369,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 진말로9번길 8, 1층 (장곡동)",경기도 시흥시 장곡동 820-7 1층,15002,031-407-4729,37.3783844293,126.7848497504,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 포도원로 27 (신천동),경기도 시흥시 신천동 825-24,14947,031-313-7388,37.4358619673,126.7770575847,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 목감우회로 39, 119호 (목감동, 시티프라자)",경기도 시흥시 목감동 403 시티프라자 119호,14985,031-317-9933,37.3819082861,126.8602929025,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 옥구천동로 402, 월드아파트 2층 203호 (정왕동)",경기도 시흥시 정왕동 1873-3 월드아파트 203호,15027,031-432-0559,37.3567512193,126.7302225709,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 목감남서로 9-27, 1층 113호 (조남동)",경기도 시흥시 조남동 657 113호,14988,,37.3779410886,126.8534479825,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 도일로102번길 1-1, 1층 (거모동)",경기도 시흥시 거모동 1659-8 1층,15069,031-494-5017,37.3397379706,126.7840648763,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 마유로238번길 26,경기도 시흥시 정왕동 1366-4 지에스마트내,15079,031-432-0163,37.3376271419,126.7306774357,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 삼미시장1길 19 (신천동, 삼미상가A동13호)",경기도 시흥시 신천동 738-2 삼미상가A동13호,14948,031-314-6247,37.4405908634,126.7839303247,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 목감중앙로 53, 중앙프라자 1층 108호 (조남동)",경기도 시흥시 조남동 677-2 중앙프라자,14988,031-8042-5348,37.3729740201,126.8550040392,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 봉우재로 23-26, 1층 (정왕동)",경기도 시흥시 정왕동 1608-4,15056,,37.3466022901,126.7414582975,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 서울대학로278번길 8, 시흥배곧 아브뉴프랑 센트럴 레드 2층 B-223호 일부호 (배곧동)",경기도 시흥시 배곧동 214 시흥배곧 아브뉴프랑 센트럴 레드,15011,,37.3696799975,126.7265668783,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 은행로 104, 벽산아파트 상가동 2층 205호 (은행동)",경기도 시흥시 은행동 547-1 벽산아파트 상가동,14916,070-4150-0650,37.4408926759,126.79818224,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 서울대학로 59-21, 배곧로얄팰리스 테크노1차 1층 142(일부)호 (배곧동)",경기도 시흥시 배곧동 299-3 배곧로얄팰리스 테크노1차,15012,031-319-9555,37.3575735442,126.7059932726,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 인선길 46, 116호 (장곡동, 연성쉐르빌)",경기도 시흥시 장곡동 811-3 연성쉐르빌 116호,15002,031-315-1287,37.3775561661,126.7835248245,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 장현능곡로 155, 시흥 플랑드르 1010호 일부호 (능곡동)",경기도 시흥시 능곡동 871 시흥 플랑드르,15121,,37.3710186339,126.8072928232,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 승지로 58, 태영프라자 1층 107호 (능곡동)",경기도 시흥시 능곡동 741 태영프라자,14995,,37.3690282853,126.810665315,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 배곧1로 27-15, 상가2동 1층 112호 (배곧동, 한라비발디캠퍼스)",경기도 시흥시 배곧동 243 한라비발디캠퍼스,15011,,37.3636798562,126.7119931155,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 서울대학로264번길 35, 시흥배곧 아브뉴프랑 센트럴 그린 2층 209호 (배곧동)",경기도 시흥시 배곧동 218 시흥배곧 아브뉴프랑 센트럴 그린,15011,,37.3677274711,126.7284729076,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 시흥대로 404, 201동 1층 107호 (광석동, 시흥시청역 동원로얄듀크)",경기도 시흥시 광석동 542 시흥시청역 동원로얄듀크,14994,,37.3767999075,126.8109782143,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 군서로10번길 1, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 1198-8,15052,,37.3441892592,126.7503563619,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 하우로122번길 16, 1층 일부호 (대야동)",경기도 시흥시 대야동 5-4,14900,,37.4675648383,126.7848265624,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 도일로 119, 월드프라자 107, 108, 109호 (거모동)",경기도 시흥시 거모동 1545-1 월드프라자,15070,,37.3411140523,126.7835663699,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 오이도로135번길 46, 1층 (정왕동)",경기도 시흥시 정왕동 2006-6,15015,031-488-8345,37.3443711125,126.6877863848,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 월곶고잔1길 92-1, 1층 일부호 (월곶동)",경기도 시흥시 월곶동 596-1,15005,,37.3842531255,126.7529058867,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 미산로 70, 1층 일부호 (미산동)",경기도 시흥시 미산동 91-7,14944,,37.422049675,126.7958944141,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 배곧3로 86, 센터프라자2 1층 104호 (정왕동)",경기도 시흥시 정왕동 2513-1 센터프라자2,15011,,37.3702222869,126.7295541408,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 수인로 3309, 하나로마트 북시흥농협본점 1층 일부호 (신천동)",경기도 시흥시 신천동 83-4,14950,041-566-5360,37.4384638811,126.7914451358,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 옥구상가4길 8-1, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 1855-21,15040,,37.351642526,126.7222694829,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 함송로13번길 28, 1층 102호 (정왕동)",경기도 시흥시 정왕동 1879-5 1층102호,15020,031-499-5260,37.3645690855,126.7320737891,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 삼미시장2길 45, 1층 7호 (신천동)",경기도 시흥시 신천동 737-7,14948,,37.4400101482,126.7847836747,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 은계호수로 49, 시흥 센트럴돔 그랑트리 캐슬 2층 2046호 (은행동)",경기도 시흥시 은행동 601-302 시흥 센트럴돔 그랑트리 캐슬,14923,031-404-8897,37.4458457243,126.8020023203,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 배곧3로 96, M-플러스 1층 138호 (배곧동)",경기도 시흥시 배곧동 199-1 M-플러스,15011,,37.3697764139,126.7302927867,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 정왕시장길 51, 정왕시장 1층 101호 일부호 (정왕동)",경기도 시흥시 정왕동 1203 정왕시장,15052,031-434-4090,37.3458093904,126.7485677164,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 함송로29번길 36, 세종2차아파트 상가동 1층 104호 (정왕동)",경기도 시흥시 정왕동 1877-2 세종2차아파트,15019,031-497-1460,37.3649608138,126.7341025211,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 함송로 18, 1층 103호 (정왕동, 대림하이츠)",경기도 시흥시 정왕동 1882-2,15020,031-488-8876,37.3635276473,126.7299387902,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 오이도로135번길 33 (정왕동),경기도 시흥시 정왕동 2004-1,15015,031-434-5276,37.3453310614,126.6884421511,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 연성로13번길 5-2, 1층 103호 (하중동, 데코빌아파트)",경기도 시흥시 하중동 878-4 데코빌아파트,14976,,37.3908957528,126.8045568718,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 장현서3길 12, 1층 일부호 (장현동)",경기도 시흥시 장현동 407-3,14996,031-404-9638,37.3731281579,126.7966568926,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 도일로 100-4 (거모동),경기도 시흥시 거모동 1669-24,15069,031-495-7108,37.3393863872,126.7840569246,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 신흥마을2길 10-1, 1층 일부호 (신천동)",경기도 시흥시 신천동 816-9,14947,,37.4377922104,126.777276398,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 서촌상가2길 14, 흥보프라자 4층 401호 일부호 (정왕동)",경기도 시흥시 정왕동 1728-4 흥보프라자,15036,,37.3469008877,126.7332473112,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 중심상가4길 16-1, 1층 (정왕동)",경기도 시흥시 정왕동 1739-6 1층,15066,031-497-2234,37.3439192587,126.737725796,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 관곡지로 56, 1층 (하중동)",경기도 시흥시 하중동 822-1,14975,031-315-3600,37.400685551,126.8001391544,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 장현순환로 81, 근린생활시설1동 지하1층 18호 (장현동, 시흥능곡역 모아미래도 에듀포레)",경기도 시흥시 장현동 산 34 시흥능곡역 모아미래도 에듀포레,14996,031-435-4487,37.3744096409,126.7969159919,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 수인로 2966, 가동 1층 일부호 (매화동)",경기도 시흥시 매화동 39-1,14931,031-311-8600,37.4209383352,126.8169479595,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 오이도로 205, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 2031-24,15015,,37.3425987491,126.6869587599,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 서울대학로278번길 61, 서영베니스스퀘어 4층 410호 (정왕동)",경기도 시흥시 정왕동 2537-2 서영베니스스퀘어 410호,15011,,37.3681926149,126.7306929431,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 금화로 457 (물왕동, 1층)",경기도 시흥시 물왕동 258 1층,14981,070-7626-8603,37.387742001,126.8297091642,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 오이도로 173, 1층 33호 (정왕동)",경기도 시흥시 정왕동 2003-12,15015,,37.3454457514,126.6880796381,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 군자로 12, 1층 일부호 (월곶동)",경기도 시흥시 월곶동 476-5,15006,,37.3818378824,126.7615821716,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 서울대학로264번길 12, 208동 2층 B-250호 (배곧동, 시흥배곧 C2블럭 호반 써밋플레이스 아파트)",경기도 시흥시 배곧동 221 시흥배곧 C2블럭 호반 써밋플레이스 아파트,,,,,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
