park_nm,park_div_nm,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt,park_ar,park_sports_faclt_dtls,park_amsmt_faclt_dtls,park_cnvnnc_faclt_dtls,park_cltr_faclt_dtls,park_etc_faclt_dtls,apnt_ancmnt_ymd,mnginst_nm,mnginst_telno,dat_crtr_ymd
정왕동 체육5공원,체육공원,경기도 시흥시 함송로 8,경기도 시흥시 정왕동 1886-1,37.3640775531,126.7285667444,10117.0,,,,,,20141231,경기도 시흥시청,031-310-3864,20251219
은행길담소공원,근린공원,,경기도 시흥시 은행동 648,37.4366311456,126.798339524,10194.0,,,,,,20100427,경기도 시흥시청,031-310-3892,20251219
매화근린공원,근린공원,,경기도 시흥시 매화동 844-1,37.4165761794,126.8194149449,9991.0,,,,,,,경기도 시흥시청,031-310-3894,20251219
매화문화공원,문화공원,,경기도 시흥시 매화동 851,37.4184278622,126.8167884024,829.0,,,,,,,경기도 시흥시청,031-310-3894,20251219
은계,어린이공원,,경기도 시흥시 대야동 569-2,37.4475598505,126.7959883256,7166.0,,,,,,,경기도 시흥시청,031-310-3894,20251219
문화2공원,문화공원,,경기도 시흥시 조남동 649,37.37786757,126.8471648179,4222.0,,,,,,20140923,경기도 시흥시청,031-310-3872,20251219
대야이2,수변공원,,경기도 시흥시 대야동 361-16,37.4453852841,126.7914991644,1265.0,,,,,,20190626,경기도 시흥시청,031-310-2694,20251219
공단1,문화공원,경기도 시흥시 경기과기대로 284,경기도 시흥시 정왕동 2133,37.3375563623,126.7392463634,14764.0,,,,,,,경기도 시흥시청,031-310-5974,20251219
장현3,체육공원,,경기도 시흥시 장현동 702-1,37.3843279759,126.8022335956,18130.0,,,,,,20070118,경기도 시흥시청,031-310-3472,20251219
실개울공원,어린이공원,,경기도 시흥시 능곡동 777,37.3655989532,126.81047546,5351.0,,조합놀이대,,,,20041110,경기도 시흥시청,031-310-3871,20251219
솔숲공원,근린공원,경기도 시흥시 미산로144번길 15,경기도 시흥시 미산동 산12-6,37.4194035092,126.7920090013,22070.0,,조합놀이대+그네 등,,,,20050503,경기도 시흥시청,031-310-3894,20251219
해미공원,수변공원,,경기도 시흥시 정왕동 2598-3,37.3271557433,126.69947638,32706.0,,,,,,20010829,경기도 시흥시청,031-310-3865,20251219
영모재공원,근린공원,경기도 시흥시 능골길 26,경기도 시흥시 능곡동 617,37.3696793093,126.8172322762,107778.0,체육시설,,주차장+화장실,영모재,,20041110,경기도 시흥시청,031-310-3871,20251219
장현소공원5,소공원,,경기도 시흥시 광석동 504,37.3841182622,126.8093612946,5245.6,,,,,,20231228,경기도 시흥시청,031-310-3873,20251219
소공원월동1,소공원,,경기도 시흥시 월곶동 1059-3,37.3821660032,126.7659497105,180.8,,,,,,20110922,경기도 시흥시청,031-310-3873,20251219
장현어린이1호,어린이공원,,경기도 시흥시 군자동 799-1,37.367481212,126.8060191369,1545.0,,,,,,,경기도 시흥시청,031-310-3873,20251219
중앙공원,근린공원,경기도 시흥시 능곡중앙로 50,경기도 시흥시 능곡동 766,37.3681066764,126.813384172,17367.0,다목적운동장+체육시설,,주차장+화장실+관리사무소,야외무대,,20041110,경기도 시흥시청,031-310-3871,20251219
소망공원,근린공원,경기도 시흥시 마유로186번길 10,경기도 시흥시 정왕동 1368,37.3341826173,126.7263327064,76148.0,야구장+운동장+족구장,,화장실+주차장,,,19940422,경기도 시흥시청,031-310-3864,20251219
큰솔공원,근린공원,경기도 시흥시 큰솔로 67-8,경기도 시흥시 정왕동 1512,37.3436511454,126.753635734,12758.0,,,,,,19940422,경기도 시흥시청,031-310-3864,20251219
거모소공원,소공원,,경기도 시흥시 거모동 산27-56,37.3456906482,126.786298378,1620.0,,,,,,,경기도 시흥시청,031-310-3871,20251219
함줄,근린공원,,경기도 시흥시 정왕동 1777,37.3685529035,126.7378379015,73252.0,,,,,,,경기도 시흥시청,031-310-3869,20251219
달공원,어린이공원,,경기도 시흥시 정왕동 1504-2,37.3453823114,126.7548827664,1987.0,,조합놀이대,,,,19940422,경기도 시흥시청,031-310-3864,20251219
꿈동산공원,어린이공원,경기도 시흥시 군서로18번길 16-1,경기도 시흥시 정왕동 1569-10,37.3456614033,126.7508159077,1929.0,,조합놀이대+시소,,,,19940422,경기도 시흥시청,031-310-3864,20251219
함송공원,어린이공원,,경기도 시흥시 정왕동 1877-6,37.3634129896,126.7342507981,1694.0,,조합놀이대+시소,,,,19940422,경기도 시흥시청,031-310-3865,20251219
웃터골공원,근린공원,경기도 시흥시 대은로104번길 15,경기도 시흥시 은행동 600,37.4443490084,126.8003996271,10120.0,체육시설,,,,,19950518,경기도 시흥시청,031-310-3892,20251219
성마루공원,어린이공원,,경기도 시흥시 하중동 880-2,37.3909603271,126.805459834,3200.0,체육시설,조합놀이대,,,,19960708,경기도 시흥시청,031-310-3872,20251219
새재공원,어린이공원,경기도 시흥시 시청로72번길 25-6,경기도 시흥시 장현동 529-1,37.3826741912,126.8013118972,1660.0,,조합놀이대,,,,19960708,경기도 시흥시청,031-310-3872,20251219
새싹공원,어린이공원,,경기도 시흥시 장곡동 796,37.3811630282,126.7825326828,3240.0,체육시설+농구장,,,,,19960708,경기도 시흥시청,031-310-3872,20251219
삼미공원,어린이공원,경기도 시흥시 삼미시장2길 40,경기도 시흥시 신천동 736,37.439916117,126.7841402301,1646.0,,조합놀이대+그네,,,,19880609,경기도 시흥시청,031-310-2694,20251219
현진공원,어린이공원,,경기도 시흥시 신천동 775,37.4384445291,126.7876242405,1574.0,,조합놀이대+시소+그네,,,,19880609,경기도 시흥시청,031-310-2694,20251219
내곡공원,어린이공원,경기도 시흥시 군자로477번안길 10-4,경기도 시흥시 거모동 1722-5,37.3481608682,126.7832510254,1604.0,체육시설,조합놀이대+그네 등,,,,19901012,경기도 시흥시청,031-310-3871,20251219
태봉공원,어린이공원,경기도 시흥시 군자로534번안길 6-6,경기도 시흥시 거모동 1768-5,37.3421162724,126.7868308112,1600.0,체육시설,조합놀이대+시소 등,,,,19901012,경기도 시흥시청,031-310-3871,20251219
오이도공원,어린이공원,경기도 시흥시 오이도1길 30,경기도 시흥시 정왕동 2040-1,37.3418544025,126.6901391116,1852.0,,조합놀이대+그네,,,,19920811,경기도 시흥시청,031-310-3862,20251219
정왕3공원,어린이공원,,경기도 시흥시 정왕동 2299-4,37.3530465739,126.7402756815,1899.0,,,,,,19931230,경기도 시흥시청,031-310-3864,20251219
평안공원,근린공원,경기도 시흥시 정왕대로298번길 36,경기도 시흥시 정왕동 1787-4,37.339466291,126.7419026149,10019.0,체육시설,,화장실,,,19940422,경기도 시흥시청,031-310-3864,20251219
신흥공원,어린이공원,경기도 시흥시 신흥마을1길 28,경기도 시흥시 신천동 821-5,37.4370057615,126.778380426,1601.0,,조합놀이대+시소+그네,,,,19811231,경기도 시흥시청,031-310-2694,20251219
복음자리공원,어린이공원,,경기도 시흥시 신천동 947,37.4355733779,126.7908655891,1597.0,,조합놀이대+흔들놀이기구,,,,19811231,경기도 시흥시청,031-310-2694,20251219
백제공원,문화공원,경기도 시흥시 시흥대로 1105-4,경기도 시흥시 신천동 84-5,37.434049101,126.7917580362,1616.0,,조합놀이대+시소+그네,,,,19811231,경기도 시흥시청,031-310-2694,20251219
제1호공원,근린공원,경기도 시흥시 능곡중앙로 140,경기도 시흥시 능곡동 489,37.3762194414,126.8119096859,20060.0,,,,,,20041110,경기도 시흥시청,031-310-3865,20251219
꿈물결공원,어린이공원,,경기도 시흥시 정왕동 2810,37.3178121521,126.6963997425,2341.0,,,,,,,경기도 시흥시청,031-310-3865,20251219
시화 2소공원,소공원,,경기도 시흥시 정왕동 1872-1,37.35752617,126.7339527351,2322.0,농구장,,,,,20100617,경기도 시흥시청,031-310-3865,20251219
은계호수공원,수변공원,,경기도 시흥시 은행동 601-191,,,169719.0,,,,,,20100427,경기도 시흥시청,031-310-3892,20251219
장현소공원7,소공원,,경기도 시흥시 장현동 328-1,,,815.7,,,,,,20231228,경기도 시흥시청,031-310-3873,20251219
애두름,소공원,,경기도 시흥시 배곧동 296,37.3583186909,126.7078132347,5400.0,,,,,,,경기도 시흥시청,031-310-3870,20251219
은계중앙공원(3호근린),근린공원,,경기도 시흥시 은행동 55,,,37295.0,,,,,,20100427,경기도 시흥시청,031-310-3892,20251219
갈대하늘공원,근린공원,,경기도 시흥시 배곧동 290,37.3598080313,126.709680103,18818.0,,,,,,20111004,경기도 시흥시청,031-310-3863,20251219
대야이3,수변공원,,경기도 시흥시 대야동 561-3,37.4444828787,126.7904013248,515.0,,,,,,20190626,경기도 시흥시청,031-310-2694,20251219
근린3(해로공원),근린공원,,경기도 시흥시 능곡동 860,37.374292336,126.8080836167,26740.6,,,,,,20231228,경기도 시흥시청,031-310-3873,20251219
