사업장명,영업상태,인허가일자,도로명주소,지번주소,우편번호,전화번호,WGS84위도,WGS84경도,인허가취소일자,폐업일자,휴업시작일자,휴업종료일자,업태구분명,X좌표값,Y좌표값,문화체육업종명,문화사업자구분명,총층수,주변환경명,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,총게임기수,제공게임물명,최초등록시점,지역구분명
로즈노래연습장,영업중,20151130,"경기도 시흥시 군서로18번길 10-1, 2층 201호 (정왕동)",경기도 시흥시 정왕동 1199 2층 201호,15052,,37.3451358526,126.7503808212,,,,,,177810.6919151840,427041.0254433860,노래연습장업,유통관련업,,,131.500,,,,,,5,,,,,,,,,,,
루이14세 노래연습장,폐업,20020902,"경기도 시흥시 중심상가로 330  (정왕동,(4층))",경기도 시흥시 정왕동 1782-20 (4층),15062,031-433-9228,37.3365516130,126.7484567589,,20040316,,,,177637.8728492220,426088.3965698860,노래연습장업,유통관련업,,유흥업소밀집지역,,,,근린생활시설,,,,,N,N,N,N,N,N,,,,
루이노래연습장,영업중,20101222,"경기도 시흥시 중심상가로 330  (정왕동,3층)",경기도 시흥시 정왕동 1782-20 3층,15062,,37.3365516130,126.7484567589,,,,,,177637.8728492220,426088.3965698860,노래연습장업,유통관련업,4,유흥업소밀집지역,57.810,4,,근린생활시설,1.00,40.000,3,,Y,Y,,,,,,,,일반상업지역
르네상스 노래연습장,폐업,19990304,경기도 시흥시 호현로22번길 4-1  (신천동),경기도 시흥시 신천동 707-26,14910,031-315-2317,37.4418221138,126.7848229505,,20011004,,,,180888.3325585910,437763.2303682500,노래연습장업,유통관련업,,,,,,근린생활시설,,,,,N,N,N,N,N,N,,,,
링컨코인노래연습장,영업중,20160913,경기도 시흥시 함송로14번길 13-15 (정왕동),경기도 시흥시 정왕동 1884-3 103호,15020,,37.3629746884,126.7294588587,,,,,,175959.2357411870,429028.6750178420,노래연습장업,유통관련업,,기타,110.720,,,근린생활시설,120.00,177.000,18,18,Y,Y,,Y,,,,,,근린상업지역
마리노래연습장,폐업,20080611,"경기도 시흥시 중심상가로 200 (정왕동,4층)",경기도 시흥시 정왕동 1742-16 4층,15066,,37.3436978495,126.7369377531,,20240902,,,,176618.3824162700,426882.0106504740,노래연습장업,유통관련업,6,유흥업소밀집지역,373.220,5,1,근린생활시설,1.00,50.000,12,12,Y,Y,Y,Y,Y,N,,,,중심상업지역
마야 노래연습장,영업중,20040727,"경기도 시흥시 월곶중앙로 53 (월곶동,2층)",경기도 시흥시 월곶동 1015-1 2층,14963,,37.3882675798,126.7392990546,,,,,,176842.2399453370,431830.8054388040,노래연습장업,유통관련업,5,기타,105.400,,,근린생활시설,,,7,,,,,Y,,,,,,일반주거지역
마창노래연습장,폐업,20010525,"경기도 시흥시 중심상가로 46  (정왕동,2층)",경기도 시흥시 정왕동 1855-12 2층,15040,,37.3523057472,126.7230643022,,20040216,,,,175391.8821374160,427839.8901193910,노래연습장업,유통관련업,,유흥업소밀집지역,,,,근린생활시설,,,,,N,N,N,N,N,N,,,,일반상업지역
마카오노래연습장,영업중,20030409,"경기도 시흥시 군서로42번길 9 (정왕동,(2층))",경기도 시흥시 정왕동 1205-1 (2층),15052,,37.3465277145,126.7481315316,,,,,,177612.3322903800,427195.4864059550,노래연습장업,유통관련업,,주택가주변,125.440,,,근린생활시설,,,5,,N,Y,N,,N,Y,,,,
망고KTV노래연습장,영업중,20210817,"경기도 시흥시 군서로24번길 9, 2층 (정왕동)",경기도 시흥시 정왕동 1201-1,15052,,37.3455283508,126.7497333884,,,,,,177753.5964817300,427085.5015742290,노래연습장업,유통관련업,,,126.270,,,,,,5,,,,,,,,,,,
매니아 노래연습장,영업중,20090911,"경기도 시흥시 한우물로 4 (거모동,2층)",경기도 시흥시 거모동 1756-8 2층,15070,,37.3429525428,126.7850052687,,,,,,180878.7116710880,426790.9251454350,노래연습장업,유통관련업,4,주택가주변,196.070,4,,근린생활시설,1.00,50.000,6,1,Y,Y,,Y,,,,,,일반상업지역
매니아 노래연습장,직권말소,19990407,"경기도 시흥시 중심상가로 155, B102호 (정왕동)",경기도 시흥시 정왕동 1728-17 B102호,15036,,37.3464056067,126.7333200886,,20150610,,,,176303.4654456920,427184.8767446420,노래연습장업,유통관련업,,,216.000,,,,,,1,,N,N,N,Y,N,N,,,,
매니아노래연습장,폐업,20080228,"경기도 시흥시 한우물로 4  (거모동,2층)",경기도 시흥시 거모동 1756-8 2층,15070,,37.3429525428,126.7850052687,,20090902,,,,180878.7116710880,426790.9251454350,노래연습장업,유통관련업,4,주택가주변,196.070,4,,근린생활시설,2.00,50.000,6,2,Y,Y,Y,Y,Y,Y,,,,상업지역
매드락노래연습장,영업중,20191004,"경기도 시흥시 서울대학로278번길 61, 서영베니스스퀘어 7층 701,702호 (배곧동)",경기도 시흥시 배곧동 204 서영베니스스퀘어,15011,,37.3681926149,126.7306929431,,,,,,176072.6007249400,429602.8439967730,노래연습장업,유통관련업,,,180.480,,,,,,22,,,,,Y,,,,,,
명성 노래연습장,폐업,19941115,경기도 시흥시 신천3길 23-1  (신천동),경기도 시흥시 신천동 761-1,14948,,37.4387769793,126.7835745759,,20070119,,,,180777.5711810730,437425.7984342630,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
명월 노래연습장,영업중,19940506,"경기도 시흥시 삼미시장4길 21, 2층 (신천동)",경기도 시흥시 신천동 756-6,14948,031-311-3402,37.4397071366,126.7823787701,,,,,,180671.1993919600,437529.8554136260,노래연습장업,유통관련업,,,82.240,,,근린생활시설,,,5,3,N,N,N,Y,N,Y,,,,
명창 노래연습장,영업중,20040224,"경기도 시흥시 역전로302번길 5 (정왕동,2층)",경기도 시흥시 정왕동 2304-7 2층,15024,,37.3526714874,126.7391164335,,,,,,176810.6987605320,427882.0350121990,노래연습장업,유통관련업,,기타,150.000,,,근린생활시설,,,5,,,,,,,,,,,일반주거지역
명품 노래연습장,폐업,20050509,"경기도 시흥시 월곶중앙로 79 (월곶동,2층)",경기도 시흥시 월곶동 1011-12 2층,14963,,37.3893050716,126.7366451746,,20181231,,,,176609.1297598800,431947.8282063290,노래연습장업,유통관련업,,기타,144.900,,,근린생활시설,,,8,1,N,N,N,,N,N,,,,준주거지역
명품노래연습장,영업중,20221205,"경기도 시흥시 은계중앙로 250, 은계호수타운2 3층 310,311호 (은행동)",경기도 시흥시 은행동 608-3,14923,,37.4461820620,126.8040115137,,,,,,182586.5736219810,438222.3590486310,노래연습장업,유통관련업,,,156.760,,,,,,7,0,,,,,,,,,,
명품노래연습장,영업중,20050614,"경기도 시흥시 군서마을로 18-1 (정왕동,지층)",경기도 시흥시 정왕동 1213-10 지층,15052,,37.3443808904,126.7493045016,,,,,,177715.4644609630,426957.7985029460,노래연습장업,유통관련업,,기타,112.320,,,근린생활시설,1.00,50.000,5,,N,N,N,,N,N,,,,일반주거지역
명품노래연습장,영업중,20191118,"경기도 시흥시 은계번영길 13, 아리테타워 4층 408, 409호 (은행동)",경기도 시흥시 은행동 646-6 아리테타워,14922,,37.4373401072,126.8025447826,,,,,,182455.7240425050,437264.7933295200,노래연습장업,유통관련업,,,130.540,,,,,,6,,,,,Y,,,,,,
명품노래연습장,영업중,20230317,"경기도 시흥시 삼미시장1길 37, 212, 213호 (신천동)",경기도 시흥시 신천동 743-2,14948,,37.4409700615,126.7825475790,,,,,,180684.1720175690,437670.5376279280,노래연습장업,유통관련업,,,161.600,,,,,,6,,,,,,,,,,,
명품노래연습장,영업중,20181207,"경기도 시흥시 솔고개길 3-4, 3층 301호 (목감동)",경기도 시흥시 목감동 402-2,14985,,37.3823896542,126.8609665498,,,,,,187614.6093204720,431153.8543308390,노래연습장업,유통관련업,,,78.890,,,,,,4,,,,,,,,,,,
명품노래연습장,폐업,20190211,"경기도 시흥시 월곶중앙로 79, 석산프라자 2층 (월곶동)",경기도 시흥시 월곶동 1011-12 석산프라자,14963,,37.3893050716,126.7366451746,,20191204,,,,176609.1297598800,431947.8282063290,노래연습장업,유통관련업,,,177.120,,,,,,5,,,,,,,,,,,
모나코 노래연습장,영업중,20031017,"경기도 시흥시 정왕천로411번길 25 (정왕동,(지하1))",경기도 시흥시 정왕동 1201 (지하1),15052,,37.3456354342,126.7495629725,,,,,,177738.7480587880,427097.0668437660,노래연습장업,유통관련업,,유흥업소밀집지역,99.770,,,근린생활시설,,,1,,N,N,N,,N,N,,,,
모아노래연습장,폐업,20100601,"경기도 시흥시 비둘기공원6길 10, 304호 (대야동,3층)",경기도 시흥시 대야동 535 3층 304호,14912,,37.4429332097,126.7912108125,,20201117,,,,181452.9803379330,437887.0191147740,노래연습장업,유통관련업,7,유흥업소밀집지역,133.420,6,1,근린생활시설,1.00,40.000,3,,Y,Y,,,,,,,,중심상업지역
모여라 노래연습장,영업중,19940210,"경기도 시흥시 수인로3395번길 14-2, 지하1층 (신천동)",경기도 시흥시 신천동 746-24 성원빌딩,14948,031-314-4343,37.4405741900,126.7811835383,,,,,,180565.4284979150,437626.0131727140,노래연습장업,유통관련업,,주택가주변,131.140,,,근린생활시설,,,5,,N,N,N,,N,N,,,,
목감노래연습장,영업중,20211005,"경기도 시흥시 동서로 1109, 안산농협 목감지점 2층 (논곡동)",경기도 시흥시 논곡동 160-7 안산농협 목감지점,14984,,37.3879784372,126.8610207842,,,,,,187564.3635334600,431760.8027194520,노래연습장업,유통관련업,,,323.980,,,,,,7,,,,,,,,,,,
물짱노래연습장,폐업,20031028,"경기도 시흥시 옥구상가3길 21  (정왕동,(201호))",경기도 시흥시 정왕동 1858-7 (201호),15040,,37.3538552520,126.7229354194,,20080324,,,,175384.5011270140,428018.7366803990,노래연습장업,유통관련업,,유흥업소밀집지역,53.910,,,근린생활시설,1.00,30.000,2,1,N,Y,Y,Y,N,Y,,,,
뮤노래연습장,영업중,20111109,"경기도 시흥시 시흥대로 1121, 신천휴먼시아 상가조합 5층 501, 502, 503-1호 (신천동)",경기도 시흥시 신천동 948 신천휴먼시아 상가조합,14950,,37.4355599100,126.7911786218,,,,,,181445.9510254770,437065.4065520950,노래연습장업,유통관련업,,,182.970,,,,,,7,,,,,,,,,,,
뮤즈노래연습장,영업중,20100728,"경기도 시흥시 비둘기공원6길 16,  302-1호 (대야동,3층)",경기도 시흥시 대야동 538 3층 302-1호,14912,,37.4424717128,126.7909099418,,,,,,181427.2481468840,437833.5558515590,노래연습장업,유통관련업,7,유흥업소밀집지역,71.330,6,1,근린생활시설,1.00,40.000,3,,Y,Y,,,,,,,,중심상업지역
뮤지컬 노래연습장,폐업,20030811,"경기도 시흥시 중심상가로 160  (정왕동,(3층))",경기도 시흥시 정왕동 1731-13 (3층),15036,,37.3459366332,126.7332796968,,20061023,,,,176295.3134857310,427133.3376934600,노래연습장업,유통관련업,,유흥업소밀집지역,97.280,,,근린생활시설,1.00,30.000,2,,N,Y,N,N,N,Y,,,,
뮤직Q코인노래연습장,폐업,20170126,"경기도 시흥시 은행로167번길 3, 402호 (대야동, 대원빌딩)",경기도 시흥시 대야동 578-3 402호,14914,031-318-1037,37.4454446818,126.7982075509,,20221005,,,,182071.7225068410,438163.2761234350,노래연습장업,유통관련업,,,155.660,,,근린생활시설,2.00,43.000,16,15,,Y,,Y,,,,,,일반상업지역
뮤직Q코인노래연습장 2호점,영업중,20081219,"경기도 시흥시 은행로 154 (은행동,지층)",경기도 시흥시 은행동 529-6 지층,14916,,37.4447408301,126.7995933280,,,,,,182195.5383531510,438084.7016113690,노래연습장업,유통관련업,9,유흥업소밀집지역,221.930,7,2,근린생활시설,2.00,50.000,20,2,Y,Y,Y,Y,Y,N,,,,준주거지역
미미 노래연습장,폐업,20021122,"경기도 시흥시 시흥대로 1122  (신천동,(2층))",경기도 시흥시 신천동 83-11 (2층),14950,,37.4355755060,126.7915823685,,20050204,,,,181486.9910325920,437071.8120343430,노래연습장업,유통관련업,6,주택가주변,,5,1,,,,,,N,Y,N,Y,N,Y,,,,
미소노래연습장,영업중,19990803,경기도 시흥시 시흥대로1074번길 11 (은행동),경기도 시흥시 은행동 289-5,14921,,37.4317419177,126.7943761074,,,,,,181731.1623282460,436643.0754664630,노래연습장업,유통관련업,,,212.950,,,,,,9,3,N,N,N,Y,N,N,,,,
민희노래연습장,폐업,20051128,"경기도 시흥시 함송로 24 (정왕동,외1필지,204호)","경기도 시흥시 정왕동 1882-4 외1필지,204호",15020,031-499-4045,37.3632151301,126.7303936899,,20251106,,,,176034.1460091850,429060.8606738410,노래연습장업,유통관련업,,기타,91.800,,,근린생활시설,1.00,50.000,5,2,N,N,N,,N,N,,,,일반상업지역
바다노래연습장,영업중,20020330,"경기도 시흥시 오이도로 203 (정왕동,4층)",경기도 시흥시 정왕동 2030-9 4층,15015,,37.3428244619,126.6870127742,,,,,,172195.3190124950,426800.4305953400,노래연습장업,유통관련업,,기타,138.120,,,근린생활시설,,,6,,N,N,N,,N,N,,,,일반주거지역
바바 노래연습장,영업중,20020109,"경기도 시흥시 평안상가2길 18, 2층 201호 (정왕동)",경기도 시흥시 정왕동 1624-5 201호,15062,,37.3375405477,126.7480517966,,,,,,177602.4318762580,426198.3334190510,노래연습장업,유통관련업,,유흥업소밀집지역,91.520,,,근린생활시설,,,3,,N,N,N,,N,N,,,,
발리노래연습장,폐업,20051018,"경기도 시흥시 중심상가로 39  (정왕동,3층)",경기도 시흥시 정왕동 1859-6 3층,15040,,37.3528545057,126.7229005711,,20061027,,,,175378.8796276250,427904.9821902660,노래연습장업,유통관련업,,유흥업소밀집지역,247.480,,,근린생활시설,,,,,N,N,N,N,N,N,,,,일반상업지역
방가방가 노래연습장,폐업,20021224,"경기도 시흥시 신천3길 40-1  (신천동,지하1층)",경기도 시흥시 신천동 758-13 지하1층,14948,031-316-1146,37.4388286823,126.7816976126,,20220920,,,,180612.2730059670,437433.3471446640,노래연습장업,유통관련업,4,,275.200,3,1,근린생활시설,,,,,N,N,N,Y,N,N,,,,
배곧노래연습장,영업중,20170731,"경기도 시흥시 배곧3로 96, 301호 (배곧동)",경기도 시흥시 배곧동 199-2 M-플러스 301호,15011,,37.3697764139,126.7302927867,,,,,,176060.7069230150,429766.4175745640,노래연습장업,유통관련업,,,149.160,,,,,116.000,6,3,,Y,Y,Y,,,,,,
배꼽노래연습장,영업중,20160622,"경기도 시흥시 월곶중앙로 59, 301,302호 (월곶동, 월곶프라자)","경기도 시흥시 월곶동 1014-3 301,302호",14963,,37.3885516352,126.7386183971,,,,,,176782.5193722570,431860.9012501680,노래연습장업,유통관련업,,유흥업소밀집지역,177.760,,,,,,9,,,,,Y,,,,,,준주거지역
배꼽티노래연습장,영업중,20141120,"경기도 시흥시 봉우재로 10, 3층 (정왕동)",경기도 시흥시 정왕동 1593-6,15057,,37.3441430376,126.7430974780,,,,,,177166.3236306670,426931.8584869770,노래연습장업,유통관련업,,기타,129.600,,,근린생활시설,,,5,,,Y,,,,,,,,일반주거지역
배철수 노래연습장,등록취소,20010822,경기도 시흥시 도일로 143  (거모동),경기도 시흥시 거모동 1756-7,15070,031-492-8229,37.3430163857,126.7851288496,20110208,,,,,180889.0264019450,426798.1012720620,노래연습장업,유통관련업,,,184.530,,,,,,,,N,N,N,,N,N,,,,
배철수 노래연습장,영업중,20030206,"경기도 시흥시 평안상가2길 26-1  (정왕동,3층)",경기도 시흥시 정왕동 1782-7 3층,15062,031-499-1969,37.3368061769,126.7473817955,,,,,,177541.0366429120,426119.4238861950,노래연습장업,유통관련업,,유흥업소밀집지역,102.740,,,,,,,,N,Y,N,N,N,Y,,,,
백락문노래연습장,영업중,20090625,"경기도 시흥시 정왕천로411번길 18 (정왕동,지하)",경기도 시흥시 정왕동 1192-6 지하,15052,031-504-1520,37.3452900772,126.7505373476,,,,,,177824.2532429530,427058.4330363830,노래연습장업,유통관련업,5,주택가주변,127.940,4,1,근린생활시설,1.00,50.000,5,1,Y,Y,Y,,,,,,,일반주거지역
백만불 노래연습장,영업중,20010119,경기도 시흥시 중심상가로 185  (정왕동),경기도 시흥시 정왕동 1737-7,15066,031-432-9889,37.3448179292,126.7359103278,,,,,,176532.0398078670,427010.1853829600,노래연습장업,유통관련업,,,64.440,,,,,,,,N,N,N,N,N,N,,,,
백악관노래연습장,폐업,20031208,"경기도 시흥시 하중로 130  (하중동,(2층))",경기도 시흥시 하중동 829-2 (2층),14975,,37.3989735213,126.8002341623,,20070621,,,,182240.6233646320,433004.3959547110,노래연습장업,유통관련업,,아파트지역,227.370,,,근린생활시설,1.00,40.000,9,1,N,Y,Y,Y,Y,Y,,,,
뱅뱅 노래연습장,폐업,20020729,"경기도 시흥시 중심상가로 49  (정왕동,(3층))",경기도 시흥시 정왕동 1859-20 (3층),15040,,37.3523288135,126.7238318533,,20061114,,,,175459.6994211740,427844.9672536080,노래연습장업,유통관련업,5,,,5,,근린생활시설,,,,,N,N,N,N,N,N,,,,
뱅크 노래연습장,폐업,19990609,"경기도 시흥시 진말로 20 (장곡동,(2층))",경기도 시흥시 장곡동 823-1 (2층),15002,031-317-0374,37.3791022015,126.7857917203,,20190711,,,,180958.0860343940,430802.8504162610,노래연습장업,유통관련업,2,아파트지역,166.000,2,,근린생활시설,,,,,N,N,N,Y,N,N,,,,
뱅크노래연습장,영업중,20070911,"경기도 시흥시 삼미시장4길 18-1 (신천동,3층)",경기도 시흥시 신천동 740-9 3층,14948,,37.4398897990,126.7827726727,,,,,,180706.0309409670,437549.9686643360,노래연습장업,유통관련업,5,주택가주변,145.400,4,1,근린생활시설,1.00,50.000,7,5,N,N,N,Y,N,N,,,,일반주거지역
벌떼노래연습장,영업중,20030409,"경기도 시흥시 군자로 474 (거모동,외1 (2층))",경기도 시흥시 거모동 1728-6 외1 (2층),15071,,37.3472228121,126.7831470399,,,,,,180721.6093270980,427258.3408714030,노래연습장업,유통관련업,,아파트지역,165.000,,,근린생활시설,1.00,,7,,N,Y,N,,N,Y,,,,
베르사유 노래연습장,폐업,19980811,"경기도 시흥시 월곶중앙로70번안길 19  (월곶동,지층)",경기도 시흥시 월곶동 1004-9 지층,14966,031-318-4411,37.3903273437,126.7411907637,,20070823,,,,177011.1210388910,432058.4179234010,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
베베 노래연습장,폐업,19971013,경기도 시흥시 시흥대로1073번길 33 (신천동),경기도 시흥시 신천동 874-1,14951,031-314-4245,37.4320488519,126.7888833092,,20220311,,,,181255.1645198710,436676.8047360310,노래연습장업,유통관련업,,,73.900,,,,,,7,3,N,N,N,Y,N,N,,,,
베트남가요노래연습장,영업중,20110915,"경기도 시흥시 군서마을로 58-1 (정왕동,(지하1층))",경기도 시흥시 정왕동 1210-10 (지하1층),15052,,37.3465489627,126.7458055461,,,,,,177406.3101868040,427198.2375714340,노래연습장업,유통관련업,,,147.250,,,,,,5,,,,,,,,,,,
베트남노래연습장,폐업,20110719,"경기도 시흥시 중심상가3길 14, 401호 (정왕동,4층)",경기도 시흥시 정왕동 1737-4 4층 401호,15066,,37.3449024731,126.7364400969,,20250103,,,,176576.4167113440,427019.9910128130,노래연습장업,유통관련업,6,유흥업소밀집지역,109.080,4,2,근린생활시설,1.00,40.000,4,,,Y,,,,,,,,일반상업지역
벤츠노래연습장,영업중,20110721,"경기도 시흥시 옥구상가2길 16 (정왕동,지하1층)",경기도 시흥시 정왕동 1859-5 지하1층,15040,,37.3529550584,126.7231140656,,,,,,175394.8949053510,427916.9340360390,노래연습장업,유통관련업,5,유흥업소밀집지역,163.670,4,1,근린생활시설,1.00,40.000,2,,,Y,,,,,,,,일반상업지역
벨라지오노래연습장,폐업,20040409,경기도 시흥시 연성로13번길 4 (하중동),경기도 시흥시 하중동 874-1,14976,,37.3905131662,126.8054076656,,20150619,,,,182697.8975707940,432064.0582175170,노래연습장업,유통관련업,,기타,165.630,,,근린생활시설,1.00,40.000,5,,Y,Y,,,,,,,,일반상업지역
별 노래연습장,영업중,20111206,"경기도 시흥시 대은로 81, 202호 (대야동)",경기도 시흥시 대야동 573-2 202호,14914,,37.4447000348,126.7972761971,,,,,,181992.1913751860,438080.1941277930,노래연습장업,유통관련업,,,101.560,2,,,,,5,2,,Y,,Y,,,,,,
별 노래연습장,영업중,20160627,"경기도 시흥시 배곧4로 32-27, 202,203호 (배곧동)","경기도 시흥시 배곧동 47 202,203호",15010,,37.3776954647,126.7255471026,,,,,,176765.5417237360,430507.4977112820,노래연습장업,유통관련업,,,239.580,,,,,,10,3,,Y,,Y,,,,,,
별 노래연습장,영업중,20100402,"경기도 시흥시 진말로3번길 16 (장곡동,2층 201호 일부)",경기도 시흥시 장곡동 812-2 2층 201호 일부,15002,031-495-6677,37.3778904736,126.7836571828,,,,,,180768.5589813170,430666.7786227410,노래연습장업,유통관련업,9,주택가주변,270.000,7,2,근린생활시설,1.00,40.000,8,2,Y,Y,,Y,,,,,,일반상업지역
별 코인노래연습장,영업중,20250911,"경기도 시흥시 오이도로 165, 2층 (정왕동)",경기도 시흥시 정왕동 2003-24 2층호,15015,,37.3461678757,126.6882299232,,,,,,172304.8928158620,427171.2018621330,노래연습장업,유통관련업,,,133.920,,,,,,2,2,,,,Y,,,,,,
별노래연습장,영업중,20230410,"경기도 시흥시 거북섬둘레길 5-14, 505호 (정왕동)",경기도 시흥시 정왕동 2707,15119,,37.3256065535,126.6763289567,,,,,,171243.6684059330,424894.9307622390,노래연습장업,유통관련업,,,96.400,,,,,,2,,,,,,,,,,,
별밤노래연습장,영업중,20230613,"경기도 시흥시 능곡번영길 30, 301, 302호 (능곡동)",경기도 시흥시 능곡동 898-5,14999,,37.3702036074,126.8066452799,,,,,,182800.7839266130,429794.8822090760,노래연습장업,유통관련업,,,201.120,,,,,,8,1,,,,Y,,,,,,
별밤노래연습장,영업중,20180730,"경기도 시흥시 정왕대로233번길 12, 평화빌딩 2층 (정왕동)",경기도 시흥시 정왕동 1610-5 평화빌딩,15056,,37.3460001805,126.7403353471,,,,,,176922.2356101320,427137.4675390730,노래연습장업,유통관련업,,,157.120,,,,,,5,,,,,Y,,,,,,
별천지 노래연습장,폐업,19980824,경기도 시흥시 삼미시장3길 16  (신천동),경기도 시흥시 신천동 739-5,14948,031-312-6060,37.4399676615,126.7837214832,,20051212,,,,180789.8566869160,437560.3035816630,노래연습장업,유통관련업,,,,,,근린생활시설,,,,,N,N,N,N,N,Y,,,,
보그 노래연습장,폐업,19980116,경기도 시흥시 호현로10번길 15-5  (신천동),경기도 시흥시 신천동 707-20,14910,031-312-3888,37.4414986014,126.7849842919,,20070912,,,,180902.1940960290,437728.0108425430,노래연습장업,유통관련업,,,,,,근린생활시설,,,,,N,N,N,N,N,Y,,,,
보라보라 노래연습장,영업중,20090714,"경기도 시흥시 월곶해안로 115, 203호 (월곶동)",경기도 시흥시 월곶동 1013-7 203호,14963,,37.3886050367,126.7343252018,,,,,,176402.0962387430,431869.0259054550,노래연습장업,유통관련업,12,,73.660,10,2,근린생활시설,2.00,50.000,4,,Y,Y,,,,,,,,준주거지역
보물선 노래연습장,폐업,20010807,경기도 시흥시 월곶해안로 29-2 (월곶동),경기도 시흥시 월곶동 991-1,14968,,37.3946323820,126.7394832757,,20150706,,,,176857.5944285690,432539.8743763260,노래연습장업,유통관련업,,,231.240,,,,,,,,N,N,N,,N,N,,,,
보물선노래연습장,영업중,20151229,"경기도 시흥시 월곶해안로 29-2, 3층 (월곶동)",경기도 시흥시 월곶동 991-1 3층,14968,,37.3946323820,126.7394832757,,,,,,176857.5944285690,432539.8743763260,노래연습장업,유통관련업,,,231.240,,,,,,9,,,,,,,,,,,
보보노래연습장,영업중,19990904,"경기도 시흥시 중심상가로 162, 302호 (정왕동,3층)",경기도 시흥시 정왕동 1731-15 3층 302호,15036,031-432-9466,37.3458208530,126.7334953850,,,,,,176315.1183417990,427117.9214547770,노래연습장업,유통관련업,,,177.920,,,근린생활시설,,,1,,N,N,N,,N,N,,,,
보스 노래연습장,폐업,20030519,"경기도 시흥시 중심상가로 152  (정왕동,(201호))",경기도 시흥시 정왕동 1731-5 (201호),15036,,37.3463743219,126.7326655793,,20070109,,,,176237.1305649860,427181.3013914230,노래연습장업,유통관련업,,유흥업소밀집지역,,,,근린생활시설,1.00,30.000,2,,N,Y,N,N,N,Y,,,,
볼륨업코인노래연습장,영업중,20170116,"경기도 시흥시 진말로3번길 16, 301호 (장곡동)",경기도 시흥시 장곡동 812-2 301호,15002,,37.3778904736,126.7836571828,,,,,,180768.5589813170,430666.7786227410,노래연습장업,유통관련업,6,,153.190,6,2,근린생활시설,,51.000,17,17,,,,Y,,,,,,일반상업지역
봉황노래연습장,영업중,20021031,"경기도 시흥시 정왕천로411번길 38 (정왕동,(2층))",경기도 시흥시 정왕동 1187-10 (2층),15052,031-434-1062,37.3464500393,126.7486742334,,,,,,177659.9638091780,427186.4027567140,노래연습장업,유통관련업,,주택가주변,110.630,,,,,,5,,N,N,N,,N,N,,,,
부킹 노래연습장,영업중,20020812,"경기도 시흥시 군서로 25  (정왕동,(지하1층))",경기도 시흥시 정왕동 1213-4 (지하1층),15052,031-432-9808,37.3448469933,126.7488934246,,,,,,177679.7787172720,427009.4113457720,노래연습장업,유통관련업,4,,122.790,3,1,근린생활시설,,,,,N,N,N,Y,N,N,,,,
부킹노래연습장,영업중,20030626,"경기도 시흥시 오이도로 197 (정왕동,(4층))",경기도 시흥시 정왕동 2030-14 (4층),15015,,37.3434027676,126.6872210428,,,,,,172214.1471917780,426864.7413808930,노래연습장업,유통관련업,,주택가주변,122.690,,,근린생활시설,1.00,32.000,5,1,N,Y,Y,,N,Y,,,,
부킹노래연습장,폐업,20010821,경기도 시흥시 옥구상가3길 15-7  (정왕동),경기도 시흥시 정왕동 1859-4,15040,031-433-1242,37.3530820569,126.7232369591,,20070914,,,,175405.9941965620,427931.1264414230,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
북새통 노래연습장,영업중,19980924,"경기도 시흥시 복지로 93 (대야동,(지하1))",경기도 시흥시 대야동 443-3 (지하1),14906,031-315-0013,37.4475398997,126.7913369319,,,,,,181466.8550062380,438397.4329122530,노래연습장업,유통관련업,,주택가주변,140.190,,,,,,6,1,N,N,N,,N,N,,,,
불가리노래연습장,영업중,20040511,"경기도 시흥시 정왕천로411번길 39 (정왕동,2층)",경기도 시흥시 정왕동 1204 2층,15052,,37.3463848676,126.7483474687,,,,,,177632.0950012030,427180.0912541230,노래연습장업,유통관련업,4,기타,124.560,,,근린생활시설,,,5,,,,,,,,,,,일반주거지역
불야성노래연습장,영업중,20001108,"경기도 시흥시 정왕천로411번길 6 (정왕동,(지하1))",경기도 시흥시 정왕동 1194-10 (지하1),15052,,37.3446834026,126.7515255976,,,,,,177911.0343373260,426990.8236471830,노래연습장업,유통관련업,,,97.830,,,,,,6,,N,N,N,,N,N,,,,
불티 노래연습장,영업중,19950414,경기도 시흥시 복지로43번길 28 (지하1)동 (대야동),경기도 시흥시 대야동 486-12 (지하1)동,14909,031-313-0351,37.4444996111,126.7863914549,,,,,,181028.4180320090,438062.3322735370,노래연습장업,유통관련업,,주택가주변,141.430,,,근린생활시설,,,,,N,N,N,Y,N,Y,,,,
브이 노래연습장,영업중,20040130,"경기도 시흥시 군서로28번길 11 (정왕동,지층)",경기도 시흥시 정왕동 1189-10 지층,15052,,37.3459503924,126.7494808074,,,,,,177732.0063221290,427130.2837069270,노래연습장업,유통관련업,,기타,130.000,,,근린생활시설,,,1,,N,N,N,,N,N,,,,일반주거지역
