bizplc_nm,licensg_ymd,licensg_rtrcn_ymd,bsn_state_div,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,xcrd_vl,ycrd_vl,cultur_phstrn_indutype_nm,cultur_bizman_div_nm,region_div_nm,tot_floor_cnt,circumfr_envrn_nm,buldng_purpos_nm,ground_floor_cnt,bsmnt_floor_cnt,ship_tot_tonge,ship_spec_cont,mtngrm_atstm_aceptnc_psncnt,playfaclt_cnt,infodesk_extno,subfaclt_info
소극장 울림터,20170501,,13,영업중,,,16261,"경기도 수원시 팔달구 정조로 767-4, 지환빌딩 4층 (팔달로3가)",경기도 수원시 팔달구 팔달로3가 90 지환빌딩 4층,16261,37.2766739445,127.0163950283,,201381.775478264,419412.064145016,공연장,공연장,,,,근린생활시설,,,,,,,,
윤아트홀,20190605,,13,영업중,,031-222-2570,16489,"경기도 수원시 팔달구 권광로207번길 28, 계성빌딩 1층 (인계동)",경기도 수원시 팔달구 인계동 1036-11 계성빌딩 1층호,16489,37.2666677918,127.0319216868,,202759.042646832,418299.340946905,공연장,공연장,,,,,,,,,,,,
진아트센터,20200608,,13,영업중,,,16524,"경기도 수원시 영통구 매영로39번길 5, 지하1층 (매탄동)",경기도 수원시 영통구 매탄동 198-91,16524,37.2695665102,127.0471752666,,204112.707608014,418626.431532143,공연장,공연장,,,,,,,,,,,,
레이크아트홀,20220729,,13,영업중,,031-216-7179,16517,"경기도 수원시 영통구 광교호수공원로 277, B1층 215호 (원천동, 광교중흥에스클래스)",경기도 수원시 영통구 원천동 589 광교중흥에스클래스,16517,37.2835532241,127.0559244312,,205026.079641798,420062.878231009,공연장,공연장,,,,,,,,,,,,
정조테마공연장,20230711,,13,영업중,,,16261,경기도 수원시 팔달구 정조로 817 (팔달로1가),경기도 수원시 팔달구 팔달로1가 134,16261,37.2810083733,127.0160852835,,201309.682020675,419895.462515019,공연장,공연장,,3,,문화시설,1,2,,,,,,
빛누리아트홀,20240520,,13,영업중,,031-244-2161,,경기도 수원시 권선구 호매실로 237,경기도 수원시 권선구 호매실동 1366,16401,37.2654101463,126.9569408494,,196085.309522456,418162.313200542,공연장,공연장,,,,,,,,,,,,
서현유스센터 공연장,20041112,,13,영업중,,031-729-9400,,경기도 성남시 분당구 불정로386번길 38 (서현동),경기도 성남시 분당구 서현동 312-5 지하2층호,463819,37.3721564759,127.139894468,,212310.746693257,430014.453481443,공연장,공연장,근린상업지역,,,교육연구시설,,,,,,,,
정자유스센터 공연장,20050509,,13,영업중,,,,경기도 성남시 분당구 성남대로407번길 12 (정자동),경기도 성남시 분당구 정자동 6-1 4층,463811,37.3727615925,127.1063249576,,209355.215,430082.73,공연장,공연장,중심상업지역,6,,교육연구시설,5,1,,,,,,
오페라하우스,20051013,,13,영업중,,,,경기도 성남시 분당구 성남대로 808 (야탑동),경기도 성남시 분당구 야탑동 757,463839,37.402459699,127.1307557035,,211576.248934562,433399.261065854,공연장,공연장,,4,,,3,1,,,,,,
콘서트홀,20051013,,13,영업중,,,,경기도 성남시 분당구 성남대로 808 (야탑동),경기도 성남시 분당구 야탑동 757,463839,37.402459699,127.1307557035,,211576.248934562,433399.261065854,공연장,공연장,,3,,,2,1,,,,,,
앙상블시어터,20051013,,13,영업중,,,,경기도 성남시 분당구 성남대로 808 (야탑동),경기도 성남시 분당구 야탑동 757,463839,37.402459699,127.1307557035,,211576.248934562,433399.261065854,공연장,공연장,,3,,,2,1,,,,,,
판교유스센터,20100812,,13,영업중,,,,경기도 성남시 분당구 운중로225번길 37 (판교동),경기도 성남시 분당구 판교동 553,463410,37.391988655,127.09058916,,207966.994204872,432642.250561017,공연장,공연장,보전녹지지역,4,기타,교육연구시설,3,1,,,,,,
나래울극장,20120514,,13,영업중,,031-696-8400,,"경기도 성남시 분당구 분당수서로 501 (정자동, 한국잡월드)",경기도 성남시 분당구 정자동 4-6 한국잡월드,463811,37.3784854065,127.106340222,,209342.886389888,430718.837749354,공연장,공연장,주거지역,1,아파트지역,근린생활시설,4,2,,,,,,
성음아트센터,20190502,,13,영업중,,031-703-2064,13536,"경기도 성남시 분당구 판교역로14번길 15, 성음아트센터 4층 (백현동)",경기도 성남시 분당구 백현동 577 성음아트센터,13536,37.3850268654,127.111016508,,209758.896177196,431451.726718146,공연장,공연장,,4,,,3,,,,,,,
야탑유스센터 공연장,20200604,,13,영업중,,031-729-9813,13503,"경기도 성남시 분당구 벌말로30번길 35, 분당야탑청소년수련관 (야탑동)",경기도 성남시 분당구 야탑동 262,13503,37.4102005182,127.1418255237,,212487.41781675,434237.938895246,공연장,공연장,,8,,기타,6,2,,,,,,
성남아트리움 대극장,20220223,,13,영업중,,031-783-8000,13290,"경기도 성남시 수정구 수정로171번길 10, 성남시의료원 아트리움동 1층 (태평동)",경기도 성남시 수정구 태평동 3309 성남시의료원,13290,37.4448498671,127.1390489311,,212249.047353812,438077.510365737,공연장,공연장,준주거지역,6,주택가주변,문화시설,2,4,,,,,,
성남아트리움 소극장,20220223,,13,영업중,,031-783-8000,13290,"경기도 성남시 수정구 수정로171번길 10, 성남시의료원 아트리움동 (태평동)",경기도 성남시 수정구 태평동 3309 성남시의료원,13290,37.4448498671,127.1390489311,,212249.047353812,438077.510365737,공연장,공연장,준주거지역,6,주택가주변,문화시설,2,4,,,,,,
성남물빛정원 뮤직홀,20260114,,13,영업중,,031-711-2651,13637,"경기도 성남시 분당구 탄천상로 102, 성남물빛정원 뮤직홀 (구미동)",경기도 성남시 분당구 구미동 195,13637,37.340892881,127.1137915424,,209995.847704471,426558.567417618,공연장,공연장,,,기타,문화시설,1,1,,,,,,
의정부예술의전당 소극장,20021217,,13,영업중,,031-828-5840,11622,"경기도 의정부시 의정로 1, 의정부예술의전당 (의정부동)",경기도 의정부시 의정부동 323 의정부예술의전당,11622,37.7334540146,127.0340829964,,202922.47228199,470143.928634508,공연장,공연장,,3,기타,,3,2,,,,,,
의정부예술의전당 대극장,20021217,,13,영업중,,031-828-5840,11622,"경기도 의정부시 의정로 1, 의정부예술의전당 (의정부동)",경기도 의정부시 의정부동 323 의정부예술의전당,11622,37.7334540146,127.0340829964,,202922.47228199,470143.928634508,공연장,공연장,자연녹지지역,3,기타,문화시설,3,2,,,,,,
SKY공연홀,20140319,,13,영업중,,031-874-3953,,경기도 의정부시 호국로 지하 1320 (의정부동),경기도 의정부시 의정부동 185-2,480843,37.7435059364,127.0508979742,,204416.104986737,471226.445744498,공연장,공연장,,6,기타,근린생활시설,6,1,,,,,,
의정부아트캠프,20190515,,13,영업중,,031-850-5130,11696,경기도 의정부시 평화로493번길 48 (의정부동),경기도 의정부시 의정부동 142-13,11696,37.7377061212,127.0474146763,,204105.259750824,470624.177951042,공연장,공연장,보전녹지지역,2,기타,문화시설,2,,,,,,,
의정부우리소극장,20200805,,13,영업중,,031-853-4489,11815,"경기도 의정부시 용민로 483, 보광프라자 4층 406호 (민락동)",경기도 의정부시 민락동 902-4 보광프라자 406호,11815,37.7507822422,127.1181228997,,210339.484588978,472039.300486385,공연장,공연장,일반주거지역,,아파트지역,근린생활시설,,,,,,,,
안양아트센터 수리홀,20021230,,13,영업중,,031-687-0500,,경기도 안양시 만안구 문예로36번길 16 (안양동),경기도 안양시 만안구 안양동 550,430821,37.3846057882,126.9313328724,,,,공연장,공연장,,,,,,,,,,,,
평촌아트홀,20041119,,13,영업중,,031-687-0555,,경기도 안양시 동안구 평촌대로 76 (호계동),경기도 안양시 동안구 호계동 1112,431800,37.3799811839,126.9640224898,,196767.109570153,430835.245872342,공연장,공연장,,5,,문화시설,3,2,,,,,,
부천시민회관소공연장,20021230,,13,영업중,,,,경기도 부천시 원미구 부일로 365 (중동),경기도 부천시 원미구 중동 788,420845,37.4886329267,126.770655999,,179653.946853008,442966.363508441,공연장,공연장,일반주거지역,,아파트지역,문화시설,,,,,,,,
복사골문화센터아트홀,20021230,,13,영업중,,,,경기도 부천시 원미구 장말로 107 (상동),경기도 부천시 원미구 상동 394-2,420812,37.4946603891,126.7543640389,,178200.698566138,443639.87710721,공연장,공연장,,,,,,,,,,,,
오정아트홀,20050425,,13,영업중,,,14434,경기도 부천시 오정구 성오로 172 (오정동),경기도 부천시 오정구 오정동 129,421170,37.5277281277,126.7965432968,,181901.860293291,447332.312879762,공연장,공연장,,,,,,,,,,,,
상록소극장 <보노마루>,20200810,,13,영업중,,031-481-0571,15535,"경기도 안산시 상록구 본오로 182, 소규모공연장 (본오동)",경기도 안산시 상록구 본오동 1111 소규모공연장,15535,37.3012819804,126.8673290404,,188182.857433058,422148.197531479,공연장,공연장,,,,,,,,,,,,
고양시문예회관,20040207,,13,영업중,,,,경기도 고양시 덕양구 고양시청로 10 (주교동),경기도 고양시 덕양구 주교동 600,412811,37.6584112959,126.8319654608,,185120.947042878,461764.170578056,공연장,공연장,,5,,,4,1,,,,,,
어울림극장,20040826,,13,영업중,,1577-7766,,경기도 고양시 덕양구 어울림로 33 (성사동),경기도 고양시 덕양구 성사동 777,412808,37.6503465173,126.8355292167,,185337.886294516,460842.496478366,공연장,공연장,,,,,,,,,,,,
별모래극장,20040826,,13,영업중,,1577-7766,,경기도 고양시 덕양구 어울림로 33 (성사동),경기도 고양시 덕양구 성사동 777,412808,37.6503465173,126.8355292167,,185337.886294516,460842.496478366,공연장,공연장,,,,,,,,,,,,
부천시민회관대공연장,20021230,,13,영업중,,,,경기도 부천시 원미구 부일로 365 (중동),경기도 부천시 원미구 중동 788,420845,37.4886329267,126.770655999,,179653.946853008,442966.363508441,공연장,공연장,일반주거지역,,아파트지역,문화시설,,,,,,,,
복사골문화센터판타지아극장,20021230,,13,영업중,,,14596,"경기도 부천시 원미구 장말로 107, 1층 (상동, 복사골문화센터)",경기도 부천시 원미구 상동 394-2,14596,37.4946603891,126.7543640389,,178200.698566138,443639.87710721,공연장,공연장,,,,문화시설,,,,,,,,
토당청소년수련관,20031010,,13,영업중,,,10512,"경기도 고양시 덕양구 중앙로633번길 25, 고양시청소년수련관 (토당동)",경기도 고양시 덕양구 토당동 3-39 고양시청소년수련관,10512,37.625887736,126.829740872,,184738.891989859,458058.544559061,공연장,공연장,자연녹지지역,4,,복지시설,3,1,,,,,,
소극장 극예술공간,20220325,,13,영업중,,032-655-8815,14638,"경기도 부천시 원미구 부천로 66, 지층 (심곡동)",경기도 부천시 원미구 심곡동 157-8,14638,37.4900775182,126.7843178652,,180854.299710084,443117.459484661,공연장,공연장,,4,,근린생활시설,3,1,,,,,,
광명 시민회관 공연장,20030616,,13,영업중,,26802562,,"경기도 광명시 시청로 20 (철산동, 광명시민회관)",경기도 광명시 철산동 222-1,423833,37.4778909462,126.864666872,,187956.278515903,441724.894707553,공연장,공연장,,,,,3,1,,,,,,
양평물빛극장,20250111,,13,영업중,,031-770-2594,12546,"경기도 양평군 양평읍 마유산로 1, 양평 도서관",경기도 양평군 양평읍 양근리 509 양평 도서관,12546,37.4967871787,127.4845125299,,242807.465854855,443910.04662866,공연장,공연장,,,,,,,,,,,,
광명오픈아트홀,20101028,,13,영업중,,26802888,,경기도 광명시 오리로 703 (하안동),경기도 광명시 하안동 577,423844,37.4636797532,126.8703166748,,188557.902034387,439990.066556875,공연장,공연장,,2,기타,문화시설,1,1,,,,,,
씨티극장,19980310,,13,영업중,,,,경기도 평택시 평택로57번길 4  (평택동),경기도 평택시 평택동 55-11,450826,36.9923870139,127.0857623865,,207565.037714545,387863.705383338,공연장,공연장,,,,,,,,,,,,
평택시 남부문예회관,20030104,,13,영업중,,80245411,,경기도 평택시 중앙로 277 (비전동),경기도 평택시 비전동 847,450810,36.9911212708,127.1140767512,,210073.288596236,387722.106605145,공연장,공연장,,,,,,,,,,,,
지영희홀(한국소리터),20150401,,13,영업중,,031-683-3891,,경기도 평택시 현덕면 평택호길 147,경기도 평택시 현덕면 권관리 302-1,451811,36.9211325623,126.9208602354,,192915.420227969,380015.235109254,공연장,공연장,상업지역,4,기타,문화시설,3,1,,,,,,
시민회관 공연장,20021221,,13,영업중,,031-860-3241,,경기도 동두천시 어수로 4 (상패동),경기도 동두천시 상패동 122,483120,37.9053331012,127.0430797486,,203739.973618452,489192.995873123,공연장,공연장,,,,,,,,,,,,
문예관,20021217,,13,영업중,,031-880-1881,,경기도 여주시 명성로 71 (능현동),경기도 여주시 능현동 257,469802,37.2596759342,127.6554257107,,258233.478548536,417798.329526525,공연장,공연장,,2,,문화시설,1,1,,,,,,
누림아트홀,20170302,,13,영업중,,031-8015-8100,18274,"경기도 화성시 만세구 남양읍 시청로 155, 모두누림센터",경기도 화성시 만세구 남양읍 남양리 2147 모두누림센터,18274,37.198842234,126.8286111109,,184752.261819496,410798.11459383,공연장,공연장,,,,,,,,,,,,
화성예술의전당,20251219,,13,영업중,,031-8015-8100,18480,경기도 화성시 동탄구 노작로 11-1 (오산동),경기도 화성시 동탄구 오산동  567,18480,37.1926672116,127.0863834403,,207616.30654207,410116.399856535,공연장,공연장,자연녹지지역,4,기타,문화시설,3,1,,,,,,
유나이티드 아트홀,20220127,,13,영업중,,,12808,"경기도 광주시 도척면 독고개길 230, 한국유나이티드제약연수원 4동 1층",경기도 광주시 도척면 궁평리 855 한국유나이티드제약연수원,12808,37.3444733228,127.3041392559,,226884.362894935,426999.952918678,공연장,공연장,,,,문화시설,,,,,,,,
동춘서커스 공연장,20170804,,13,영업중,,02-452-3112,,경기도 안산시 단원구 대부황금로 1426,경기도 안산시 단원구 대부북동 1849-31,15638,37.2834626602,126.569836792,,161780.366428694,420251.657257564,공연장,공연장,,1,기타,,1,,,,,,,
포천반월아트홀 소극장,20220602,,13,영업중,,,11151,경기도 포천시 군내면 청성로 111,경기도 포천시 군내면 하성북리 610,11151,37.8961166398,127.2124468445,,218594.156292548,488146.454912381,공연장,공연장,,,,,,,,,,,,
아이스퀘어공연장,20220719,,13,영업중,,031-608-2600,13449,"경기도 성남시 수정구 창업로 17, 판교아이스퀘어 F동 1층 (시흥동)",경기도 성남시 수정구 시흥동 288-2,13449,37.412114357,127.0978812694,,208613.865984257,434443.112052722,공연장,공연장,일반상업지역,15,기타,근린생활시설,10,5,,,,,,
SOUL(쏘울),20110401,,13,영업중,,031-897-3222,,경기도 용인시 수지구 죽전로144번길 7-5 (죽전동),경기도 용인시 수지구 죽전동 1324,448812,37.3235860734,127.1241892242,,210935.174795299,424626.232797515,공연장,공연장,일반주거지역,,,근린생활시설,,,,,,,,
포은아트홀,20120905,,13,영업중,,031-260-3387,,경기도 용인시 수지구 포은대로 499 (죽전동),경기도 용인시 수지구 죽전동 1003-237,448160,37.3287650241,127.1063175866,,209309.19317962,425198.075163003,공연장,공연장,자연녹지지역,6,주택가주변,문화시설,4,2,,,,,,
경기도어린이박물관 강당,20180417,,13,영업중,,031-270-8600,17072,경기도 용인시 기흥구 상갈로 6 (상갈동),경기도 용인시 기흥구 상갈동 496,17072,37.2667987372,127.1076441891,,209663.476147394,418463.763893937,공연장,공연장,,2,,,2,,,,,,,
용인어린이상상의숲 공연놀이터,20190530,,13,영업중,,031-323-6493,16997,"경기도 용인시 처인구 동백죽전대로 61, 용인시민체육공원 1층 (삼가동)",경기도 용인시 처인구 삼가동 28-6 용인시민체육공원,16997,37.2496234432,127.165161341,,214621.075899143,416487.878255485,공연장,공연장,,,,,,,,,,,,
무이숲 스테이지,20230306,,13,영업중,,031-8051-2900,12636,경기도 여주시 도예로 247 (오학동),경기도 여주시 오학동 47,12636,37.3189490922,127.6575227798,,258231.881573701,424308.6510489,공연장,공연장,관리지역,2,기타,근린생활시설,2,1,,,,,,
세종국악당,20021227,,13,영업중,,031-880-3319,,경기도 여주시 영릉로 125 (하동),경기도 여주시 하동 107-12,469805,37.2969215129,127.6252300415,,255346.251627305,421878.228665149,공연장,공연장,,3,,,2,1,,,,,,
아트 스페이스(Art Space) 다스름,20221215,,13,영업중,,031-886-4023,12624,"경기도 여주시 소양로 33, 여주로타리클럽 지하층 (하동)",경기도 여주시 하동 411-8,12624,37.2956906053,127.629876519,,255775.21470771,421709.41860723,공연장,공연장,,,,,,1,,,,,,
화성아트홀,20090306,,13,영업중,,031-8015-8100,,경기도 화성시 병점구 태안로 145 (병점동),경기도 화성시 병점구 병점동  734,445360,37.2029621951,127.0332619715,,202889.549758854,411254.715223998,공연장,공연장,,7,,문화시설,4,3,,,,,,
반석아트홀,20110506,,13,영업중,,031-8015-8100,,경기도 화성시 동탄구 노작로 134 (반송동),경기도 화성시 동탄구 반송동 108,445160,37.2007035756,127.0750146691,,206803.194832185,410914.932125735,공연장,공연장,,,,,,,,,,,,
민들레놀이극연구소 사랑채극장,20150921,,13,영업중,,031-358-7587,18573,경기도 화성시 만세구 우정읍 이화뱅곳길 22 (마을공동문화관),경기도 화성시 만세구 우정읍 이화리 716-5,18573,37.0396471263,126.7979009247,,181948.768680779,393146.502748857,공연장,공연장,,1,기타,근린생활시설,1,,,,,,,
동탄복합문화센터 야외공연장,20160518,,13,영업중,,031-8015-8100,18459,경기도 화성시 동탄구 노작로 134 (반송동),경기도 화성시 동탄구 반송동  108,18459,37.2007035756,127.0750146691,,206803.194832185,410914.932125735,공연장,공연장,,,,,,,,,,,,
마법의 정원,20170131,,13,영업중,,031-351-5353,18586,경기도 화성시 만세구 장안면 미산길 15,경기도 화성시 만세구 장안면 장안리 199-264,18586,37.0307887931,126.8522426226,,186785.154829169,392130.354484882,공연장,공연장,,,,,,,,,,,,
아이누리극장,20200528,,13,영업중,,031-5183-3200,18316,"경기도 화성시 효행구 봉담읍 동화길 146, 화성시어린이문화센터",경기도 화성시 효행구 봉담읍 동화리 590,18316,37.2122900621,126.9607028761,,196442.631785807,412277.048243634,공연장,공연장,,,,문화시설,1,1,,,,,,
SCN아트홀,20220923,,13,영업중,,,18401,"경기도 화성시 병점구 병점로 37-6, 메트로 프라자 4층 405호 (진안동)",경기도 화성시 병점구 진안동  524-1 메트로 프라자 405호,18401,37.2109324755,127.038340772,,203335.142133784,412121.312831616,공연장,공연장,,,,,,,,,,,,
광주시문화예술의전당 남한산성홀,20110928,,13,영업중,,031-789-5770,,경기도 광주시 행정타운로 50 (송정동),경기도 광주시 송정동 340-1,464903,37.4293101192,127.2550789677,,222446.310289628,436371.182364833,공연장,공연장,,3,,문화시설,2,1,,,,,,
광주시문화예술의전당 맹사성홀,20110928,,13,영업중,,031-789-5770,,,경기도 광주시 송정동 340-1,464903,,,,,,공연장,공연장,,3,,문화시설,2,1,,,,,,
청석에듀씨어터,20140425,,13,영업중,,,,경기도 광주시 청석로 288-9 (쌍령동),경기도 광주시 쌍령동 15-8,464130,37.412325726,127.2672481589,,223586.835172576,434502.848509046,공연장,공연장,,,,,,,,,,,,
양주시 문화예술회관 소공연장,20040727,,13,영업중,,031-828-9723,,경기도 양주시 광적면 부흥로618번길 303 (양주시 문화예술회관),경기도 양주시 광적면 광석리 132 양주시 문화예술회관,482841,37.8133018095,126.9721412673,,197398.224742653,478964.896676841,공연장,공연장,자연녹지지역,3,기타,문화시설,2,1,,,,,,
양주별산대놀이마당 공연장,20040727,,13,영업중,,031-840-9986,,"경기도 양주시 부흥로1399번길 47 (유양동,놀이마당)",경기도 양주시 유양동 262 놀이마당,482140,37.7862072911,127.0315714757,,202693.700147938,475954.161278512,공연장,공연장,,1,,문화시설,1,,,,,,,
조명박물관 공연장,20150612,,13,영업중,,070-7780-8009,,경기도 양주시 광적면 광적로 235-48,경기도 양주시 광적면 석우리 624-8,482839,37.836102126,126.9675239549,,197117.734612245,481545.337255789,공연장,공연장,,,,,,,,,,,,
돈키라이브,20211229,,13,영업중,,,11445,경기도 양주시 평화로 1347 (덕계동),경기도 양주시 덕계동 721-8,11445,37.8113521812,127.0449205736,,203898.147420646,478741.350967828,공연장,공연장,,,,,,,,,,,,
포천반월아트홀 대극장,20040503,,13,영업중,,031-535-3600,,경기도 포천시 군내면 청성로 111,경기도 포천시 군내면 하성북리 596-2,487878,37.8961166398,127.2124468445,,218594.156292548,488146.454912381,공연장,공연장,자연녹지지역,,기타,문화시설,3,,,,,,,
디아나 아트홀,20250901,,13,영업중,,,17118,경기도 용인시 처인구 남사읍 천덕산로111번길 16,경기도 용인시 처인구 남사읍 봉명리 585,17118,37.1167156111,127.11910206,,210537.945228754,401447.052506218,공연장,공연장,,,기타,근린생활시설,,,,,,,,
파주시민회관 소공연장,20030303,,13,영업중,,031-950-8440,,경기도 파주시 시민회관길 33 (아동동),경기도 파주시 아동동 산 31 외 14필지,413020,37.7592016315,126.7807224813,,180598.497993694,472929.52757476,공연장,공연장,관리지역,5,기타,문화시설,5,,,,,,,
문산행복센터 대공연장,20111101,,13,영업중,,031-950-8461,10813,"경기도 파주시 문산읍 통일로 1680, 문산읍행정복지센터",경기도 파주시 문산읍 선유리 1402 문산읍행정복지센터,10813,37.8564780107,126.7909411792,,181478.0770971,483818.41891853,공연장,공연장,,2,,문화시설,2,,,,,,,
운정행복센터 공연장,20130410,,13,영업중,,031-950-8440,,경기도 파주시 와석순환로 415 (와동동),경기도 파주시 와동동 1358,413190,37.7240923851,126.7512642743,,177998.418769144,469076.548577179,공연장,공연장,일반주거지역,10,아파트지역,문화시설,8,2,,,,,,
운정행복센터 다목적홀,20130410,,13,영업중,,031-950-8440,,경기도 파주시 와석순환로 415 (와동동),경기도 파주시 와동동 1358,413190,37.7240923851,126.7512642743,,177998.418769144,469076.548577179,공연장,공연장,일반주거지역,10,아파트지역,문화시설,2,8,,,,,,
꽃메야외극장,20070424,,13,영업중,,1577-7766,,경기도 고양시 덕양구 어울림로 33 (성사동),경기도 고양시 덕양구 성사동 777,412808,37.6503465173,126.8355292167,,185337.886294516,460842.496478366,공연장,공연장,,,,,,,,,,,,
아람극장,20070424,,13,영업중,,1577-7766,10409,"경기도 고양시 일산동구 중앙로 1286, 고양아람누리 (마두동)",경기도 고양시 일산동구 마두동 816 고양아람누리,10409,37.6613085327,126.7731874988,,180046.443977774,462150.330147484,공연장,공연장,,,,,,,,,,,,
아람음악당,20070424,,13,영업중,,1577-7766,10409,"경기도 고양시 일산동구 중앙로 1286, 고양아람누리 (마두동)",경기도 고양시 일산동구 마두동 816 고양아람누리,10409,37.6613085327,126.7731874988,,180046.443977774,462150.330147484,공연장,공연장,,,,,,,,,,,,
새라새극장,20070424,,13,영업중,,,10409,"경기도 고양시 일산동구 중앙로 1286, 고양아람누리 (마두동)",경기도 고양시 일산동구 마두동 816 고양아람누리,10409,37.6613085327,126.7731874988,,180046.443977774,462150.330147484,공연장,공연장,,,,,,,,,,,,
나가수공연장,20120222,,13,영업중,,,10364,"경기도 고양시 일산동구 고봉로 32-36, 정안프라자 303호 (장항동)",경기도 고양시 일산동구 장항동 736-6 정안프라자,10364,37.6635393793,126.7666463819,,179342.892651781,462374.291877451,공연장,공연장,상업지역,1,유흥업소밀집지역,문화시설,,,,,,,,
벧엘뮤직홀,20150518,,13,영업중,,031-915-4550,,경기도 고양시 일산동구 중앙로1261번길 27 (장항동),경기도 고양시 일산동구 장항동 857-2,410837,37.6579407863,126.7722453343,,179846.645073531,461760.928276303,공연장,공연장,근린상업지역,15,기타,문화시설,10,5,,,,,,
통통이소극장(뽀로로파크 킨텍스점),20160830,,13,영업중,,1661-6370,10390,"경기도 고양시 일산서구 킨텍스로 217-59, 킨텍스 제2전시장 1층 (대화동)",경기도 고양시 일산서구 대화동 2700 제2킨텍스,10390,37.6646740405,126.7422467741,,177158.311187542,462546.660972252,공연장,공연장,,1,,,1,,,,,,,
활주로7080공연장,20220530,,13,영업중,,031-915-6458,10364,"경기도 고양시 일산동구 무궁화로 31-16, 남정시티프라자 305호 (장항동)",경기도 고양시 일산동구 장항동 733-2 남정시티프라자,10364,37.6635085418,126.7674856987,,179415.194722872,462371.641551543,공연장,공연장,,,,,,,,,,,,
이앤아이 아트홀,20251201,,13,영업중,,,10381,"경기도 고양시 일산서구 중앙로 1568, 하성프라자 404호 (대화동)",경기도 고양시 일산서구 대화동 2203 하성프라자,10381,37.6763734575,126.7479225208,,177693.645,463804.75,공연장,공연장,,,,근린생활시설,,,,,,,,
삼천리대극장,20021227,,13,영업중,,,,경기도 과천시 광명로 181 (막계동),경기도 과천시 막계동 33,427703,37.4365017609,127.0240724311,,202115.827740088,437231.67242479,공연장,공연장,,,,,,,,,,,,
과천시민회관 소극장,20030225,,13,영업중,,,,경기도 과천시 통영로 5 (중앙동),경기도 과천시 중앙동 6-2,427805,37.4282074501,126.9891095986,,199016.614059421,436206.212449673,공연장,공연장,,,,,,,,,,,,
서울랜드 이벤트홀,20050324,,13,영업중,,,,경기도 과천시 광명로 181 (막계동),경기도 과천시 막계동 33 서울랜드 미래의 나라 내,427703,37.4365017609,127.0240724311,,202115.827740088,437231.67242479,공연장,공연장,,,,,,,,,,,,
보림인형극장,20150924,,13,영업중,,031-955-3488,10881,"경기도 파주시 광인사길 88 (문발동, 보림출판사)",경기도 파주시 문발동 515-2,10881,37.7115742191,126.6861433859,,172259.367232346,467735.280008189,공연장,공연장,준공업지역,2,기타,,2,,,,,,,
아이레벨트라움벨트,20181119,,13,영업중,,031-940-3900,10881,경기도 파주시 회동길 342 (서패동),경기도 파주시 서패동 473-4,10881,37.7156637895,126.6923502483,,172800.517157213,468157.71897369,공연장,공연장,준공업지역,1,,기타,,,,,,,,
밀크북극장,20200225,,13,영업중,,031-944-3966,10881,"경기도 파주시 회동길 121, 302호 (문발동)",경기도 파주시 문발동 532-3 (주)영교,10881,37.7075191558,126.6875717838,,172382.379493278,467271.435958859,공연장,공연장,준공업지역,,,기타,,,,,,,,
이천아트홀 대공연장,20090613,,13,영업중,,031-636-2200,17379,"경기도 이천시 부악로 40, 이천문화재단/이천아트홀 (중리동)",경기도 이천시 중리동 490 이천문화재단/이천아트홀,17379,37.2715590199,127.4341970877,,238455.359693408,418947.377140025,공연장,공연장,,5,,,3,2,,,,,,
안양아트센터 관악홀,20021230,,13,영업중,,031-687-0500,,경기도 안양시 만안구 문예로36번길 16 (안양동),경기도 안양시 만안구 안양동 550,430821,37.3846057882,126.9313328724,,,,공연장,공연장,,,,,,,,,,,,
경기아트센터 대극장,20021230,,13,영업중,,031-230-3272,,경기도 수원시 팔달구 효원로307번길 20 (인계동),경기도 수원시 팔달구 인계동,442070,37.2614188559,127.0380891883,,203282.926585419,417906.471053319,공연장,공연장,,3,,,2,1,,,,,,
(사)공간다락,20211105,,13,영업중,,031-638-1993,17308,경기도 이천시 사음로 28 (사음동),경기도 이천시 사음동 420,17308,37.2968053617,127.4169121399,,236892.557689584,421726.512474279,공연장,공연장,,,,근린생활시설,,,,,,,,
시민회관,20030122,,13,영업중,,031-678-2592,,경기도 안성시 장기로 107 (낙원동),경기도 안성시 낙원동 68-1,456110,37.0043619004,127.2744884681,,224362.498008966,389225.525481574,공연장,공연장,,5,주택가주변,문화시설,4,1,,,,,,
뉴코아소극장부천점,20161005,,13,영업중,,032-624-6000,14545,"경기도 부천시 원미구 송내대로 239, 4층 (상동, 부천터미널소풍)",경기도 부천시 원미구 상동 539-1,14545,37.5041752477,126.7566905848,,178411.442079953,444684.405331659,공연장,공연장,,,,,,,,,,,,
한국만화박물관 어린이공연장,20190930,,13,영업중,,032-310-3045,14505,"경기도 부천시 원미구 길주로 1, 한국만화박물관 1층 (상동)",경기도 부천시 원미구 상동 529-2,14505,37.5086718515,126.7437361036,,177525.457859854,445566.118309454,공연장,공연장,자연녹지지역,5,기타,문화시설,1,4,,,,,,
